,date,location,location_name,value
0,2020-04-26,GM,Germany,1857
1,2020-04-26,GM01,Baden-Württemberg State,301
2,2020-04-26,GM02,Free State of Bavaria,463
3,2020-04-26,GM03,Free Hanseatic City of Bremen,8
4,2020-04-26,GM04,Free Hanseatic City of Hamburg,64
5,2020-04-26,GM05,Hesse State,169
6,2020-04-26,GM06,Lower Saxony State,108
7,2020-04-26,GM07,North Rhine-Westphalia State,381
8,2020-04-26,GM08,Rhineland-Palatinate State,64
9,2020-04-26,GM09,Saarland State,27
10,2020-04-26,GM10,Schleswig-Holstein State,16
11,2020-04-26,GM11,Brandenburg State,25
12,2020-04-26,GM12,Mecklenburg-Western Pomerania State,4
13,2020-04-26,GM13,Free State of Saxony,48
14,2020-04-26,GM14,Sachsen-Anhalt State,17
15,2020-04-26,GM15,Free State of Thüringia,46
16,2020-04-26,GM16,Berlin State,116
17,2020-04-27,GM,Germany,1729
18,2020-04-27,GM01,Baden-Württemberg State,274
19,2020-04-27,GM02,Free State of Bavaria,443
20,2020-04-27,GM03,Free Hanseatic City of Bremen,9
21,2020-04-27,GM04,Free Hanseatic City of Hamburg,69
22,2020-04-27,GM05,Hesse State,156
23,2020-04-27,GM06,Lower Saxony State,108
24,2020-04-27,GM07,North Rhine-Westphalia State,336
25,2020-04-27,GM08,Rhineland-Palatinate State,61
26,2020-04-27,GM09,Saarland State,26
27,2020-04-27,GM10,Schleswig-Holstein State,15
28,2020-04-27,GM11,Brandenburg State,22
29,2020-04-27,GM12,Mecklenburg-Western Pomerania State,5
30,2020-04-27,GM13,Free State of Saxony,36
31,2020-04-27,GM14,Sachsen-Anhalt State,15
32,2020-04-27,GM15,Free State of Thüringia,44
33,2020-04-27,GM16,Berlin State,110
34,2020-04-28,GM,Germany,1748
35,2020-04-28,GM01,Baden-Württemberg State,277
36,2020-04-28,GM02,Free State of Bavaria,464
37,2020-04-28,GM03,Free Hanseatic City of Bremen,8
38,2020-04-28,GM04,Free Hanseatic City of Hamburg,70
39,2020-04-28,GM05,Hesse State,156
40,2020-04-28,GM06,Lower Saxony State,98
41,2020-04-28,GM07,North Rhine-Westphalia State,332
42,2020-04-28,GM08,Rhineland-Palatinate State,53
43,2020-04-28,GM09,Saarland State,27
44,2020-04-28,GM10,Schleswig-Holstein State,19
45,2020-04-28,GM11,Brandenburg State,22
46,2020-04-28,GM12,Mecklenburg-Western Pomerania State,6
47,2020-04-28,GM13,Free State of Saxony,48
48,2020-04-28,GM14,Sachsen-Anhalt State,15
49,2020-04-28,GM15,Free State of Thüringia,43
50,2020-04-28,GM16,Berlin State,110
51,2020-04-29,GM,Germany,1719
52,2020-04-29,GM01,Baden-Württemberg State,271
53,2020-04-29,GM02,Free State of Bavaria,447
54,2020-04-29,GM03,Free Hanseatic City of Bremen,10
55,2020-04-29,GM04,Free Hanseatic City of Hamburg,67
56,2020-04-29,GM05,Hesse State,154
57,2020-04-29,GM06,Lower Saxony State,98
