,date,location,location_name,value
0,2020-04-26,GM,Germany,1354
1,2020-04-26,GM01,Baden-Württemberg State,131
2,2020-04-26,GM02,Free State of Bavaria,201
3,2020-04-26,GM03,Free Hanseatic City of Bremen,11
4,2020-04-26,GM04,Free Hanseatic City of Hamburg,28
5,2020-04-26,GM05,Hesse State,103
6,2020-04-26,GM06,Lower Saxony State,127
7,2020-04-26,GM07,North Rhine-Westphalia State,331
8,2020-04-26,GM08,Rhineland-Palatinate State,77
9,2020-04-26,GM09,Saarland State,27
10,2020-04-26,GM10,Schleswig-Holstein State,31
11,2020-04-26,GM11,Brandenburg State,52
12,2020-04-26,GM12,Mecklenburg-Western Pomerania State,29
13,2020-04-26,GM13,Free State of Saxony,68
14,2020-04-26,GM14,Sachsen-Anhalt State,43
15,2020-04-26,GM15,Free State of Thüringia,38
16,2020-04-26,GM16,Berlin State,57
17,2020-04-27,GM,Germany,1337
18,2020-04-27,GM01,Baden-Württemberg State,130
19,2020-04-27,GM02,Free State of Bavaria,196
20,2020-04-27,GM03,Free Hanseatic City of Bremen,10
21,2020-04-27,GM04,Free Hanseatic City of Hamburg,28
22,2020-04-27,GM05,Hesse State,102
23,2020-04-27,GM06,Lower Saxony State,125
24,2020-04-27,GM07,North Rhine-Westphalia State,325
25,2020-04-27,GM08,Rhineland-Palatinate State,78
26,2020-04-27,GM09,Saarland State,27
27,2020-04-27,GM10,Schleswig-Holstein State,31
28,2020-04-27,GM11,Brandenburg State,52
29,2020-04-27,GM12,Mecklenburg-Western Pomerania State,31
30,2020-04-27,GM13,Free State of Saxony,67
31,2020-04-27,GM14,Sachsen-Anhalt State,41
32,2020-04-27,GM15,Free State of Thüringia,38
33,2020-04-27,GM16,Berlin State,56
34,2020-04-28,GM,Germany,1369
35,2020-04-28,GM01,Baden-Württemberg State,131
36,2020-04-28,GM02,Free State of Bavaria,206
37,2020-04-28,GM03,Free Hanseatic City of Bremen,11
38,2020-04-28,GM04,Free Hanseatic City of Hamburg,28
