"location_name","location_id","all_bed_capacity","icu_bed_capacity","all_bed_usage","icu_bed_usage","available_all_nbr","available_icu_nbr","travel_limit_start_date","travel_limit_end_date","stay_home_start_date","stay_home_end_date","educational_fac_start_date","educational_fac_end_date","any_gathering_restrict_start_date","any_gathering_restrict_end_date","any_business_start_date","any_business_end_date","all_non-ess_business_start_date","all_non-ess_business_end_date"
"Costa Rica",126,5531,181,4571,141,960,40,2020-04-08,2020-04-13,2020-03-24,2020-05-01,2020-03-16,,2020-03-09,,2020-03-23,,,
"Croatia",46,22164,677,18285,484,3879,193,2020-03-23,2020-05-25,2020-03-17,2020-05-11,2020-03-16,2020-05-25,2020-03-09,,2020-03-19,2020-08-10,2020-03-19,2020-04-27
"Cuba",109,28816,738,12426,100,16390,638,2020-04-11,2020-06-10,,,2020-03-24,,2020-03-20,,2020-03-24,,2020-04-09,2020-06-18
"Cyprus",77,3724,87,2960,63,764,24,,,2020-03-24,2020-05-04,2020-03-13,2020-05-21,2020-03-24,,2020-03-24,,2020-03-24,2020-05-04
"Czechia",47,71843,1371,51651,823,20192,548,,,2020-03-16,2020-04-20,2020-03-10,2020-09-01,2020-03-10,,2020-03-10,2020-05-25,2020-03-14,2020-04-20
"Côte d'Ivoire",205,13248,89,7671,49,5577,40,,,,,2020-03-16,2020-07-31,2020-03-16,,2020-03-18,2020-07-31,,
"Delaware",530,2633,166,1937,125,696,41,,,2020-03-24,2020-06-01,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-24,2020-05-08
"Delhi",4849,,,,,,,2020-03-23,2020-04-26,2020-03-23,2020-06-01,2020-03-19,,2020-03-23,,2020-03-20,,2020-03-20,2020-04-26
"Democratic Republic of the Congo",171,81386,1045,55233,697,26153,348,,,,,2020-03-19,2020-10-05,2020-03-19,,2020-03-19,,,
"Denmark",78,17031,407,13835,303,3196,104,,,,,2020-03-16,2020-05-27,2020-03-18,,2020-03-18,,2020-12-25,
"District of Columbia",531,3939,256,2845,189,1094,67,,,2020-03-30,2020-05-29,2020-03-16,,2020-03-13,,2020-03-16,,2020-03-25,2020-05-29
"Distrito Federal",4756,7800,1034,5959,876,1841,158,,,,,2020-03-12,,2020-03-12,,2020-03-15,,2020-03-19,2020-05-27
"Djibouti",177,1707,6,771,2,936,4,,,2020-03-23,2020-05-17,2020-03-19,2020-09-07,2020-03-22,,2020-03-22,,2020-03-23,2020-05-17
"Dominican Republic",111,11073,590,4660,365,6413,225,2020-03-19,2020-04-13,,,2020-03-19,,2020-03-25,,2020-03-19,,2020-03-19,2020-05-20
"Durango",4652,1862,59,1085,44,777,15,,,2020-04-19,,2020-03-22,,2020-04-02,2020-09-28,2020-03-29,,2020-03-30,2020-06-15
"Ecuador",122,20352,843,10634,570,9718,273,2020-03-18,,2020-03-17,,2020-03-13,,2020-03-15,,2020-03-15,,2020-03-17,
"Egypt",141,131170,6525,59949,2648,71221,3877,,,,,2020-03-15,,2020-03-09,,2020-03-24,,,
"El Salvador",127,6180,84,4282,56,1898,28,,,2020-03-11,2020-06-16,2020-03-11,,2020-03-11,,2020-03-14,,,
"Emilia-Romagna",35502,15297,449,11857,318,3440,131,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-01,2020-09-14,2020-03-07,,2020-03-07,2020-06-15,2020-03-11,2020-04-14
"England",4749,151962,5916,127709,4555,24253,1361,,,2020-03-23,2020-06-01,2020-03-23,2020-09-01,2020-03-23,,2020-03-23,,2020-03-23,2020-06-01
"Equatorial Guinea",172,2050,22,1350,14,700,8,,,2020-03-31,2020-06-15,2020-03-17,2020-09-01,2020-03-17,,2020-03-23,,2020-03-31,2020-06-15
"Espírito Santo",4757,7292,625,5649,534,1643,91,,,,,2020-03-16,,2020-03-17,,2020-03-17,,2020-03-20,2020-08-08
"Estonia",58,6451,139,4543,82,1908,57,,,,,2020-03-16,2020-05-15,2020-03-13,,2020-03-13,2020-07-01,,
"Eswatini",197,2214,58,1400,35,814,23,,,2020-03-27,2020-06-05,2020-03-17,,2020-03-17,,2020-03-27,,2020-03-27,2020-04-15
"Ethiopia",179,19764,123,7809,41,11955,82,,,,,2020-03-16,,2020-03-16,,2020-03-20,,,
"Extremadura",60362,,,,,,,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
"Finland",79,25164,478,18530,319,6634,159,2020-03-25,2020-05-29,,,2020-03-18,2020-08-13,2020-03-12,,2020-03-18,2020-06-01,2020-04-04,2020-06-01
"Florida",532,60546,5351,40362,3655,20184,1696,,,2020-04-03,2020-05-18,2020-03-17,2020-10-05,2020-04-03,2020-06-05,2020-03-17,2020-09-25,,
"France",80,411894,6774,310324,4653,101570,2121,2020-03-17,2020-05-11,2020-03-18,2020-05-11,2020-03-13,2020-05-25,2020-03-04,,2020-03-15,,2020-03-15,2020-05-11
"Friuli-Venezia Giulia",35501,4138,120,3209,85,929,35,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,2020-09-14,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
"Gabon",173,2517,26,1664,16,853,10,,,,,2020-03-13,,2020-03-13,,2020-03-13,,,
"Galicia",60372,,,,,,,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,2020-06-22,2020-03-15,2020-04-13
"Gambia",206,2056,9,1163,4,893,5,,,,,2020-03-18,,2020-03-18,,2020-03-18,,2020-03-27,2020-07-22
"Georgia",35,11817,285,4067,57,7750,228,2020-03-24,2020-04-27,,,2020-03-02,,2020-03-23,,2020-03-21,,2020-03-21,2020-04-27
"Georgia",533,28928,2182,20605,1592,8323,590,,,2020-04-03,,2020-03-18,,2020-03-24,,2020-03-24,,,
"Germany",81,671448,26560,535200,21339,136248,5221,,,,,,,,,,,,
"Ghana",207,23152,132,13724,75,9428,57,,,,,2020-03-16,,2020-03-15,,2020-03-24,,,
"Gilgit-Baltistan",53617,1423,36,1152,28,271,8,,,2020-03-24,2020-05-09,2020-03-13,2020-09-30,2020-03-24,,2020-03-24,,2020-03-24,2020-04-15
"Goa",4850,,,,,,,2020-03-25,2020-04-20,2020-03-23,2020-06-01,2020-03-15,,2020-03-23,,2020-03-15,,2020-03-15,2020-04-20
"Goiás",4758,15778,932,12168,794,3610,138,,,,,2020-03-18,2020-11-04,2020-03-13,,2020-03-17,,2020-03-20,2020-04-19
"Greece",82,44335,862,31308,547,13027,315,2020-03-23,,2020-03-23,2020-05-04,2020-03-11,2020-09-14,2020-03-08,,2020-03-12,2020-06-08,2020-03-22,2020-05-04
"Guam",351,267,4,160,2,107,2,2020-04-11,2020-04-28,,,2020-03-17,,2020-03-16,,2020-03-20,,2020-03-20,2020-05-07
"Guanajuato",4653,5923,272,3517,207,2406,65,,,2020-06-22,,2020-03-16,,2020-03-24,2020-09-28,2020-03-23,,2020-03-30,2020-06-15
"Guangdong",496,245194,3924,162584,2862,82610,1062,2020-02-06,2020-05-19,2020-02-06,2020-05-19,2020-02-06,2020-05-19,2020-02-06,2020-05-19,2020-02-06,2020-05-19,2020-02-06,2020-05-19
"Guatemala",128,9630,403,6853,281,2777,122,,,,,2020-03-16,,2020-03-16,,2020-03-17,,2020-03-17,
"Guerrero",4654,2839,92,1383,60,1456,32,,,2020-06-22,,2020-03-22,,2020-03-24,2020-08-31,2020-03-23,,2020-04-04,2020-07-06
"Guinea",208,4593,35,2723,19,1870,16,,,,,2020-03-26,2020-09-01,2020-03-26,,2020-03-26,,,
"Guinea-Bissau",209,1757,9,1011,4,746,5,,,2020-03-28,2020-05-12,2020-03-17,,2020-03-15,,2020-03-15,,2020-04-03,2020-09-09
"Gujarat",4851,,,,,,,2020-03-24,2020-05-18,2020-03-24,2020-06-01,2020-03-16,,2020-03-24,,2020-03-24,,2020-03-24,2020-04-24
"Guyana",113,1583,18,1417,16,166,2,,,2020-05-04,,2020-03-16,,2020-04-02,,2020-04-02,,2020-05-04,
"Hainan",499,21601,332,14536,245,7065,87,2020-02-05,2020-02-25,2020-02-05,2020-02-25,2020-02-05,2020-02-25,2020-02-05,2020-02-25,2020-02-05,2020-02-25,2020-02-05,2020-02-25
"Haiti",114,10096,147,6849,100,3247,47,2020-03-20,,,,2020-03-20,2020-08-17,2020-03-20,,2020-03-20,,2020-03-20,2020-04-21
"Hamburg",60382,,,,,,,,,2020-03-22,2020-05-04,2020-03-16,2020-07-01,2020-03-22,,2020-03-15,,2020-12-16,
"Haryana",4852,,,,,,,2020-03-24,2020-05-16,2020-03-24,2020-06-01,2020-03-16,,2020-03-20,,2020-03-16,,2020-03-16,2020-04-20
"Hawaii",534,3467,173,2510,128,957,45,,,2020-03-25,2020-06-10,2020-03-19,,2020-03-17,,2020-03-17,,2020-03-25,2020-05-01
