"","forecast_date","target","target_end_date","location","type","quantile","value","location_name"
"481",2020-08-17,"4 wk ahead cum death",2020-09-12,"GM","point",NA,9391,"Germany"
"2243",2020-08-17,"-1 wk ahead cum death",2020-08-08,"GM","observed",NA,9195,"Germany"
"2244",2020-08-17,"-1 wk ahead cum death",2020-08-08,"GM01","observed",NA,1858,"Baden-Württemberg State"
"2245",2020-08-17,"-1 wk ahead cum death",2020-08-08,"GM02","observed",NA,2626,"Free State of Bavaria"
"2246",2020-08-17,"-1 wk ahead cum death",2020-08-08,"GM03","observed",NA,56,"Free Hanseatic City of Bremen"
"2247",2020-08-17,"-1 wk ahead cum death",2020-08-08,"GM04","observed",NA,262,"Free Hanseatic City of Hamburg"
"2248",2020-08-17,"-1 wk ahead cum death",2020-08-08,"GM05","observed",NA,524,"Hesse State"
"2249",2020-08-17,"-1 wk ahead cum death",2020-08-08,"GM06","observed",NA,654,"Lower Saxony State"
"2250",2020-08-17,"-1 wk ahead cum death",2020-08-08,"GM07","observed",NA,1759,"North Rhine-Westphalia State"
"2251",2020-08-17,"-1 wk ahead cum death",2020-08-08,"GM08","observed",NA,239,"Rhineland-Palatinate State"
"2252",2020-08-17,"-1 wk ahead cum death",2020-08-08,"GM09","observed",NA,174,"Saarland State"
"2253",2020-08-17,"-1 wk ahead cum death",2020-08-08,"GM10","observed",NA,158,"Schleswig-Holstein State"
"2254",2020-08-17,"-1 wk ahead cum death",2020-08-08,"GM11","observed",NA,169,"Brandenburg State"
"2255",2020-08-17,"-1 wk ahead cum death",2020-08-08,"GM12","observed",NA,20,"Mecklenburg-Western Pomerania State"
"2256",2020-08-17,"-1 wk ahead cum death",2020-08-08,"GM13","observed",NA,225,"Free State of Saxony"
"2257",2020-08-17,"-1 wk ahead cum death",2020-08-08,"GM14","observed",NA,64,"Sachsen-Anhalt State"
"2258",2020-08-17,"-1 wk ahead cum death",2020-08-08,"GM15","observed",NA,183,"Free State of Thüringia"
"2259",2020-08-17,"-1 wk ahead cum death",2020-08-08,"GM16","observed",NA,224,"Berlin State"
"2362",2020-08-17,"0 wk ahead cum death",2020-08-15,"GM","observed",NA,9231,"Germany"
"2363",2020-08-17,"0 wk ahead cum death",2020-08-15,"GM01","observed",NA,1859,"Baden-Württemberg State"
"2364",2020-08-17,"0 wk ahead cum death",2020-08-15,"GM02","observed",NA,2631,"Free State of Bavaria"
"2365",2020-08-17,"0 wk ahead cum death",2020-08-15,"GM03","observed",NA,56,"Free Hanseatic City of Bremen"
"2366",2020-08-17,"0 wk ahead cum death",2020-08-15,"GM04","observed",NA,264,"Free Hanseatic City of Hamburg"
"2367",2020-08-17,"0 wk ahead cum death",2020-08-15,"GM05","observed",NA,526,"Hesse State"
"2368",2020-08-17,"0 wk ahead cum death",2020-08-15,"GM06","observed",NA,656,"Lower Saxony State"
"2369",2020-08-17,"0 wk ahead cum death",2020-08-15,"GM07","observed",NA,1777,"North Rhine-Westphalia State"
"2370",2020-08-17,"0 wk ahead cum death",2020-08-15,"GM08","observed",NA,242,"Rhineland-Palatinate State"
"2371",2020-08-17,"0 wk ahead cum death",2020-08-15,"GM09","observed",NA,174,"Saarland State"
"2372",2020-08-17,"0 wk ahead cum death",2020-08-15,"GM10","observed",NA,158,"Schleswig-Holstein State"
"2373",2020-08-17,"0 wk ahead cum death",2020-08-15,"GM11","observed",NA,169,"Brandenburg State"
"2374",2020-08-17,"0 wk ahead cum death",2020-08-15,"GM12","observed",NA,20,"Mecklenburg-Western Pomerania State"
"2375",2020-08-17,"0 wk ahead cum death",2020-08-15,"GM13","observed",NA,225,"Free State of Saxony"
"2376",2020-08-17,"0 wk ahead cum death",2020-08-15,"GM14","observed",NA,64,"Sachsen-Anhalt State"
"2377",2020-08-17,"0 wk ahead cum death",2020-08-15,"GM15","observed",NA,186,"Free State of Thüringia"
"2378",2020-08-17,"0 wk ahead cum death",2020-08-15,"GM16","observed",NA,224,"Berlin State"
