location,location_name,type,quantile,horizon,value,target_end_date,forecast_date,target,submission_date
GM,Germany,quantile,0.01,1,9674,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.025,1,9675,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.05,1,9676,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.1,1,9677,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.15,1,9679,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.2,1,9681,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.25,1,9683,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.3,1,9685,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.35,1,9687,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.4,1,9689,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.45,1,9691,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.5,1,9693,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.55,1,9695,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.6,1,9697,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.65,1,9699,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.7,1,9701,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.75,1,9704,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.8,1,9706,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.85,1,9708,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.9,1,9711,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.95,1,9714,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.975,1,9715,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.99,1,9716,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,point,,1,9693,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
GM,Germany,quantile,0.01,1,70,2020-10-17,2020-10-12,1 wk ahead inc death,2020-10-12
GM,Germany,quantile,0.025,1,71,2020-10-17,2020-10-12,1 wk ahead inc death,2020-10-12
