location,location_name,type,quantile,horizon,value,target_end_date,forecast_date,target,submission_date
PL,Poland,quantile,0.01,1,3399,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.025,1,3402,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.05,1,3408,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.1,1,3417,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.15,1,3429,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.2,1,3439,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.25,1,3450,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.3,1,3462,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.35,1,3471,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.4,1,3483,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.45,1,3493,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.5,1,3505,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.55,1,3512,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.6,1,3521,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.65,1,3534,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.7,1,3546,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.75,1,3558,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.8,1,3571,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.85,1,3584,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.9,1,3598,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.95,1,3612,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.975,1,3619,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.99,1,3625,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,point,,1,3505,2020-10-17,2020-10-12,1 wk ahead cum death,2020-10-12
PL,Poland,quantile,0.01,1,480,2020-10-17,2020-10-12,1 wk ahead inc death,2020-10-12
PL,Poland,quantile,0.025,1,483,2020-10-17,2020-10-12,1 wk ahead inc death,2020-10-12
PL,Poland,quantile,0.05,1,489,2020-10-17,2020-10-12,1 wk ahead inc death,2020-10-12
PL,Poland,quantile,0.1,1,498,2020-10-17,2020-10-12,1 wk ahead inc death,2020-10-12
PL,Poland,quantile,0.15,1,510,2020-10-17,2020-10-12,1 wk ahead inc death,2020-10-12
PL,Poland,quantile,0.2,1,520,2020-10-17,2020-10-12,1 wk ahead inc death,2020-10-12
PL,Poland,quantile,0.25,1,531,2020-10-17,2020-10-12,1 wk ahead inc death,2020-10-12
PL,Poland,quantile,0.3,1,543,2020-10-17,2020-10-12,1 wk ahead inc death,2020-10-12
PL,Poland,quantile,0.35,1,552,2020-10-17,2020-10-12,1 wk ahead inc death,2020-10-12
