date,location,location_name,value
2020-08-28,GM,Germany,9289
2020-08-28,GM01,Baden-Württemberg State,1862
2020-08-28,GM02,Free State of Bavaria,2638
2020-08-28,GM03,Free Hanseatic City of Bremen,56
2020-08-28,GM04,Free Hanseatic City of Hamburg,266
2020-08-28,GM05,Hesse State,530
2020-08-28,GM06,Lower Saxony State,660
2020-08-28,GM07,North Rhine-Westphalia State,1809
2020-08-28,GM08,Rhineland-Palatinate State,243
2020-08-28,GM09,Saarland State,174
2020-08-28,GM10,Schleswig-Holstein State,160
2020-08-28,GM11,Brandenburg State,169
2020-08-28,GM12,Mecklenburg-Western Pomerania State,20
2020-08-28,GM13,Free State of Saxony,225
2020-08-28,GM14,Sachsen-Anhalt State,65
2020-08-28,GM15,Free State of Thüringia,186
2020-08-28,GM16,Berlin State,226
