date,location,location_name,value
2021-01-28,GM,Germany,54913
2021-01-28,GM01,Baden-Württemberg State,6871
2021-01-28,GM02,Free State of Bavaria,10116
2021-01-28,GM03,Free Hanseatic City of Bremen,259
2021-01-28,GM04,Free Hanseatic City of Hamburg,1029
2021-01-28,GM05,Hesse State,4676
2021-01-28,GM06,Lower Saxony State,3154
2021-01-28,GM07,North Rhine-Westphalia State,10457
2021-01-28,GM08,Rhineland-Palatinate State,2417
2021-01-28,GM09,Saarland State,711
2021-01-28,GM10,Schleswig-Holstein State,815
2021-01-28,GM11,Brandenburg State,2161
2021-01-28,GM12,Mecklenburg-Western Pomerania State,409
2021-01-28,GM13,Free State of Saxony,6002
2021-01-28,GM14,Sachsen-Anhalt State,1604
2021-01-28,GM15,Free State of Thuringia,2068
2021-01-28,GM16,Berlin State,2164
