"location","target","model","inverse_wis_weight"
"GM","inc case","FIAS_FZJ-Epi1Ger",0.103724317336697
"GM","inc case","LANL-GrowthRate",0.0405436374196239
"GM","inc case","MIT_CovidAnalytics-DELPHI",0.166311042539484
"GM","inc case","USC-SIkJalpha",0.0966341580662443
"GM","inc case","ITWW-county_repro",0.112538549959581
"GM","inc case","epiforecasts-EpiExpert",0.250443985380724
"GM","inc case","epiforecasts-EpiNow2",0.0354081221896518
"GM","inc case","KIT-time_series_baseline",0.125908828852418
"GM","inc case","Karlen-pypm",0.0266695139026491
"GM","inc case","itwm-dSEIR",0.0418178443529277
"GM","cum case","FIAS_FZJ-Epi1Ger",0.169232233596172
"GM","cum case","LANL-GrowthRate",0.0470002913058031
"GM","cum case","USC-SIkJalpha",0.0900048672234916
"GM","cum case","ITWW-county_repro",0.147196878109183
"GM","cum case","epiforecasts-EpiExpert",0.279495414264397
"GM","cum case","epiforecasts-EpiNow2",0.0424812308447446
"GM","cum case","KIT-time_series_baseline",0.144926648004147
"GM","cum case","Karlen-pypm",0.032019592106665
"GM","cum case","itwm-dSEIR",0.0476428445453971
"GM","inc death","FIAS_FZJ-Epi1Ger",0.052867677888362
"GM","inc death","LANL-GrowthRate",0.059812325968695
"GM","inc death","MIT_CovidAnalytics-DELPHI",0.0748692876967957
"GM","inc death","USC-SIkJalpha",0.0965288336158353
"GM","inc death","epiforecasts-EpiExpert",0.13574038113732
"GM","inc death","epiforecasts-EpiNow2",0.12802780586106
"GM","inc death","KIT-time_series_baseline",0.21423070008796
"GM","inc death","Karlen-pypm",0.184290740933617
"GM","inc death","itwm-dSEIR",0.0536322468103541
"GM","cum death","FIAS_FZJ-Epi1Ger",0.0620859677843741
"GM","cum death","LANL-GrowthRate",0.0646009823066737
"GM","cum death","MIT_CovidAnalytics-DELPHI",0.0632467134887356
"GM","cum death","USC-SIkJalpha",0.0955021104615959
"GM","cum death","epiforecasts-EpiExpert",0.123199525865529
"GM","cum death","epiforecasts-EpiNow2",0.128962395488212
"GM","cum death","KIT-time_series_baseline",0.224939206844296
"GM","cum death","Karlen-pypm",0.184753371189477
"GM","cum death","itwm-dSEIR",0.0527097265711075
"PL","inc case","LANL-GrowthRate",0.0559365653828684
"PL","inc case","USC-SIkJalpha",0.241663155602806
"PL","inc case","MOCOS-agent1",0.0548042323983441
"PL","inc case","ICM-agentModel",0.0482409809080348
"PL","inc case","ITWW-county_repro",0.126036612440391
"PL","inc case","epiforecasts-EpiExpert",0.281492229930311
"PL","inc case","epiforecasts-EpiNow2",0.0556082364029873
"PL","inc case","KIT-time_series_baseline",0.136217986934257
"PL","cum case","LANL-GrowthRate",0.0466855084523648
"PL","cum case","USC-SIkJalpha",0.280872633580773
"PL","cum case","MOCOS-agent1",0.0463264216176546
"PL","cum case","ICM-agentModel",0.0428107067863399
"PL","cum case","ITWW-county_repro",0.14655605856004
"PL","cum case","epiforecasts-EpiExpert",0.258043281220044
"PL","cum case","epiforecasts-EpiNow2",0.0472035722960773
"PL","cum case","KIT-time_series_baseline",0.131501817486706
"PL","inc death","LANL-GrowthRate",0.0760522591680363
"PL","inc death","USC-SIkJalpha",0.236618724605468
"PL","inc death","MOCOS-agent1",0.0816258372451356
"PL","inc death","ICM-agentModel",0.0759619905367959
"PL","inc death","epiforecasts-EpiExpert",0.246803734013679
"PL","inc death","epiforecasts-EpiNow2",0.0821897683177492
"PL","inc death","KIT-time_series_baseline",0.200747686113136
"PL","cum death","LANL-GrowthRate",0.0583938777400189
"PL","cum death","USC-SIkJalpha",0.210911594008835
"PL","cum death","MOCOS-agent1",0.061158618401367
"PL","cum death","ICM-agentModel",0.0585549120679047
"PL","cum death","epiforecasts-EpiExpert",0.308074594097794
"PL","cum death","epiforecasts-EpiNow2",0.0597785237158959
"PL","cum death","KIT-time_series_baseline",0.243127879968185
