"target","location","model","inverse_wis_weight"
"inc case","GM01","USC-SIkJalpha",0.238338792643959
"inc case","GM01","ITWW-county_repro",0.233511564013507
"inc case","GM01","epiforecasts-EpiNow2",0.191661513817322
"inc case","GM01","KIT-time_series_baseline",0.175105657684011
"inc case","GM01","Karlen-pypm",0.161382471841201
"inc case","GM02","USC-SIkJalpha",0.222396243262745
"inc case","GM02","ITWW-county_repro",0.16574926341972
"inc case","GM02","epiforecasts-EpiNow2",0.197467220700942
"inc case","GM02","KIT-time_series_baseline",0.224247096252866
"inc case","GM02","Karlen-pypm",0.190140176363727
"inc case","GM03","USC-SIkJalpha",0.226824237292397
"inc case","GM03","ITWW-county_repro",0.121252181967556
"inc case","GM03","epiforecasts-EpiNow2",0.272196925491909
"inc case","GM03","KIT-time_series_baseline",0.209561709009101
"inc case","GM03","Karlen-pypm",0.170164946239038
"inc case","GM04","USC-SIkJalpha",0.183564790003816
"inc case","GM04","ITWW-county_repro",0.242133868014747
"inc case","GM04","epiforecasts-EpiNow2",0.19381334499109
"inc case","GM04","KIT-time_series_baseline",0.229545273739938
"inc case","GM04","Karlen-pypm",0.150942723250408
"inc case","GM05","USC-SIkJalpha",0.25261903518146
"inc case","GM05","ITWW-county_repro",0.136441331029834
"inc case","GM05","epiforecasts-EpiNow2",0.189501788070232
"inc case","GM05","KIT-time_series_baseline",0.206844903160493
"inc case","GM05","Karlen-pypm",0.214592942557981
"inc case","GM06","USC-SIkJalpha",0.201217759727651
"inc case","GM06","ITWW-county_repro",0.22855033289957
"inc case","GM06","epiforecasts-EpiNow2",0.243580471844911
"inc case","GM06","KIT-time_series_baseline",0.124759172905549
"inc case","GM06","Karlen-pypm",0.201892262622319
"inc case","GM07","USC-SIkJalpha",0.247419720174598
"inc case","GM07","ITWW-county_repro",0.198804386898188
"inc case","GM07","epiforecasts-EpiNow2",0.177747452367306
"inc case","GM07","KIT-time_series_baseline",0.183400063464759
"inc case","GM07","Karlen-pypm",0.192628377095149
"inc case","GM08","USC-SIkJalpha",0.243124603424407
"inc case","GM08","ITWW-county_repro",0.223632541808891
"inc case","GM08","epiforecasts-EpiNow2",0.192590610447652
"inc case","GM08","KIT-time_series_baseline",0.128743339282222
"inc case","GM08","Karlen-pypm",0.211908905036829
"inc case","GM09","USC-SIkJalpha",0.115155902121576
"inc case","GM09","ITWW-county_repro",0.115093203205374
"inc case","GM09","epiforecasts-EpiNow2",0.264952661569228
"inc case","GM09","KIT-time_series_baseline",0.175810936907804
"inc case","GM09","Karlen-pypm",0.328987296196018
"inc case","GM10","USC-SIkJalpha",0.430233930639982
"inc case","GM10","ITWW-county_repro",0.209282107397692
"inc case","GM10","epiforecasts-EpiNow2",0.203946488090395
"inc case","GM10","KIT-time_series_baseline",0.105287346478225
"inc case","GM10","Karlen-pypm",0.0512501273937063
"inc case","GM11","USC-SIkJalpha",0.370175092373467
"inc case","GM11","ITWW-county_repro",0.051261543330086
"inc case","GM11","epiforecasts-EpiNow2",0.2206490221141
"inc case","GM11","KIT-time_series_baseline",0.195619932583469
"inc case","GM11","Karlen-pypm",0.162294409598878
"inc case","GM12","USC-SIkJalpha",0.235503095562685
"inc case","GM12","ITWW-county_repro",0.142594717659377
"inc case","GM12","epiforecasts-EpiNow2",0.259879728450909
"inc case","GM12","KIT-time_series_baseline",0.171139101800507
"inc case","GM12","Karlen-pypm",0.190883356526522
"inc case","GM13","USC-SIkJalpha",0.218287328461119
"inc case","GM13","ITWW-county_repro",0.230552731083736
"inc case","GM13","epiforecasts-EpiNow2",0.195223332293869
"inc case","GM13","KIT-time_series_baseline",0.176194374086285
"inc case","GM13","Karlen-pypm",0.179742234074992
"inc case","GM14","USC-SIkJalpha",0.240001151378639
"inc case","GM14","ITWW-county_repro",0.208007592681602
"inc case","GM14","epiforecasts-EpiNow2",0.184177476597215
"inc case","GM14","KIT-time_series_baseline",0.147355142675918
"inc case","GM14","Karlen-pypm",0.220458636666627
"inc case","GM15","USC-SIkJalpha",0.192669401343261
"inc case","GM15","ITWW-county_repro",0.225728451957856
"inc case","GM15","epiforecasts-EpiNow2",0.187677632232305
"inc case","GM15","KIT-time_series_baseline",0.203537923826047
"inc case","GM15","Karlen-pypm",0.190386590640531
"inc case","GM16","USC-SIkJalpha",0.23613696928054
"inc case","GM16","ITWW-county_repro",0.359371790270877
"inc case","GM16","epiforecasts-EpiNow2",0.15021429138831
"inc case","GM16","KIT-time_series_baseline",0.115286839426716
"inc case","GM16","Karlen-pypm",0.138990109633557
"inc case","GM","FIAS_FZJ-Epi1Ger",0.0618469513648595
"inc case","GM","LANL-GrowthRate",0.0967415761873601
"inc case","GM","MIT_CovidAnalytics-DELPHI",0.0895912249165306
"inc case","GM","ITWW-county_repro",0.134902853194134
"inc case","GM","epiforecasts-EpiExpert",0.170738335733021
"inc case","GM","epiforecasts-EpiNow2",0.169211144744357
"inc case","GM","Karlen-pypm",0.173487787933047
"inc case","GM","itwm-dSEIR",0.103480125926691
"cum case","GM01","USC-SIkJalpha",0.165237840354504
"cum case","GM01","ITWW-county_repro",0.279091239328414
"cum case","GM01","epiforecasts-EpiNow2",0.0798099363778074
"cum case","GM01","KIT-time_series_baseline",0.2629700464862
"cum case","GM01","Karlen-pypm",0.212890937453075
"cum case","GM02","USC-SIkJalpha",0.234387852786638
"cum case","GM02","ITWW-county_repro",0.175957108105488
"cum case","GM02","epiforecasts-EpiNow2",0.086480904020243
"cum case","GM02","KIT-time_series_baseline",0.283095539851287
"cum case","GM02","Karlen-pypm",0.220078595236344
"cum case","GM03","USC-SIkJalpha",0.174648054319904
"cum case","GM03","ITWW-county_repro",0.142835854888197
"cum case","GM03","epiforecasts-EpiNow2",0.124009610422326
"cum case","GM03","KIT-time_series_baseline",0.370359061464414
"cum case","GM03","Karlen-pypm",0.18814741890516
"cum case","GM04","USC-SIkJalpha",0.286076218861017
"cum case","GM04","ITWW-county_repro",0.231500598484017
