"location","target","model","inverse_wis_weight"
"GM","inc case","FIAS_FZJ-Epi1Ger",0.114379903136739
"GM","inc case","LANL-GrowthRate",0.102040586825998
"GM","inc case","MIT_CovidAnalytics-DELPHI",0.173395387889569
"GM","inc case","USC-SIkJalpha",0.137516287306996
"GM","inc case","epiforecasts-EpiExpert",0.176884970732522
"GM","inc case","epiforecasts-EpiNow2",0.0392349457564714
"GM","inc case","KIT-time_series_baseline",0.102998697074095
"GM","inc case","Karlen-pypm",0.0222118566196257
"GM","inc case","itwm-dSEIR",0.131337364657984
"GM","cum case","FIAS_FZJ-Epi1Ger",0.126063817982195
"GM","cum case","LANL-GrowthRate",0.102647296955608
"GM","cum case","USC-SIkJalpha",0.195899239450305
"GM","cum case","epiforecasts-EpiExpert",0.266900400467716
"GM","cum case","epiforecasts-EpiNow2",0.0422597052080897
"GM","cum case","KIT-time_series_baseline",0.128684567103436
"GM","cum case","Karlen-pypm",0.0235380577743226
"GM","cum case","itwm-dSEIR",0.114006915058328
"GM","inc death","FIAS_FZJ-Epi1Ger",0.0777208884493921
"GM","inc death","LANL-GrowthRate",0.111644652405399
"GM","inc death","MIT_CovidAnalytics-DELPHI",0.0929635084028494
"GM","inc death","USC-SIkJalpha",0.0915096591104953
"GM","inc death","epiforecasts-EpiExpert",0.193870948819312
"GM","inc death","epiforecasts-EpiNow2",0.0956899072448954
"GM","inc death","KIT-time_series_baseline",0.140864847656355
"GM","inc death","Karlen-pypm",0.120820404357385
"GM","inc death","itwm-dSEIR",0.0749151835539178
"GM","cum death","FIAS_FZJ-Epi1Ger",0.0731918615474103
"GM","cum death","LANL-GrowthRate",0.0989052333219646
"GM","cum death","MIT_CovidAnalytics-DELPHI",0.0683659301138422
"GM","cum death","USC-SIkJalpha",0.0809822030068181
"GM","cum death","epiforecasts-EpiExpert",0.195095610731983
"GM","cum death","epiforecasts-EpiNow2",0.100323075646689
"GM","cum death","KIT-time_series_baseline",0.170216422436223
"GM","cum death","Karlen-pypm",0.16162211818725
"GM","cum death","itwm-dSEIR",0.0512975450078198
"PL","inc case","LANL-GrowthRate",0.181154231901862
"PL","inc case","MIT_CovidAnalytics-DELPHI",0.0784427518233201
"PL","inc case","USC-SIkJalpha",0.152602176651638
"PL","inc case","MOCOS-agent1",0.101243708048531
"PL","inc case","ICM-agentModel",0.0954083268318926
"PL","inc case","epiforecasts-EpiExpert",0.128056477954917
"PL","inc case","epiforecasts-EpiNow2",0.098491173088908
"PL","inc case","KIT-time_series_baseline",0.164601153698931
"PL","cum case","LANL-GrowthRate",0.163136438046201
"PL","cum case","USC-SIkJalpha",0.156683723182389
"PL","cum case","MOCOS-agent1",0.102801605251139
"PL","cum case","ICM-agentModel",0.149219672273538
"PL","cum case","epiforecasts-EpiExpert",0.162847488061671
"PL","cum case","epiforecasts-EpiNow2",0.112172865804724
"PL","cum case","KIT-time_series_baseline",0.153138207380338
"PL","inc death","LANL-GrowthRate",0.114748752070538
"PL","inc death","MIT_CovidAnalytics-DELPHI",0.0840937263479996
"PL","inc death","USC-SIkJalpha",0.14869482177716
"PL","inc death","MOCOS-agent1",0.193639865314801
"PL","inc death","ICM-agentModel",0.110255395341027
"PL","inc death","epiforecasts-EpiExpert",0.123860865439943
"PL","inc death","epiforecasts-EpiNow2",0.132926220530776
"PL","inc death","KIT-time_series_baseline",0.0917803531777552
"PL","cum death","LANL-GrowthRate",0.114123556273296
"PL","cum death","MIT_CovidAnalytics-DELPHI",0.0770851863045828
"PL","cum death","USC-SIkJalpha",0.133736177882717
"PL","cum death","MOCOS-agent1",0.200019154314201
"PL","cum death","ICM-agentModel",0.115135385914252
"PL","cum death","epiforecasts-EpiExpert",0.130337903133164
"PL","cum death","epiforecasts-EpiNow2",0.137342437583499
"PL","cum death","KIT-time_series_baseline",0.0922201985942896
