"location","target","model","inverse_wis_weight"
"GM","inc case","FIAS_FZJ-Epi1Ger",0.218214760230023
"GM","inc case","LANL-GrowthRate",0.0657892376019991
"GM","inc case","LeipzigIMISE-SECIR",0.0467935206336094
"GM","inc case","ITWW-county_repro",0.0325254418979614
"GM","inc case","epiforecasts-EpiExpert",0.384199361324074
"GM","inc case","epiforecasts-EpiNow2",0.252477678312334
"GM","cum case","FIAS_FZJ-Epi1Ger",0.164719211835269
"GM","cum case","LANL-GrowthRate",0.0583845127660373
"GM","cum case","LeipzigIMISE-SECIR",0.134352183920415
"GM","cum case","ITWW-county_repro",0.0313701490134721
"GM","cum case","epiforecasts-EpiExpert",0.370014267544558
"GM","cum case","epiforecasts-EpiNow2",0.241159674920249
"GM","inc death","FIAS_FZJ-Epi1Ger",0.0942145584981833
"GM","inc death","LANL-GrowthRate",0.187539900374353
"GM","inc death","LeipzigIMISE-SECIR",0.0772519213347894
"GM","inc death","epiforecasts-EpiExpert",0.391017487119639
"GM","inc death","epiforecasts-EpiNow2",0.117889912315438
"GM","inc death","KIT-time_series_baseline",0.132086220357597
"GM","cum death","FIAS_FZJ-Epi1Ger",0.0981923564522363
"GM","cum death","LANL-GrowthRate",0.197241882912819
"GM","cum death","LeipzigIMISE-SECIR",0.0384736726506486
"GM","cum death","epiforecasts-EpiExpert",0.415137693823581
"GM","cum death","epiforecasts-EpiNow2",0.112574323158111
"GM","cum death","KIT-time_series_baseline",0.138380071002604
"PL","inc case","LANL-GrowthRate",0.180814786948002
"PL","inc case","MIT_CovidAnalytics-DELPHI",0.112804920782297
"PL","inc case","MOCOS-agent1",0.183801607429129
"PL","inc case","ICM-agentModel",0.0850871965544722
"PL","inc case","epiforecasts-EpiExpert",0.218897277694319
"PL","inc case","epiforecasts-EpiNow2",0.132281107614813
"PL","inc case","KIT-time_series_baseline",0.0863131029769686
"PL","cum case","LANL-GrowthRate",0.174524924879767
"PL","cum case","MOCOS-agent1",0.223545205006776
"PL","cum case","ICM-agentModel",0.0964343561706643
"PL","cum case","epiforecasts-EpiExpert",0.259334048493384
"PL","cum case","epiforecasts-EpiNow2",0.148911428294872
"PL","cum case","KIT-time_series_baseline",0.0972500371545364
"PL","inc death","LANL-GrowthRate",0.15847350965978
"PL","inc death","MIT_CovidAnalytics-DELPHI",0.331265303997811
"PL","inc death","MOCOS-agent1",0.224936681970289
"PL","inc death","ICM-agentModel",0.102478601177826
"PL","inc death","epiforecasts-EpiExpert",0.132140989395853
"PL","inc death","epiforecasts-EpiNow2",0.0507049137984409
"PL","cum death","LANL-GrowthRate",0.13990314519966
"PL","cum death","MIT_CovidAnalytics-DELPHI",0.275225047962686
"PL","cum death","MOCOS-agent1",0.265966743817403
"PL","cum death","ICM-agentModel",0.127987024754059
"PL","cum death","epiforecasts-EpiExpert",0.134893901554193
"PL","cum death","epiforecasts-EpiNow2",0.0560241367119984
