"target","location","model","inverse_wis_weight"
"cum case","GM16","USC-SIkJalpha",0.157094451164742
"cum case","GM16","ITWW-county_repro",0.0704304178414332
"cum case","GM16","epiforecasts-EpiNow2",0.346187191647698
"cum case","GM16","KIT-time_series_baseline",0.159464914189456
"cum case","GM16","Karlen-pypm",0.266823025156671
"cum case","GM","FIAS_FZJ-Epi1Ger",0.139703734559408
"cum case","GM","LANL-GrowthRate",0.144174237984645
"cum case","GM","USC-SIkJalpha",0.0898158390320541
"cum case","GM","epiforecasts-EpiExpert",0.159495458388022
"cum case","GM","epiforecasts-EpiNow2",0.0447256842638239
"cum case","GM","KIT-time_series_baseline",0.106586999831206
"cum case","GM","Karlen-pypm",0.0345684004342402
"cum case","GM","itwm-dSEIR",0.280929645506601
"inc death","GM01","USC-SIkJalpha",0.287600247766625
"inc death","GM01","ITWW-county_repro",0.215407774445893
"inc death","GM01","epiforecasts-EpiNow2",0.127465635698309
"inc death","GM01","KIT-time_series_baseline",0.13713470571299
"inc death","GM01","Karlen-pypm",0.232391636376182
"inc death","GM02","USC-SIkJalpha",0.262316169994136
"inc death","GM02","ITWW-county_repro",0.214100248433523
"inc death","GM02","epiforecasts-EpiNow2",0.139843369186862
"inc death","GM02","KIT-time_series_baseline",0.0794488376772074
"inc death","GM02","Karlen-pypm",0.304291374708272
"inc death","GM03","USC-SIkJalpha",0.167692125058637
"inc death","GM03","ITWW-county_repro",0.309503719962633
"inc death","GM03","epiforecasts-EpiNow2",0.189163508876984
"inc death","GM03","KIT-time_series_baseline",0.148428166307025
"inc death","GM03","Karlen-pypm",0.185212479794722
"inc death","GM04","USC-SIkJalpha",0.183543041247744
"inc death","GM04","ITWW-county_repro",0.38754066415408
"inc death","GM04","epiforecasts-EpiNow2",0.0620693372684248
"inc death","GM04","KIT-time_series_baseline",0.0666624174523668
"inc death","GM04","Karlen-pypm",0.300184539877385
"inc death","GM05","USC-SIkJalpha",0.365604926672299
"inc death","GM05","ITWW-county_repro",0.183763184586016
"inc death","GM05","epiforecasts-EpiNow2",0.166086998944775
"inc death","GM05","KIT-time_series_baseline",0.0948271388473388
"inc death","GM05","Karlen-pypm",0.189717750949572
"inc death","GM06","USC-SIkJalpha",0.201360383776386
"inc death","GM06","ITWW-county_repro",0.285375604360629
"inc death","GM06","epiforecasts-EpiNow2",0.182280246890328
"inc death","GM06","KIT-time_series_baseline",0.135100087111684
"inc death","GM06","Karlen-pypm",0.195883677860973
"inc death","GM07","USC-SIkJalpha",0.30705351805637
"inc death","GM07","ITWW-county_repro",0.295503757359683
"inc death","GM07","epiforecasts-EpiNow2",0.0891715136846667
"inc death","GM07","KIT-time_series_baseline",0.0833913493546899
"inc death","GM07","Karlen-pypm",0.224879861544591
"inc death","GM08","USC-SIkJalpha",0.206506609180764
"inc death","GM08","ITWW-county_repro",0.306705314044517
"inc death","GM08","epiforecasts-EpiNow2",0.0869565765440517
"inc death","GM08","KIT-time_series_baseline",0.172521380261129
"inc death","GM08","Karlen-pypm",0.227310119969538
"inc death","GM09","USC-SIkJalpha",0.282186128009401
"inc death","GM09","ITWW-county_repro",0.277555992568763
"inc death","GM09","epiforecasts-EpiNow2",0.10543875924114
"inc death","GM09","KIT-time_series_baseline",0.0684672366299828
"inc death","GM09","Karlen-pypm",0.266351883550713
"inc death","GM10","USC-SIkJalpha",0.268748329468251
"inc death","GM10","ITWW-county_repro",0.354693679110911
