"target","location","model","inverse_wis_weight"
"inc case","GM01","USC-SIkJalpha",0.0922117663977243
"inc case","GM01","ITWW-county_repro",0.220039959956024
"inc case","GM01","epiforecasts-EpiNow2",0.43196165334216
"inc case","GM01","KIT-time_series_baseline",0.12548265997263
"inc case","GM01","Karlen-pypm",0.130303960331462
"inc case","GM02","USC-SIkJalpha",0.107317096987603
"inc case","GM02","ITWW-county_repro",0.33204078534044
"inc case","GM02","epiforecasts-EpiNow2",0.202095333265483
"inc case","GM02","KIT-time_series_baseline",0.207943646344477
"inc case","GM02","Karlen-pypm",0.150603138061996
"inc case","GM03","USC-SIkJalpha",0.301332966791326
"inc case","GM03","ITWW-county_repro",0.164489295126719
"inc case","GM03","epiforecasts-EpiNow2",0.229670989891627
"inc case","GM03","KIT-time_series_baseline",0.175397592640126
"inc case","GM03","Karlen-pypm",0.129109155550202
"inc case","GM04","USC-SIkJalpha",0.133995659207697
"inc case","GM04","ITWW-county_repro",0.173951660560622
"inc case","GM04","epiforecasts-EpiNow2",0.386509734015703
"inc case","GM04","KIT-time_series_baseline",0.108202717336569
"inc case","GM04","Karlen-pypm",0.197340228879409
"inc case","GM05","USC-SIkJalpha",0.100992483955774
"inc case","GM05","ITWW-county_repro",0.262818981986067
"inc case","GM05","epiforecasts-EpiNow2",0.286769401750605
"inc case","GM05","KIT-time_series_baseline",0.085811221152164
"inc case","GM05","Karlen-pypm",0.263607911155389
"inc case","GM06","USC-SIkJalpha",0.112559444277296
"inc case","GM06","ITWW-county_repro",0.33981054653272
"inc case","GM06","epiforecasts-EpiNow2",0.216094907045692
"inc case","GM06","KIT-time_series_baseline",0.18773681602801
"inc case","GM06","Karlen-pypm",0.143798286116282
"inc case","GM07","USC-SIkJalpha",0.13711160308035
"inc case","GM07","ITWW-county_repro",0.345304385165094
"inc case","GM07","epiforecasts-EpiNow2",0.163458414400763
"inc case","GM07","KIT-time_series_baseline",0.100135249637412
"inc case","GM07","Karlen-pypm",0.253990347716381
"inc case","GM08","USC-SIkJalpha",0.0918021614066164
"inc case","GM08","ITWW-county_repro",0.2362061812897
"inc case","GM08","epiforecasts-EpiNow2",0.273861319410282
"inc case","GM08","KIT-time_series_baseline",0.147010893571938
"inc case","GM08","Karlen-pypm",0.251119444321464
"inc case","GM09","USC-SIkJalpha",0.179228616057778
"inc case","GM09","ITWW-county_repro",0.0770580253769038
"inc case","GM09","epiforecasts-EpiNow2",0.285543583134714
"inc case","GM09","KIT-time_series_baseline",0.294567553982046
"inc case","GM09","Karlen-pypm",0.163602221448559
"inc case","GM10","USC-SIkJalpha",0.184332844361301
"inc case","GM10","ITWW-county_repro",0.206071682683174
"inc case","GM10","epiforecasts-EpiNow2",0.213027210566362
