"target","location","model","inverse_wis_weight"
"inc case","GM01","USC-SIkJalpha",0.131152774014475
"inc case","GM01","ITWW-county_repro",0.13595546261799
"inc case","GM01","epiforecasts-EpiNow2",0.314571801202788
"inc case","GM01","KIT-time_series_baseline",0.260645555484993
"inc case","GM01","Karlen-pypm",0.157674406679753
"inc case","GM02","USC-SIkJalpha",0.146707007944513
"inc case","GM02","ITWW-county_repro",0.111879116926446
"inc case","GM02","epiforecasts-EpiNow2",0.292373134313256
"inc case","GM02","KIT-time_series_baseline",0.268250909224205
"inc case","GM02","Karlen-pypm",0.18078983159158
"inc case","GM03","USC-SIkJalpha",0.134458899718803
"inc case","GM03","ITWW-county_repro",0.068550978512042
"inc case","GM03","epiforecasts-EpiNow2",0.272414536928676
"inc case","GM03","KIT-time_series_baseline",0.376791911319795
"inc case","GM03","Karlen-pypm",0.147783673520684
"inc case","GM04","USC-SIkJalpha",0.276316004051091
"inc case","GM04","ITWW-county_repro",0.125795805490466
"inc case","GM04","epiforecasts-EpiNow2",0.321244334827288
"inc case","GM04","KIT-time_series_baseline",0.0862831039048502
"inc case","GM04","Karlen-pypm",0.190360751726305
"inc case","GM05","USC-SIkJalpha",0.18477494898288
"inc case","GM05","ITWW-county_repro",0.0950572768561059
"inc case","GM05","epiforecasts-EpiNow2",0.35022953303057
"inc case","GM05","KIT-time_series_baseline",0.170361478852149
"inc case","GM05","Karlen-pypm",0.199576762278295
"inc case","GM06","USC-SIkJalpha",0.188791174608114
"inc case","GM06","ITWW-county_repro",0.151322847706991
"inc case","GM06","epiforecasts-EpiNow2",0.268813524562638
"inc case","GM06","KIT-time_series_baseline",0.096623696612036
"inc case","GM06","Karlen-pypm",0.294448756510222
"inc case","GM07","USC-SIkJalpha",0.187290255764463
"inc case","GM07","ITWW-county_repro",0.204552399933063
"inc case","GM07","epiforecasts-EpiNow2",0.319223421186833
"inc case","GM07","KIT-time_series_baseline",0.073445575483363
"inc case","GM07","Karlen-pypm",0.215488347632278
"inc case","GM08","USC-SIkJalpha",0.334516647364358
"inc case","GM08","ITWW-county_repro",0.235059739385547
"inc case","GM08","epiforecasts-EpiNow2",0.0851630249729691
"inc case","GM08","KIT-time_series_baseline",0.126669269094186
"inc case","GM08","Karlen-pypm",0.21859131918294
"inc case","GM09","USC-SIkJalpha",0.117805702997451
"inc case","GM09","ITWW-county_repro",0.0922061398798918
"inc case","GM09","epiforecasts-EpiNow2",0.245162454559394
"inc case","GM09","KIT-time_series_baseline",0.203340451598421
"inc case","GM09","Karlen-pypm",0.341485250964842
"inc case","GM10","USC-SIkJalpha",0.194395295799196
"inc case","GM10","ITWW-county_repro",0.265431964824891
"inc case","GM10","epiforecasts-EpiNow2",0.367213377290626
"inc case","GM10","KIT-time_series_baseline",0.102622935819229
"inc case","GM10","Karlen-pypm",0.0703364262660575
"inc case","GM11","USC-SIkJalpha",0.301624459725392
"inc case","GM11","ITWW-county_repro",0.0873126749001247
"inc case","GM11","epiforecasts-EpiNow2",0.355096857428092
"inc case","GM11","KIT-time_series_baseline",0.15412641140553
"inc case","GM11","Karlen-pypm",0.101839596540861
"inc case","GM12","USC-SIkJalpha",0.219665894776801
"inc case","GM12","ITWW-county_repro",0.190473169306551
"inc case","GM12","epiforecasts-EpiNow2",0.285023215244891
"inc case","GM12","KIT-time_series_baseline",0.0786561527627903
"inc case","GM12","Karlen-pypm",0.226181567908967
"inc case","GM13","USC-SIkJalpha",0.199906176833891
"inc case","GM13","ITWW-county_repro",0.178847617425486
"inc case","GM13","epiforecasts-EpiNow2",0.208054343412484
"inc case","GM13","KIT-time_series_baseline",0.239272496937437
"inc case","GM13","Karlen-pypm",0.173919365390703
"inc case","GM14","USC-SIkJalpha",0.241040555524452
"inc case","GM14","ITWW-county_repro",0.264906135484607
"inc case","GM14","epiforecasts-EpiNow2",0.27975786985024
"inc case","GM14","KIT-time_series_baseline",0.0384063111101222
"inc case","GM14","Karlen-pypm",0.17588912803058
"inc case","GM15","USC-SIkJalpha",0.223238614597632
"inc case","GM15","ITWW-county_repro",0.178479419015614
"inc case","GM15","epiforecasts-EpiNow2",0.190673646404729
"inc case","GM15","KIT-time_series_baseline",0.208587112207476
"inc case","GM15","Karlen-pypm",0.199021207774549
"inc case","GM16","USC-SIkJalpha",0.317467744674
"inc case","GM16","ITWW-county_repro",0.274937745253828
"inc case","GM16","epiforecasts-EpiNow2",0.174211867370091
"inc case","GM16","KIT-time_series_baseline",0.0436503144862576
"inc case","GM16","Karlen-pypm",0.189732328215823
"inc case","GM","FIAS_FZJ-Epi1Ger",0.0794384826167878
"inc case","GM","LANL-GrowthRate",0.0531782401991528
"inc case","GM","MIT_CovidAnalytics-DELPHI",0.0894318262996365
"inc case","GM","USC-SIkJalpha",0.0938529453103901
"inc case","GM","ITWW-county_repro",0.0489926090129534
"inc case","GM","epiforecasts-EpiExpert",0.156085318820091
"inc case","GM","epiforecasts-EpiNow2",0.145272332143147
"inc case","GM","KIT-time_series_baseline",0.150910001022518
"inc case","GM","Karlen-pypm",0.0913657848732269
"inc case","GM","itwm-dSEIR",0.0914724597020973
"cum case","GM01","USC-SIkJalpha",0.099804452574902
"cum case","GM01","ITWW-county_repro",0.177975240476976
"cum case","GM01","epiforecasts-EpiNow2",0.150521716630903
"cum case","GM01","KIT-time_series_baseline",0.376202338079015
"cum case","GM01","Karlen-pypm",0.195496252238204
"cum case","GM02","USC-SIkJalpha",0.110905105250159
"cum case","GM02","ITWW-county_repro",0.144679999913005
"cum case","GM02","epiforecasts-EpiNow2",0.150628940392189
"cum case","GM02","KIT-time_series_baseline",0.371147528867103
"cum case","GM02","Karlen-pypm",0.222638425577544
"cum case","GM03","USC-SIkJalpha",0.100378214708735
"cum case","GM03","ITWW-county_repro",0.0727917212204219
"cum case","GM03","epiforecasts-EpiNow2",0.160313790944871
"cum case","GM03","KIT-time_series_baseline",0.508212287576707
"cum case","GM03","Karlen-pypm",0.158303985549266
"cum case","GM04","USC-SIkJalpha",0.308581723523112
"cum case","GM04","ITWW-county_repro",0.161830170497185
"cum case","GM04","epiforecasts-EpiNow2",0.192965102165676
"cum case","GM04","KIT-time_series_baseline",0.0937400526291916
"cum case","GM04","Karlen-pypm",0.242882951184836
"cum case","GM05","USC-SIkJalpha",0.151901946037631
"cum case","GM05","ITWW-county_repro",0.135280704284343
"cum case","GM05","epiforecasts-EpiNow2",0.194548446779778
"cum case","GM05","KIT-time_series_baseline",0.249531050931676
"cum case","GM05","Karlen-pypm",0.268737851966573
"cum case","GM06","USC-SIkJalpha",0.20614283464211
"cum case","GM06","ITWW-county_repro",0.179721370695273
"cum case","GM06","epiforecasts-EpiNow2",0.139606826952139
"cum case","GM06","KIT-time_series_baseline",0.0996038887867006
"cum case","GM06","Karlen-pypm",0.374925078923777
"cum case","GM07","USC-SIkJalpha",0.148177047719004
"cum case","GM07","ITWW-county_repro",0.291336535017495
"cum case","GM07","epiforecasts-EpiNow2",0.193528227612689
"cum case","GM07","KIT-time_series_baseline",0.0822584357841215
"cum case","GM07","Karlen-pypm",0.284699753866691
"cum case","GM08","USC-SIkJalpha",0.240087602705063
"cum case","GM08","ITWW-county_repro",0.295184808419812
"cum case","GM08","epiforecasts-EpiNow2",0.0701923144069767
"cum case","GM08","KIT-time_series_baseline",0.124009870145462
"cum case","GM08","Karlen-pypm",0.270525404322686
"cum case","GM09","USC-SIkJalpha",0.0892725725398173
"cum case","GM09","ITWW-county_repro",0.0874686249845555
"cum case","GM09","epiforecasts-EpiNow2",0.25553309908284
"cum case","GM09","KIT-time_series_baseline",0.212816956417244
"cum case","GM09","Karlen-pypm",0.354908746975544
"cum case","GM10","USC-SIkJalpha",0.163638059618316
"cum case","GM10","ITWW-county_repro",0.371983920904955
"cum case","GM10","epiforecasts-EpiNow2",0.230744246631956
"cum case","GM10","KIT-time_series_baseline",0.136958129066532
"cum case","GM10","Karlen-pypm",0.0966756437782411
"cum case","GM11","USC-SIkJalpha",0.272629307824407
"cum case","GM11","ITWW-county_repro",0.130208565706494
"cum case","GM11","epiforecasts-EpiNow2",0.292404626643692
"cum case","GM11","KIT-time_series_baseline",0.180193692638084
"cum case","GM11","Karlen-pypm",0.124563807187323
"cum case","GM12","USC-SIkJalpha",0.202281996320965
"cum case","GM12","ITWW-county_repro",0.257239908918547
"cum case","GM12","epiforecasts-EpiNow2",0.166977343481116
"cum case","GM12","KIT-time_series_baseline",0.082160737745689
"cum case","GM12","Karlen-pypm",0.291340013533683
"cum case","GM13","USC-SIkJalpha",0.151524718249575
"cum case","GM13","ITWW-county_repro",0.218377149554475
"cum case","GM13","epiforecasts-EpiNow2",0.126094604008714
"cum case","GM13","KIT-time_series_baseline",0.305668917805057
"cum case","GM13","Karlen-pypm",0.198334610382178
"cum case","GM14","USC-SIkJalpha",0.220403793812151
"cum case","GM14","ITWW-county_repro",0.342979152322181
"cum case","GM14","epiforecasts-EpiNow2",0.212352878697397
"cum case","GM14","KIT-time_series_baseline",0.0390713573688863
"cum case","GM14","Karlen-pypm",0.185192817799385
"cum case","GM15","USC-SIkJalpha",0.225275921804166
"cum case","GM15","ITWW-county_repro",0.182303861857088
"cum case","GM15","epiforecasts-EpiNow2",0.127502557525594
"cum case","GM15","KIT-time_series_baseline",0.256380816765656
"cum case","GM15","Karlen-pypm",0.208536842047497
"cum case","GM16","USC-SIkJalpha",0.333620867761926
"cum case","GM16","ITWW-county_repro",0.299276720758047
"cum case","GM16","epiforecasts-EpiNow2",0.108558969750931
"cum case","GM16","KIT-time_series_baseline",0.0366924974149503
"cum case","GM16","Karlen-pypm",0.221850944314146
"cum case","GM","FIAS_FZJ-Epi1Ger",0.145407928242917
"cum case","GM","LANL-GrowthRate",0.0618433717691992
"cum case","GM","USC-SIkJalpha",0.0717337647929727
"cum case","GM","ITWW-county_repro",0.0573830319515199
"cum case","GM","epiforecasts-EpiExpert",0.20083406493357
"cum case","GM","epiforecasts-EpiNow2",0.0746771228929735
"cum case","GM","KIT-time_series_baseline",0.204166442843251
"cum case","GM","Karlen-pypm",0.0987583997738045
"cum case","GM","itwm-dSEIR",0.0851958727997922
"inc death","GM01","USC-SIkJalpha",0.174581690192233
"inc death","GM01","ITWW-county_repro",0.188192704682104
"inc death","GM01","epiforecasts-EpiNow2",0.262811952214938
"inc death","GM01","KIT-time_series_baseline",0.201018658034849
"inc death","GM01","Karlen-pypm",0.173394994875876
"inc death","GM02","USC-SIkJalpha",0.350660269095421
"inc death","GM02","ITWW-county_repro",0.0923635845054771
"inc death","GM02","epiforecasts-EpiNow2",0.296447562077609
"inc death","GM02","KIT-time_series_baseline",0.0959885407423912
"inc death","GM02","Karlen-pypm",0.164540043579102
"inc death","GM03","USC-SIkJalpha",0.283878915426014
"inc death","GM03","ITWW-county_repro",0.112899888314571
"inc death","GM03","epiforecasts-EpiNow2",0.216865167250699
"inc death","GM03","KIT-time_series_baseline",0.209370238545452
"inc death","GM03","Karlen-pypm",0.176985790463264
"inc death","GM04","USC-SIkJalpha",0.221755674910072
"inc death","GM04","ITWW-county_repro",0.324237463466811
"inc death","GM04","epiforecasts-EpiNow2",0.19852109138552
"inc death","GM04","KIT-time_series_baseline",0.0833520235579354
"inc death","GM04","Karlen-pypm",0.172133746679662
"inc death","GM05","USC-SIkJalpha",0.229577127663586
"inc death","GM05","ITWW-county_repro",0.163827951072181
"inc death","GM05","epiforecasts-EpiNow2",0.224240371739779
"inc death","GM05","KIT-time_series_baseline",0.239761156715054
"inc death","GM05","Karlen-pypm",0.142593392809401
"inc death","GM06","USC-SIkJalpha",0.371142953167803
"inc death","GM06","ITWW-county_repro",0.218285170392004
"inc death","GM06","epiforecasts-EpiNow2",0.150507503024708
"inc death","GM06","KIT-time_series_baseline",0.0531995244190116
"inc death","GM06","Karlen-pypm",0.206864848996474
"inc death","GM07","USC-SIkJalpha",0.249768827546584
"inc death","GM07","ITWW-county_repro",0.222466241172826
"inc death","GM07","epiforecasts-EpiNow2",0.291726293149526
"inc death","GM07","KIT-time_series_baseline",0.0543424182294004
"inc death","GM07","Karlen-pypm",0.181696219901662
"inc death","GM08","USC-SIkJalpha",0.27525345729054
"inc death","GM08","ITWW-county_repro",0.200801412785276
"inc death","GM08","epiforecasts-EpiNow2",0.116839683438891
