"target","location","model","inverse_wis_weight"
"inc case","GM01","USC-SIkJalpha",0.0784665195862876
"inc case","GM01","ITWW-county_repro",0.216836599183137
"inc case","GM01","epiforecasts-EpiNow2",0.296758779769164
"inc case","GM01","KIT-time_series_baseline",0.297806497020092
"inc case","GM01","Karlen-pypm",0.110131604441319
"inc case","GM02","USC-SIkJalpha",0.0966704774846209
"inc case","GM02","ITWW-county_repro",0.224770780680398
"inc case","GM02","epiforecasts-EpiNow2",0.318572347994983
"inc case","GM02","KIT-time_series_baseline",0.219531718295337
"inc case","GM02","Karlen-pypm",0.14045467554466
"inc case","GM03","USC-SIkJalpha",0.179496274352018
"inc case","GM03","ITWW-county_repro",0.109404058645397
"inc case","GM03","epiforecasts-EpiNow2",0.273792823077434
"inc case","GM03","KIT-time_series_baseline",0.278950387084325
"inc case","GM03","Karlen-pypm",0.158356456840826
"inc case","GM04","USC-SIkJalpha",0.205021237001809
"inc case","GM04","ITWW-county_repro",0.151237336297975
"inc case","GM04","epiforecasts-EpiNow2",0.307747353150535
"inc case","GM04","KIT-time_series_baseline",0.104129751277861
"inc case","GM04","Karlen-pypm",0.23186432227182
"inc case","GM05","USC-SIkJalpha",0.138655198498969
"inc case","GM05","ITWW-county_repro",0.145647833670956
"inc case","GM05","epiforecasts-EpiNow2",0.356632074082276
"inc case","GM05","KIT-time_series_baseline",0.105403215002624
"inc case","GM05","Karlen-pypm",0.253661678745175
"inc case","GM06","USC-SIkJalpha",0.138306344276674
"inc case","GM06","ITWW-county_repro",0.184527654272356
"inc case","GM06","epiforecasts-EpiNow2",0.215712910167416
"inc case","GM06","KIT-time_series_baseline",0.120011957990181
"inc case","GM06","Karlen-pypm",0.341441133293373
"inc case","GM07","USC-SIkJalpha",0.157121242235112
"inc case","GM07","ITWW-county_repro",0.212974057317579
"inc case","GM07","epiforecasts-EpiNow2",0.292459102013367
"inc case","GM07","KIT-time_series_baseline",0.0924342969757318
"inc case","GM07","Karlen-pypm",0.245011301458211
