"location","target","model","inverse_wis_weight"
"GM","inc case","FIAS_FZJ-Epi1Ger",0.254229854688513
"GM","inc case","LANL-GrowthRate",0.0882665944137264
"GM","inc case","MIT_CovidAnalytics-DELPHI",0.0642820688613173
"GM","inc case","USC-SIkJalpha",0.0456878974700493
"GM","inc case","ITWW-county_repro",0.0513854949662609
"GM","inc case","epiforecasts-EpiExpert",0.142269529971772
"GM","inc case","epiforecasts-EpiNow2",0.305398947219315
"GM","inc case","Karlen-pypm",0.0484796124090455
"GM","cum case","FIAS_FZJ-Epi1Ger",0.279972018374677
"GM","cum case","LANL-GrowthRate",0.0844770309209884
"GM","cum case","USC-SIkJalpha",0.0387895381182545
"GM","cum case","ITWW-county_repro",0.0408072900869725
"GM","cum case","epiforecasts-EpiExpert",0.177503966245746
"GM","cum case","epiforecasts-EpiNow2",0.338271565585222
"GM","cum case","Karlen-pypm",0.0401785906681389
"GM","inc death","FIAS_FZJ-Epi1Ger",0.0779223404238343
"GM","inc death","LANL-GrowthRate",0.181315367144333
"GM","inc death","MIT_CovidAnalytics-DELPHI",0.0519091537685962
"GM","inc death","USC-SIkJalpha",0.0519091537685962
"GM","inc death","ITWW-county_repro",0.0977689819337223
"GM","inc death","epiforecasts-EpiExpert",0.227066911071879
"GM","inc death","epiforecasts-EpiNow2",0.256036778844037
"GM","inc death","Karlen-pypm",0.0560713130450019
"GM","cum death","FIAS_FZJ-Epi1Ger",0.0745673368495059
"GM","cum death","LANL-GrowthRate",0.170247048406703
"GM","cum death","MIT_CovidAnalytics-DELPHI",0.045331357642349
"GM","cum death","USC-SIkJalpha",0.045331357642349
"GM","cum death","ITWW-county_repro",0.0954398260945111
"GM","cum death","epiforecasts-EpiExpert",0.211891876235546
"GM","cum death","epiforecasts-EpiNow2",0.309747479641188
"GM","cum death","Karlen-pypm",0.0474437174878483
"PL","inc case","LANL-GrowthRate",0.148982531275174
"PL","inc case","MIT_CovidAnalytics-DELPHI",0.133291263234199
"PL","inc case","USC-SIkJalpha",0.0609401799385269
"PL","inc case","ICM-agentModel",0.0762412084437429
"PL","inc case","ITWW-county_repro",0.189799540440651
"PL","inc case","epiforecasts-EpiExpert",0.0827929118508323
"PL","inc case","epiforecasts-EpiNow2",0.307952364816874
"PL","cum case","LANL-GrowthRate",0.189094402482998
"PL","cum case","USC-SIkJalpha",0.0639625475147994
"PL","cum case","ICM-agentModel",0.0657534502110186
"PL","cum case","ITWW-county_repro",0.228031541514671
"PL","cum case","epiforecasts-EpiExpert",0.0832281768389159
"PL","cum case","epiforecasts-EpiNow2",0.369929881437597
"PL","inc death","LANL-GrowthRate",0.489259990423744
"PL","inc death","MIT_CovidAnalytics-DELPHI",0.109587831348056
"PL","inc death","USC-SIkJalpha",0.0221028085653231
"PL","inc death","ICM-agentModel",0.0227194443119796
"PL","inc death","ITWW-county_repro",0.221537589568768
"PL","inc death","epiforecasts-EpiExpert",0.100554782842778
"PL","inc death","epiforecasts-EpiNow2",0.0342375529393513
"PL","cum death","LANL-GrowthRate",0.506232100787284
"PL","cum death","MIT_CovidAnalytics-DELPHI",0.0990831946154129
"PL","cum death","USC-SIkJalpha",0.0229084925970312
"PL","cum death","ICM-agentModel",0.0229589553824883
"PL","cum death","ITWW-county_repro",0.211809389605367
"PL","cum death","epiforecasts-EpiExpert",0.102789376947861
"PL","cum death","epiforecasts-EpiNow2",0.0342184900645547
