id,Country,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09
0,"Washington",2703,2714,2726,2739,2751,2764,2777,2792,2806,2821,2837,2853,2870,2887,2904,2921,2939,2957,2975,2994,3014,3033,3053,3073,3094,3115,3137,3159,3181,3203,3226,3250,3273,3297,3322,3346,3371,3397,3422,3448,3475,3501,3528,3555,3583,3610,3638,3667,3695,3724,3752,3781,3810,3840,3869,3899,3928,3958,3988,4018,4047,4077,4107,4137,4167,4197,4227,4257,4286,4316,4345,4375,4404,4433,4461,4490,4519,4547,4575,4602,4630,4657,4684,4711,4737,4763,4789,4814,4839,4864,4888,4912,4936,4960,4982,5005,5027,5049,5071,5092,5112,5133
1,"Illinois",12838,12975,13115,13258,13404,13550,13697,13844,13990,14134,14275,14414,14551,14686,14820,14951,15080,15207,15332,15455,15576,15694,15810,15923,16034,16143,16249,16353,16454,16553,16650,16744,16836,16925,17012,17097,17180,17260,17338,17414,17487,17559,17628,17695,17761,17824,17885,17945,18003,18058,18112,18165,18215,18264,18312,18357,18402,18444,18486,18526,18564,18601,18637,18672,18706,18738,18769,18799,18828,18856,18883,18909,18934,18958,18982,19004,19026,19046,19067,19086,19104,19122,19140,19156,19172,19188,19202,19217,19230,19244,19256,19268,19280,19292,19302,19313,19323,19333,19342,19351,19360,19368
2,"California",19116,19198,19284,19375,19472,19574,19681,19794,19913,20037,20166,20299,20437,20578,20722,20869,21019,21170,21321,21472,21623,21774,21924,22073,22222,22370,22518,22664,22811,22956,23100,23244,23387,23528,23669,23809,23948,24085,24222,24357,24492,24625,24756,24887,25016,25144,25271,25396,25520,25643,25764,25884,26002,26119,26235,26349,26461,26572,26682,26790,26897,27002,27105,27207,27308,27407,27505,27601,27696,27789,27880,27971,28059,28146,28232,28317,28399,28481,28561,28640,28717,28793,28867,28940,29012,29083,29152,29220,29286,29351,29415,29478,29540,29600,29659,29717,29774,29830,29884,29938,29990,30041
3,"Arizona",6624,6651,6679,6709,6741,6774,6809,6846,6884,6924,6966,7009,7054,7099,7147,7195,7243,7293,7343,7393,7443,7494,7544,7595,7645,7696,7747,7799,7850,7901,7953,8004,8056,8108,8160,8212,8264,8316,8368,8420,8472,8524,8577,8629,8681,8733,8785,8837,8890,8942,8994,9046,9097,9149,9201,9253,9304,9356,9407,9458,9509,9560,9611,9662,9713,9763,9813,9863,9913,9963,10012,10062,10111,10160,10208,10257,10305,10353,10401,10448,10495,10542,10589,10636,10682,10728,10773,10819,10864,10909,10953,10997,11041,11085,11128,11171,11214,11256,11298,11340,11382,11423
4,"Massachusetts",10676,10704,10732,10762,10792,10824,10856,10888,10921,10954,10987,11021,11054,11088,11122,11156,11190,11225,11259,11294,11329,11364,11399,11434,11470,11505,11540,11576,11611,11646,11682,11717,11752,11787,11823,11858,11893,11927,11962,11997,12031,12066,12100,12134,12167,12201,12234,12267,12300,12333,12365,12397,12429,12461,12492,12523,12554,12584,12614,12644,12673,12702,12731,12759,12787,12815,12842,12869,12896,12922,12948,12973,12998,13023,13047,13071,13095,13118,13141,13163,13185,13207,13228,13249,13270,13290,13310,13329,13348,13367,13385,13403,13421,13438,13455,13472,13488,13504,13520,13535,13550,13565
5,"Wisconsin",3464,3522,3581,3641,3701,3761,3822,3883,3943,4001,4059,4115,4170,4224,4277,4328,4378,4427,4475,4521,4565,4608,4649,4689,4728,4765,4802,4836,4870,4902,4933,4963,4992,5019,5046,5071,5096,5119,5142,5163,5184,5204,5223,5241,5259,5275,5291,5307,5321,5335,5349,5362,5374,5386,5397,5408,5418,5428,5437,5446,5454,5462,5470,5478,5485,5491,5498,5504,5510,5515,5521,5526,5531,5535,5540,5544,5548,5552,5555,5559,5562,5565,5568,5571,5574,5576,5579,5581,5583,5586,5588,5590,5591,5593,5595,5597,5598,5599,5601,5602,5603,5605
6,"Texas",21788,21928,22071,22217,22367,22520,22677,22838,23003,23168,23334,23499,23665,23831,23994,24156,24316,24476,24634,24791,24946,25099,25251,25401,25550,25698,25844,25988,26131,26272,26412,26550,26686,26821,26954,27085,27214,27342,27468,27593,27715,27836,27956,28073,28189,28303,28415,28526,28635,28742,28848,28952,29054,29154,29253,29351,29446,29540,29632,29723,29812,29900,29986,30070,30153,30235,30315,30393,30470,30546,30620,30693,30764,30834,30902,30970,31036,31100,31164,31226,31286,31346,31404,31462,31518,31572,31626,31679,31730,31781,31830,31878,31926,31972,32017,32062,32105,32148,32189,32230,32269,32308
7,"Nebraska",989,1004,1019,1034,1050,1066,1082,1097,1113,1128,1143,1158,1173,1188,1203,1217,1231,1244,1258,1271,1284,1296,1308,1320,1332,1344,1356,1367,1378,1389,1399,1410,1420,1430,1439,1449,1458,1468,1477,1485,1494,1502,1511,1519,1527,1534,1542,1549,1556,1563,1570,1577,1584,1590,1596,1603,1609,1614,1620,1626,1631,1636,1642,1647,1652,1656,1661,1666,1670,1675,1679,1683,1687,1691,1695,1699,1702,1706,1709,1713,1716,1719,1722,1725,1728,1731,1734,1737,1740,1742,1745,1747,1750,1752,1754,1756,1759,1761,1763,1765,1767,1769
8,"Utah",863,876,890,905,919,934,949,965,980,995,1011,1026,1041,1056,1070,1085,1099,1114,1128,1142,1155,1168,1181,1194,1206,1219,1231,1242,1254,1265,1275,1286,1296,1306,1316,1326,1335,1344,1353,1361,1369,1377,1385,1393,1400,1407,1414,1421,1427,1433,1439,1445,1451,1456,1462,1467,1472,1477,1481,1486,1490,1494,1498,1502,1506,1509,1513,1516,1520,1523,1526,1529,1531,1534,1537,1539,1542,1544,1546,1548,1550,1552,1554,1556,1558,1560,1561,1563,1564,1566,1567,1568,1570,1571,1572,1573,1575,1576,1577,1578,1579,1579
9,"Oregon",896,907,918,929,941,954,967,980,993,1007,1021,1035,1050,1065,1080,1096,1112,1128,1144,1161,1178,1195,1212,1229,1247,1265,1283,1301,1320,1338,1357,1377,1396,1415,1435,1455,1475,1495,1515,1536,1556,1577,1598,1619,1640,1661,1682,1703,1724,1746,1767,1788,1810,1831,1853,1874,1895,1917,1938,1959,1980,2001,2022,2043,2064,2085,2105,2126,2146,2166,2186,2206,2226,2245,2265,2284,2303,2322,2340,2359,2377,2395,2413,2430,2447,2464,2481,2498,2514,2530,2546,2561,2577,2592,2607,2621,2635,2649,2663,2677,2690,2703
