forecast_date,target,target_end_date,location_name,type,quantile,value,location
2020-04-26,1 day ahead cum death,2020-04-27,Germany,point,NA,6147.83845940649,GM
2020-04-26,1 wk ahead cum death,2020-05-02,Germany,point,NA,6970.71582857283,GM
2020-04-26,10 day ahead cum death,2020-05-06,Germany,point,NA,7514.85238172715,GM
2020-04-26,11 day ahead cum death,2020-05-07,Germany,point,NA,7635.54949935216,GM
2020-04-26,12 day ahead cum death,2020-05-08,Germany,point,NA,7748.53130614963,GM
2020-04-26,13 day ahead cum death,2020-05-09,Germany,point,NA,7854.32202103611,GM
2020-04-26,14 day ahead cum death,2020-05-10,Germany,point,NA,7958.7578402758,GM
2020-04-26,15 day ahead cum death,2020-05-11,Germany,point,NA,8058.88008563961,GM
2020-04-26,16 day ahead cum death,2020-05-12,Germany,point,NA,8155.77366399684,GM
2020-04-26,17 day ahead cum death,2020-05-13,Germany,point,NA,8240.75958715148,GM
2020-04-26,18 day ahead cum death,2020-05-14,Germany,point,NA,8318.8443736093,GM
2020-04-26,19 day ahead cum death,2020-05-15,Germany,point,NA,8404.13443146484,GM
2020-04-26,2 day ahead cum death,2020-04-28,Germany,point,NA,6320.61306142441,GM
2020-04-26,2 wk ahead cum death,2020-05-09,Germany,point,NA,7854.32202103611,GM
2020-04-26,20 day ahead cum death,2020-05-16,Germany,point,NA,8478.00979949171,GM
2020-04-26,21 day ahead cum death,2020-05-17,Germany,point,NA,8548.69618450853,GM
2020-04-26,22 day ahead cum death,2020-05-18,Germany,point,NA,8615.85052935881,GM
2020-04-26,23 day ahead cum death,2020-05-19,Germany,point,NA,8678.92208296902,GM
2020-04-26,24 day ahead cum death,2020-05-20,Germany,point,NA,8751.16502381665,GM
2020-04-26,25 day ahead cum death,2020-05-21,Germany,point,NA,8820.85821400302,GM
2020-04-26,26 day ahead cum death,2020-05-22,Germany,point,NA,8874.35200158161,GM
2020-04-26,27 day ahead cum death,2020-05-23,Germany,point,NA,8933.83581759232,GM
2020-04-26,28 day ahead cum death,2020-05-24,Germany,point,NA,8993.95767705894,GM
2020-04-26,29 day ahead cum death,2020-05-25,Germany,point,NA,9054.96529331094,GM
2020-04-26,3 day ahead cum death,2020-04-29,Germany,point,NA,6493.4590538137,GM
2020-04-26,3 wk ahead cum death,2020-05-16,Germany,point,NA,8478.00979949171,GM
2020-04-26,30 day ahead cum death,2020-05-26,Germany,point,NA,9101.47415297266,GM
2020-04-26,31 day ahead cum death,2020-05-27,Germany,point,NA,9143.51605148623,GM
2020-04-26,32 day ahead cum death,2020-05-28,Germany,point,NA,9191.27757849263,GM
2020-04-26,33 day ahead cum death,2020-05-29,Germany,point,NA,9237.40340049322,GM
2020-04-26,34 day ahead cum death,2020-05-30,Germany,point,NA,9277.81389281797,GM
2020-04-26,35 day ahead cum death,2020-05-31,Germany,point,NA,9323.94987575899,GM
