forecast_date,target,target_end_date,location_name,type,quantile,value,location
2020-04-29,1 day ahead cum death,2020-04-30,Germany,point,NA,6612.57569401629,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,point,NA,7824.97282412764,GM
2020-04-29,10 day ahead cum death,2020-05-09,Germany,point,NA,7824.97282412764,GM
2020-04-29,11 day ahead cum death,2020-05-10,Germany,point,NA,7946.56342778464,GM
2020-04-29,12 day ahead cum death,2020-05-11,Germany,point,NA,8054.3499163967,GM
2020-04-29,13 day ahead cum death,2020-05-12,Germany,point,NA,8162.58608115622,GM
2020-04-29,14 day ahead cum death,2020-05-13,Germany,point,NA,8262.75867211585,GM
2020-04-29,15 day ahead cum death,2020-05-14,Germany,point,NA,8366.03817205419,GM
2020-04-29,16 day ahead cum death,2020-05-15,Germany,point,NA,8465.55503473829,GM
2020-04-29,17 day ahead cum death,2020-05-16,Germany,point,NA,8561.65722753815,GM
2020-04-29,18 day ahead cum death,2020-05-17,Germany,point,NA,8661.92290346664,GM
2020-04-29,19 day ahead cum death,2020-05-18,Germany,point,NA,8750.68559030977,GM
2020-04-29,2 day ahead cum death,2020-05-01,Germany,point,NA,6763.15212185005,GM
2020-04-29,2 wk ahead cum death,2020-05-16,Germany,point,NA,8561.65722753815,GM
2020-04-29,20 day ahead cum death,2020-05-19,Germany,point,NA,8836.53014778924,GM
2020-04-29,21 day ahead cum death,2020-05-20,Germany,point,NA,8910.48261755996,GM
2020-04-29,22 day ahead cum death,2020-05-21,Germany,point,NA,8989.4910094799,GM
2020-04-29,23 day ahead cum death,2020-05-22,Germany,point,NA,9063.12122301218,GM
2020-04-29,24 day ahead cum death,2020-05-23,Germany,point,NA,9132.47305433009,GM
2020-04-29,25 day ahead cum death,2020-05-24,Germany,point,NA,9204.59016604431,GM
2020-04-29,26 day ahead cum death,2020-05-25,Germany,point,NA,9278.24363823751,GM
2020-04-29,27 day ahead cum death,2020-05-26,Germany,point,NA,9346.54869104122,GM
2020-04-29,28 day ahead cum death,2020-05-27,Germany,point,NA,9418.17521114528,GM
2020-04-29,29 day ahead cum death,2020-05-28,Germany,point,NA,9476.3475362024,GM
2020-04-29,3 day ahead cum death,2020-05-02,Germany,point,NA,6912.05268472082,GM
2020-04-29,3 wk ahead cum death,2020-05-23,Germany,point,NA,9132.47305433009,GM
2020-04-29,30 day ahead cum death,2020-05-29,Germany,point,NA,9532.37628604771,GM
2020-04-29,31 day ahead cum death,2020-05-30,Germany,point,NA,9590.67084950279,GM
2020-04-29,32 day ahead cum death,2020-05-31,Germany,point,NA,9645.42221182096,GM
2020-04-29,33 day ahead cum death,2020-06-01,Germany,point,NA,9692.35268223614,GM
2020-04-29,34 day ahead cum death,2020-06-02,Germany,point,NA,9740.31193578061,GM
2020-04-29,35 day ahead cum death,2020-06-03,Germany,point,NA,9781.76690381373,GM
2020-04-29,36 day ahead cum death,2020-06-04,Germany,point,NA,9826.33434059692,GM
2020-04-29,37 day ahead cum death,2020-06-05,Germany,point,NA,9881.49230936762,GM
2020-04-29,38 day ahead cum death,2020-06-06,Germany,point,NA,9924.43576914509,GM
2020-04-29,39 day ahead cum death,2020-06-07,Germany,point,NA,9971.7009388882,GM
2020-04-29,4 day ahead cum death,2020-05-03,Germany,point,NA,7055.10751904805,GM
2020-04-29,4 wk ahead cum death,2020-05-30,Germany,point,NA,9590.67084950279,GM
2020-04-29,40 day ahead cum death,2020-06-08,Germany,point,NA,10016.6526159957,GM
2020-04-29,41 day ahead cum death,2020-06-09,Germany,point,NA,10046.6905650009,GM
2020-04-29,42 day ahead cum death,2020-06-10,Germany,point,NA,10077.260400432,GM
2020-04-29,43 day ahead cum death,2020-06-11,Germany,point,NA,10119.6022443925,GM
2020-04-29,44 day ahead cum death,2020-06-12,Germany,point,NA,10156.3787553661,GM
2020-04-29,45 day ahead cum death,2020-06-13,Germany,point,NA,10187.7277341417,GM
2020-04-29,46 day ahead cum death,2020-06-14,Germany,point,NA,10214.3959965176,GM
2020-04-29,47 day ahead cum death,2020-06-15,Germany,point,NA,10243.8752206711,GM
2020-04-29,48 day ahead cum death,2020-06-16,Germany,point,NA,10275.9007906157,GM
2020-04-29,5 day ahead cum death,2020-05-04,Germany,point,NA,7197.095489194,GM
2020-04-29,5 wk ahead cum death,2020-06-06,Germany,point,NA,9924.43576914509,GM
2020-04-29,6 day ahead cum death,2020-05-05,Germany,point,NA,7333.15939430621,GM
2020-04-29,6 wk ahead cum death,2020-06-13,Germany,point,NA,10187.7277341417,GM
2020-04-29,7 day ahead cum death,2020-05-06,Germany,point,NA,7462.86516777027,GM
2020-04-29,8 day ahead cum death,2020-05-07,Germany,point,NA,7586.93589577225,GM
2020-04-29,9 day ahead cum death,2020-05-08,Germany,point,NA,7708.65711831545,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.01,6511.04281669709,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.025,6522.61882492927,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.05,6534.95388099031,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.1,6548.06344021196,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.15,6559.54456186132,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.2,6568.94073480208,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.25,6577.02907386283,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.3,6584.91930138355,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.35,6592.73549413098,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.4,6599.13888587339,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.45,6605.62513735582,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.5,6612.57569401629,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.55,6619.33455474441,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.6,6627.43396759896,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.65,6636.15355855539,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.7,6645.10776518242,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.75,6655.49718514801,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.8,6668.12399246388,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.85,6686.97740286569,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.9,6705.10742507352,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.95,6741.39357785418,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.975,6772.62995767155,GM
2020-04-29,1 day ahead cum death,2020-04-30,Germany,quantile,0.99,6816.42459357673,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.01,6966.23916890865,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.025,7074.45191005136,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.05,7181.02224473022,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.1,7298.61938538255,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.15,7387.72600352588,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.2,7468.93706568671,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.25,7538.63075730862,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.3,7596.78396239063,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.35,7653.52204485076,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.4,7711.75560824887,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.45,7766.7077031746,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.5,7824.97282412764,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.55,7887.96314935501,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.6,7953.03000514752,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.65,8015.3895439217,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.7,8091.48819400539,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.75,8152.92471810006,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.8,8244.0762559383,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.85,8332.89203202149,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.9,8477.00385870559,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.95,8686.65189976617,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.975,8901.2164722933,GM
2020-04-29,1 wk ahead cum death,2020-05-09,Germany,quantile,0.99,9216.52546522051,GM
2020-04-29,10 day ahead cum death,2020-05-09,Germany,quantile,0.01,6966.23916890865,GM
2020-04-29,10 day ahead cum death,2020-05-09,Germany,quantile,0.025,7074.45191005136,GM
2020-04-29,10 day ahead cum death,2020-05-09,Germany,quantile,0.05,7181.02224473022,GM
2020-04-29,10 day ahead cum death,2020-05-09,Germany,quantile,0.1,7298.61938538255,GM
2020-04-29,10 day ahead cum death,2020-05-09,Germany,quantile,0.15,7387.72600352588,GM
2020-04-29,10 day ahead cum death,2020-05-09,Germany,quantile,0.2,7468.93706568671,GM
2020-04-29,10 day ahead cum death,2020-05-09,Germany,quantile,0.25,7538.63075730862,GM
2020-04-29,10 day ahead cum death,2020-05-09,Germany,quantile,0.3,7596.78396239063,GM
