forecast_date,target,target_end_date,location_name,type,quantile,value,location
2020-05-06,1 day ahead cum death,2020-05-07,Germany,point,NA,7343.74446433152,GM
2020-05-06,1 wk ahead cum death,2020-05-16,Germany,point,NA,7931.58378918333,GM
2020-05-06,10 day ahead cum death,2020-05-16,Germany,point,NA,7931.58378918333,GM
2020-05-06,11 day ahead cum death,2020-05-17,Germany,point,NA,7984.39628282753,GM
2020-05-06,12 day ahead cum death,2020-05-18,Germany,point,NA,8035.3389629875,GM
2020-05-06,13 day ahead cum death,2020-05-19,Germany,point,NA,8083.92305333437,GM
2020-05-06,14 day ahead cum death,2020-05-20,Germany,point,NA,8132.81084192416,GM
2020-05-06,15 day ahead cum death,2020-05-21,Germany,point,NA,8184.48102626407,GM
2020-05-06,16 day ahead cum death,2020-05-22,Germany,point,NA,8232.71269845009,GM
2020-05-06,17 day ahead cum death,2020-05-23,Germany,point,NA,8278.01900429583,GM
2020-05-06,18 day ahead cum death,2020-05-24,Germany,point,NA,8322.68737388117,GM
2020-05-06,19 day ahead cum death,2020-05-25,Germany,point,NA,8364.65782680564,GM
2020-05-06,2 day ahead cum death,2020-05-08,Germany,point,NA,7419.61852900024,GM
2020-05-06,2 wk ahead cum death,2020-05-23,Germany,point,NA,8278.01900429583,GM
2020-05-06,20 day ahead cum death,2020-05-26,Germany,point,NA,8406.67755336759,GM
2020-05-06,21 day ahead cum death,2020-05-27,Germany,point,NA,8445.52065284521,GM
2020-05-06,22 day ahead cum death,2020-05-28,Germany,point,NA,8479.90681698314,GM
2020-05-06,23 day ahead cum death,2020-05-29,Germany,point,NA,8515.59612207971,GM
2020-05-06,24 day ahead cum death,2020-05-30,Germany,point,NA,8549.03932991735,GM
2020-05-06,25 day ahead cum death,2020-05-31,Germany,point,NA,8581.93521877926,GM
2020-05-06,26 day ahead cum death,2020-06-01,Germany,point,NA,8614.83728790662,GM
2020-05-06,27 day ahead cum death,2020-06-02,Germany,point,NA,8647.18730693291,GM
2020-05-06,28 day ahead cum death,2020-06-03,Germany,point,NA,8673.18027344441,GM
2020-05-06,29 day ahead cum death,2020-06-04,Germany,point,NA,8699.4143924664,GM
2020-05-06,3 day ahead cum death,2020-05-09,Germany,point,NA,7490.88848811355,GM
2020-05-06,3 wk ahead cum death,2020-05-30,Germany,point,NA,8549.03932991735,GM
2020-05-06,30 day ahead cum death,2020-06-05,Germany,point,NA,8727.27493559766,GM
2020-05-06,31 day ahead cum death,2020-06-06,Germany,point,NA,8753.24049504553,GM
2020-05-06,32 day ahead cum death,2020-06-07,Germany,point,NA,8779.7670995537,GM
2020-05-06,33 day ahead cum death,2020-06-08,Germany,point,NA,8800.2194983799891,GM
2020-05-06,34 day ahead cum death,2020-06-09,Germany,point,NA,8825.94459206519,GM
2020-05-06,35 day ahead cum death,2020-06-10,Germany,point,NA,8843.12110520091,GM
2020-05-06,36 day ahead cum death,2020-06-11,Germany,point,NA,8867.55793704418,GM
2020-05-06,37 day ahead cum death,2020-06-12,Germany,point,NA,8886.70007655022,GM
2020-05-06,38 day ahead cum death,2020-06-13,Germany,point,NA,8914.77744747606,GM
2020-05-06,39 day ahead cum death,2020-06-14,Germany,point,NA,8935.95976867534,GM
2020-05-06,4 day ahead cum death,2020-05-10,Germany,point,NA,7560.93087894988,GM
2020-05-06,4 wk ahead cum death,2020-06-06,Germany,point,NA,8753.24049504553,GM
2020-05-06,40 day ahead cum death,2020-06-15,Germany,point,NA,8951.78793799369,GM
2020-05-06,41 day ahead cum death,2020-06-16,Germany,point,NA,8966.70787472427,GM
2020-05-06,42 day ahead cum death,2020-06-17,Germany,point,NA,8983.41340467477,GM
2020-05-06,43 day ahead cum death,2020-06-18,Germany,point,NA,8996.5439859972,GM
2020-05-06,44 day ahead cum death,2020-06-19,Germany,point,NA,9014.24087160372,GM
2020-05-06,45 day ahead cum death,2020-06-20,Germany,point,NA,9031.78676159139,GM
2020-05-06,46 day ahead cum death,2020-06-21,Germany,point,NA,9044.46319913298,GM
2020-05-06,47 day ahead cum death,2020-06-22,Germany,point,NA,9059.03222912152,GM
2020-05-06,48 day ahead cum death,2020-06-23,Germany,point,NA,9065.96945266786,GM
2020-05-06,5 day ahead cum death,2020-05-11,Germany,point,NA,7628.98661764554,GM
2020-05-06,5 wk ahead cum death,2020-06-13,Germany,point,NA,8914.77744747606,GM
2020-05-06,6 day ahead cum death,2020-05-12,Germany,point,NA,7696.96866816322,GM
2020-05-06,6 wk ahead cum death,2020-06-20,Germany,point,NA,9031.78676159139,GM
2020-05-06,7 day ahead cum death,2020-05-13,Germany,point,NA,7753.30080662812,GM
2020-05-06,8 day ahead cum death,2020-05-14,Germany,point,NA,7816.20590885176,GM
2020-05-06,9 day ahead cum death,2020-05-15,Germany,point,NA,7878.63190671648,GM
2020-05-06,1 day ahead cum death,2020-05-07,Germany,quantile,0.01,7286.27672866095,GM
2020-05-06,1 day ahead cum death,2020-05-07,Germany,quantile,0.025,7290.14782363837,GM
