id,Country,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03
11,"New York",602120,606917,611684,616404,621070,625671,630200,634655,639001,643282,647496,651638,655708,659703,663625,667472,671251,674959,678599,682169,685670,689104,692471,695772,699008,702180,705288,708333,711317,714239,717101,719904,722648,725335,727965,730539,733058,735524,737936,740295,742604,744861,747069,749229,751340,753404,755422,757395,759323,761207,763049,764848,766606,768324,770002,771642,773243,774807,776334,777825,779282,780704,782092,783448,784771,786063,787324,788555,789756,790928,792072,793188,794278,795341,796378,797389,798376,799339,800279,801195,802089,802960,803811,804640,805449,806237,807006,807756,808488,809201,809896,810574,811235,811879,812508,813120,813717,814299,814867,815420,815959
12,"Rhode Island",50573,51685,52831,54014,55242,56523,57863,59255,60686,62165,63695,65277,66912,68599,70336,72123,73961,75850,77788,79775,81811,83892,86019,88189,90402,92654,94945,97270,99629,102018,104434,106875,109337,111817,114312,116819,119333,121851,124370,126886,129395,131895,134380,136849,139298,141723,144121,146490,148826,151127,153391,155615,157797,159935,162028,164074,166071,168019,169916,171762,173557,175300,176990,178628,180214,181748,183230,184661,186042,187373,188655,189889,191075,192216,193311,194363,195371,196338,197265,198152,199001,199813,200589,201332,202041,202718,203364,203981,204569,205130,205664,206173,206659,207121,207561,207979,208378,208756,209117,209460,209786
13,"Georgia",451056,454327,457653,461036,464477,467976,471532,475130,478766,482439,486160,489925,493739,497604,501523,505489,509506,513573,517689,521853,526065,530323,534628,538979,543379,547826,552320,556862,561450,566085,570765,575491,580261,585076,589934,594835,599778,604764,609792,614861,619970,625118,630305,635531,640793,646092,651426,656795,662198,667633,673100,678599,684127,689684,695268,700880,706516,712178,717862,723569,729296,735043,740809,746592,752391,758204,764031,769870,775719,781578,787445,793319,799198,805082,810968,816855,822742,828628,834512,840391,846264,852131,857990,863839,869677,875503,881316,887113,892895,898660,904406,910132,915837,921520,927179,932814,938424,944006,949560,955086,960581
14,"New Hampshire",18082,18520,18967,19421,19881,20348,20822,21305,21797,22296,22803,23318,23842,24373,24914,25462,26019,26585,27160,27743,28335,28935,29545,30164,30792,31429,32075,32730,33394,34068,34751,35444,36145,36857,37577,38307,39047,39796,40555,41323,42100,42887,43684,44490,45306,46131,46965,47809,48663,49525,50397,51278,52168,53068,53976,54893,55820,56755,57698,58651,59612,60581,61558,62544,63538,64539,65549,66566,67590,68622,69661,70707,71760,72819,73885,74957,76036,77120,78210,79305,80406,81512,82622,83737,84857,85981,87108,88239,89374,90512,91653,92796,93942,95090,96240,97392,98545,99699,100854,102010,103166
15,"North Carolina",339194,342635,346113,349627,353179,356771,360388,364041,367731,371452,375204,378986,382796,386632,390495,394383,398295,402228,406182,410154,414144,418151,422171,426205,430250,434305,438367,442437,446511,450588,454666,458744,462821,466893,470961,475021,479074,483115,487146,491162,495164,499149,503117,507064,510991,514895,518776,522631,526459,530260,534032,537773,541483,545160,548804,552413,555987,559523,563023,566484,569905,573288,576629,579930,583188,586405,589578,592709,595796,598839,601837,604791,607701,610565,613385,616159,618888,621572,624211,626804,629353,631857,634316,636730,639101,641427,643709,645948,648144,650297,652407,654475,656502,658488,660432,662337,664201,666027,667813,669561,671271
16,"New Jersey",309588,313489,317404,321335,325276,329225,333174,337131,341110,345096,349090,353090,357095,361105,365121,369142,373166,377191,381219,385247,389275,393302,397328,401351,405371,409387,413399,417404,421404,425396,429380,433356,437322,441278,445222,449155,453076,456984,460877,464756,468620,472468,476299,480112,483908,487686,491444,495182,498900,502597,506273,509926,513557,517165,520750,524310,527846,531356,534842,538301,541734,545141,548521,551873,555197,558494,561762,565002,568213,571395,574547,577670,580763,583826,586859,589862,592834,595776,598687,601567,604416,607235,610022,612778,615504,618198,620861,623493,626094,628664,631203,633710,636188,638634,641049,643434,645789,648113,650407,652670,654904
17,"Colorado",202289,207127,211946,216735,221477,226169,230826,235448,240021,244540,249002,253404,257744,262021,266231,270372,274442,278437,282358,286201,289967,293654,297261,300786,304231,307593,310873,314072,317188,320222,323176,326048,328840,331552,334186,336742,339221,341625,343955,346211,348396,350510,352555,354533,356444,358291,360075,361798,363460,365065,366612,368104,369542,370929,372264,373551,374789,375982,377130,378234,379297,380319,381301,382246,383155,384028,384867,385673,386447,387191,387905,388591,389249,389881,390488,391070,391629,392165,392679,393172,393645,394099,394534,394952,395352,395735,396103,396456,396794,397118,397428,397726,398011,398284,398546,398797,399038,399268,399488,399700,399902
18,"Maryland",183797,186250,188789,191411,194118,196905,199776,202726,205757,208872,212075,215371,218762,222252,225853,229568,233389,237317,241352,245497,249752,254121,258606,263208,267929,272772,277739,282831,288049,293393,298865,304463,310191,316047,322032,328148,334394,340770,347276,353912,360677,367569,374589,381735,389004,396396,403909,411540,419288,427149,435121,443201,451385,459670,468052,476528,485093,493742,502472,511276,520151,529091,538091,547145,556248,565394,574577,583791,593030,602288,611558,620835,630112,639383,648642,657883,667098,676283,685431,694537,703593,712596,721539,730416,739223,747955,756606,765171,773648,782030,790314,798496,806573,814541,822398,830139,837763,845266,852648,859905,867037
19,"Nevada",136227,138278,140361,142476,144617,146783,148975,151204,153459,155739,158041,160364,162707,165069,167448,169842,172249,174666,177093,179526,181964,184406,186848,189288,191726,194158,196582,198997,201401,203791,206165,208523,210862,213179,215475,217746,219992,222210,224400,226561,228690,230788,232852,234882,236877,238836,240759,242645,244493,246304,248076,249809,251503,253159,254775,256352,257891,259390,260851,262274,263659,265006,266315,267588,268824,270025,271190,272320,273416,274479,275508,276506,277472,278406,279311,280186,281032,281850,282641,283405,284143,284855,285543,286207,286847,287465,288062,288636,289190,289725,290239,290735,291213,291673,292117,292543,292954,293350,293730,294097,294449
20,"Tennessee",344550,348965,353416,357905,362430,366987,371568,376180,380817,385494,390200,394933,399690,404467,409268,414108,418974,423865,428780,433719,438679,443661,448665,453689,458733,463795,468875,473972,479087,484217,489363,494522,499694,504877,510072,515277,520492,525714,530945,536181,541423,546670,551921,557174,562429,567685,572940,578194,583446,588695,593940,599180,604414,609641,614860,620071,625271,630461,635640,640806,645958,651096,656220,661327,666417,671489,676543,681578,686592,691586,696557,701506,706432,711334,716211,721063,725888,730687,735458,740201,744915,749600,754255,758880,763473,768036,772566,777063,781527,785958,790356,794718,799046,803339,807597,811819,816004,820154,824266,828342,832380
