target,target_end_date,location,type,target_type,quantile,value,location_name,forecast_date
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.01,27150.3172615631,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.025,28503.3252396735,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.05,29726.8827117978,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.1,31210.3244239585,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.15,32257.4931883654,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.2,33117.5491047231,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.25,33875.6865833987,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.3,34572.9401766585,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.35,35233.2754013598,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.4,35872.8201127534,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.45,36503.8585622409,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.5,37136.93,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.55,37782.1971437978,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.6,38450.6177388635,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.65,39155.2918955282,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.7,39913.4447211033,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.75,40749.9190652385,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.8,41704.3167192753,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.85,42848.1878484276,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.9,44337.13586402,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.95,46650.5817541899,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.975,48765.7831058161,Poland,2021-02-15
1 wk ahead inc case,2021-02-20,PL,quantile,cases,0.99,51359.7995346149,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.01,24110.2318634268,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.025,25713.9330989139,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.05,27195.0781519591,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.1,29030.0709160156,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.15,30351.248730481,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.2,31452.31878227,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.25,32434.8304051603,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.3,33348.2842008002,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.35,34222.0563943509,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.4,35076.3596874507,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.45,35927.0450646717,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.5,36788.19,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.55,37673.8687496592,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.6,38599.7714103734,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.65,39585.1822660274,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.7,40656.0061494642,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.75,41850.2111176731,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.8,43229.0845722758,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.85,44904.5510680147,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.9,47122.6645695681,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.95,50652.1508493028,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.975,53967.1956347415,Poland,2021-02-15
2 wk ahead inc case,2021-02-27,PL,quantile,cases,0.99,58146.6631175642,Poland,2021-02-15
3 wk ahead inc case,2021-03-06,PL,quantile,cases,0.01,21795.7175783241,Poland,2021-02-15
3 wk ahead inc case,2021-03-06,PL,quantile,cases,0.025,23549.2379123251,Poland,2021-02-15
3 wk ahead inc case,2021-03-06,PL,quantile,cases,0.05,25201.7085048063,Poland,2021-02-15
3 wk ahead inc case,2021-03-06,PL,quantile,cases,0.1,27292.6512261398,Poland,2021-02-15
3 wk ahead inc case,2021-03-06,PL,quantile,cases,0.15,28827.8850029541,Poland,2021-02-15
3 wk ahead inc case,2021-03-06,PL,quantile,cases,0.2,30126.2765604305,Poland,2021-02-15
