target,target_end_date,location,type,target_type,quantile,value,location_name,forecast_date
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.01,28171.8216319027,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.025,29279.8292119274,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.05,30268.2729044948,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.1,31450.2020682545,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.15,32274.1236260347,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.2,32944.6180672704,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.25,33531.1482099039,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.3,34066.9360533906,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.35,34571.2094269261,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.4,35056.7479535762,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.45,35533.1253741645,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.5,36008.39,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.55,36490.132001319,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.6,36986.3619168245,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.65,37506.4818753225,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.7,38062.6767363937,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.75,38672.3293232017,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.8,39362.9202476097,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.85,40183.7610813571,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.9,41241.3851543831,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.95,42861.3331112509,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.975,44318.8029115476,Poland,2021-02-08
1 wk ahead inc case,2021-02-13,PL,quantile,cases,0.99,46077.0185300633,Poland,2021-02-08
2 wk ahead inc case,2021-02-20,PL,quantile,cases,0.01,25115.541686367,Poland,2021-02-08
2 wk ahead inc case,2021-02-20,PL,quantile,cases,0.025,26469.2086357335,Poland,2021-02-08
2 wk ahead inc case,2021-02-20,PL,quantile,cases,0.05,27692.054582338,Poland,2021-02-08
2 wk ahead inc case,2021-02-20,PL,quantile,cases,0.1,29172.6835384239,Poland,2021-02-08
2 wk ahead inc case,2021-02-20,PL,quantile,cases,0.15,30216.4324151205,Poland,2021-02-08
2 wk ahead inc case,2021-02-20,PL,quantile,cases,0.2,31072.7205959729,Poland,2021-02-08
2 wk ahead inc case,2021-02-20,PL,quantile,cases,0.25,31826.7830862298,Poland,2021-02-08
2 wk ahead inc case,2021-02-20,PL,quantile,cases,0.3,32519.6419231734,Poland,2021-02-08
2 wk ahead inc case,2021-02-20,PL,quantile,cases,0.35,33175.2262433799,Poland,2021-02-08
2 wk ahead inc case,2021-02-20,PL,quantile,cases,0.4,33809.609764223,Poland,2021-02-08
2 wk ahead inc case,2021-02-20,PL,quantile,cases,0.45,34435.0038938597,Poland,2021-02-08
2 wk ahead inc case,2021-02-20,PL,quantile,cases,0.5,35061.8514285714,Poland,2021-02-08
2 wk ahead inc case,2021-02-20,PL,quantile,cases,0.55,35700.1859951244,Poland,2021-02-08
2 wk ahead inc case,2021-02-20,PL,quantile,cases,0.6,36360.7884329829,Poland,2021-02-08
