target,target_end_date,location,type,quantile,value,location_name,forecast_date
3 wk ahead inc case,2021-01-02,PL,quantile,0.55,71686.3766414699,Poland,2020-12-14
3 wk ahead inc case,2021-01-02,PL,quantile,0.6,74624.6088028725,Poland,2020-12-14
3 wk ahead inc case,2021-01-02,PL,quantile,0.65,77793.8273634056,Poland,2020-12-14
3 wk ahead inc case,2021-01-02,PL,quantile,0.7,81285.1691168604,Poland,2020-12-14
3 wk ahead inc case,2021-01-02,PL,quantile,0.75,85234.663243201,Poland,2020-12-14
3 wk ahead inc case,2021-01-02,PL,quantile,0.8,89864.8397782178,Poland,2020-12-14
3 wk ahead inc case,2021-01-02,PL,quantile,0.85,95586.4937616878,Poland,2020-12-14
3 wk ahead inc case,2021-01-02,PL,quantile,0.9,103311.984620925,Poland,2020-12-14
3 wk ahead inc case,2021-01-02,PL,quantile,0.95,115927.055232147,Poland,2020-12-14
3 wk ahead inc case,2021-01-02,PL,quantile,0.975,128097.022316268,Poland,2020-12-14
3 wk ahead inc case,2021-01-02,PL,quantile,0.99,143826.721490757,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.01,33612.5390730818,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.025,38028.3275507388,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.05,42376.4040334092,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.1,48114.4082083034,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.15,52479.9189195932,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.2,56263.6966121606,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.25,59749.0071505807,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.3,63079.38703377,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.35,66344.4720754805,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.4,69610.2045060819,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.45,72932.6349391448,Poland,2020-12-14
