target,target_end_date,location,type,target_type,quantile,value,location_name,forecast_date
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.01,2131.88393633472,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.025,2225.92351036141,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.05,2310.23050272234,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.1,2411.54142017436,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.15,2482.48080628806,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.2,2540.39786302792,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.25,2591.19820797471,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.3,2637.7133047062,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.35,2681.58699568786,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.4,2723.91645289164,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.45,2765.52823140626,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.5,2807.122,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.55,2849.36263419958,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.6,2892.95703634226,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.65,2938.74023030845,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.7,2987.799853963,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.75,3041.693408731,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.8,3102.89018536604,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.85,3175.83134392402,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.9,3270.13257104684,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.95,3415.25568184175,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.975,3546.51394170333,Germany,2021-02-15
1 wk ahead inc death,2021-02-20,GM,quantile,deaths,0.99,3705.70589536499,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.01,1529.23724470289,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.025,1626.76497851339,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.05,1715.84672027629,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.1,1824.91666677118,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.15,1902.58018282875,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.2,1966.76395616324,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.25,2023.62948156506,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.3,2076.15965577086,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.35,2126.10774734317,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.4,2174.66377736756,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.45,2222.7442767924,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.5,2271.146,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.55,2320.64795484998,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.6,2372.1009634806,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.65,2426.53311208799,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.7,2485.30730058537,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.75,2550.40100241663,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.8,2624.98061655807,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.85,2714.78768740556,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.9,2832.35132857553,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.95,3016.43560534613,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.975,3186.17592859871,Germany,2021-02-15
2 wk ahead inc death,2021-02-27,GM,quantile,deaths,0.99,3396.0907705103,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.01,1079.26852867845,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.025,1169.66246379017,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.05,1254.03664337548,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.1,1359.63307276436,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.15,1436.32463605577,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.2,1500.6286322311,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.25,1558.28808094165,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.3,1612.11796405003,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.35,1663.80035045379,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.4,1714.50302683277,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.45,1765.15201461459,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.5,1816.58,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.55,1869.62971380979,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.6,1925.25066668371,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.65,1984.61962323199,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.7,2049.32697158492,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.75,2121.71374445739,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.8,2205.57054257506,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.85,2307.83671864292,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.9,2443.80179471848,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.95,2661.35941042197,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.975,2866.87793958236,Germany,2021-02-15
3 wk ahead inc death,2021-03-06,GM,quantile,deaths,0.99,3127.37231502799,Germany,2021-02-15
4 wk ahead inc death,2021-03-13,GM,quantile,deaths,0.01,816.24696188284,Germany,2021-02-15
4 wk ahead inc death,2021-03-13,GM,quantile,deaths,0.025,899.354569722694,Germany,2021-02-15
4 wk ahead inc death,2021-03-13,GM,quantile,deaths,0.05,978.435364807576,Germany,2021-02-15
4 wk ahead inc death,2021-03-13,GM,quantile,deaths,0.1,1079.36776406166,Germany,2021-02-15
4 wk ahead inc death,2021-03-13,GM,quantile,deaths,0.15,1153.98450059746,Germany,2021-02-15
