target,target_end_date,location,type,quantile,value,location_name,forecast_date
3 wk ahead inc death,2020-12-12,GM,quantile,0.5,2051.4,Germany,2020-11-23
3 wk ahead inc death,2020-12-12,GM,quantile,0.55,2104.18724543534,Germany,2020-11-23
3 wk ahead inc death,2020-12-12,GM,quantile,0.6,2159.26236100148,Germany,2020-11-23
3 wk ahead inc death,2020-12-12,GM,quantile,0.65,2217.75219176239,Germany,2020-11-23
3 wk ahead inc death,2020-12-12,GM,quantile,0.7,2281.16355712949,Germany,2020-11-23
3 wk ahead inc death,2020-12-12,GM,quantile,0.75,2351.6968594765,Germany,2020-11-23
3 wk ahead inc death,2020-12-12,GM,quantile,0.8,2432.89281577053,Germany,2020-11-23
3 wk ahead inc death,2020-12-12,GM,quantile,0.85,2531.1982372845,Germany,2020-11-23
3 wk ahead inc death,2020-12-12,GM,quantile,0.9,2660.73868130493,Germany,2020-11-23
3 wk ahead inc death,2020-12-12,GM,quantile,0.95,2865.4432738235,Germany,2020-11-23
3 wk ahead inc death,2020-12-12,GM,quantile,0.975,3056.12856085984,Germany,2020-11-23
3 wk ahead inc death,2020-12-12,GM,quantile,0.99,3294.38326463669,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.01,1198.77344381663,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.025,1296.31702757,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.05,1387.00336348993,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.1,1500.04387365672,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.15,1581.84525491047,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.2,1650.2526442985,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.25,1711.45744580046,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.3,1768.48729849363,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.35,1823.14565290416,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.4,1876.67919211342,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.45,1930.07110358602,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.5,1984.2,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.55,2039.94960140942,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.6,2098.31018221034,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.65,2160.50368766044,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.7,2228.17615629694,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.75,2303.74463470675,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.8,2391.11540566731,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.85,2497.427947512,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.9,2638.38670009781,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.95,2863.08021688123,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.975,3074.44932373465,Germany,2020-11-23
4 wk ahead inc death,2020-12-19,GM,quantile,0.99,3341.2266861444,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,point,,1758.42902143007,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,point,,1952.4,Germany,2020-11-23
