target,target_end_date,location,type,quantile,value,forecast_date
1 wk ahead inc death,2021-02-13,PL,quantile,0.01,1470.05436752928,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.025,1529.8883490224,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.05,1584.09087344133,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.1,1649.93173259121,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.15,1696.49532078486,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.2,1734.79349151651,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.25,1768.59486636102,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.3,1799.71655053776,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.35,1829.22138824616,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.4,1857.82618908085,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.45,1886.0785515553,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.5,1914.45,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.55,1943.39701151031,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.6,1973.41363221649,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.65,2005.09240586071,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.7,2039.21444583678,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.75,2076.90851339468,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.8,2119.97672802797,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.85,2171.67938306813,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.9,2239.11635388414,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.95,2344.2008415298,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.975,2440.60065166687,2021-02-08
1 wk ahead inc death,2021-02-13,PL,quantile,0.99,2559.23260038963,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.01,1356.2608148038,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.025,1427.42016864456,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.05,1492.27404244862,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.1,1571.52620438741,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.15,1627.87196104536,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.2,1674.39256850408,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.25,1715.57902132177,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.3,1753.60351214728,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.35,1789.74160382151,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.4,1824.85815122542,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.45,1859.61842835395,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.5,1894.6,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.55,1930.36684210101,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.6,1967.53425167712,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.65,2006.84511957671,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.7,2049.28375783042,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.75,2096.27793074905,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.8,2150.11359083785,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.85,2214.93593988088,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.9,2299.79200102015,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.95,2432.68170083802,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.975,2555.26200700555,2021-02-08
2 wk ahead inc death,2021-02-20,PL,quantile,0.99,2706.94649264521,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.01,1241.58569615097,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.025,1323.0766390592,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.05,1398.15069987986,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.1,1490.8817079114,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.15,1557.4433606224,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.2,1612.77954279141,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.25,1662.0498660687,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.3,1707.76445953254,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.35,1751.40843011965,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.4,1793.9990035815,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.45,1836.32902566771,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.5,1879.0975,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.55,1922.99794766794,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.6,1968.79807962934,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.65,2017.43592093506,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.7,2070.16566990012,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.75,2128.81883596829,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.8,2196.34281152006,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.85,2278.10501000755,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.9,2385.86898760973,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.95,2556.23388707553,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.975,2715.03114018834,2021-02-08
3 wk ahead inc death,2021-02-27,PL,quantile,0.99,2913.60390071611,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.01,1126.40394867826,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.025,1216.42819571738,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.05,1300.52784456648,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.1,1405.87260693553,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.15,1482.44279227591,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.2,1546.68329383355,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.25,1604.31457281683,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.3,1658.14203254162,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.35,1709.84324076226,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.4,1760.58403612329,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.45,1811.29009081771,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.5,1862.795,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.55,1915.94364843156,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.6,1971.6891995834,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.65,2031.21416301124,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.7,2096.11793911029,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.75,2168.75620977764,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.8,2252.94506715357,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.85,2355.67339056745,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.9,2492.34636893883,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.95,2711.2468473936,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.975,2918.25689329577,2021-02-08
4 wk ahead inc death,2021-03-06,PL,quantile,0.99,3180.93120560548,2021-02-08
1 wk ahead inc death,2021-02-13,PL,point,,1914.45,2021-02-08
2 wk ahead inc death,2021-02-20,PL,point,,1894.6,2021-02-08
3 wk ahead inc death,2021-02-27,PL,point,,1879.0975,2021-02-08
