target,target_end_date,location,type,target_type,quantile,value,location_name,forecast_date
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.05,35129.6286809899,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.1,37539.3885734357,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.15,39259.3839344058,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.2,40683.2648849454,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.25,41946.5317503914,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.3,43114.8775102155,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.35,44226.9839348617,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.4,45309.1683894614,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.45,46381.7615853435,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.5,47462.5,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.55,48568.7886580365,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.6,49719.7006802764,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.65,50938.3459470687,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.7,52255.4236625896,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.75,53715.5430437572,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.8,55390.2129302314,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.85,57409.2130984818,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.9,60055.9822060547,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.95,64208.3380340592,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.975,68045.0861508392,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,quantile,cases,0.99,72799.5309371726,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.01,24129.8451894209,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.025,26347.6398885184,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.05,28420.3955640578,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.1,31017.0640047672,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.15,32904.1824895793,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.2,34487.017858613,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.25,35906.5724280165,Germany,2021-02-08
