target,target_end_date,location,type,quantile,value,location_name,forecast_date
3 wk ahead inc case,2021-01-16,GM,quantile,0.55,160792.098878545,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.6,164946.683920476,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.65,169349.742061267,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.7,174112.882546637,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.75,179398.531061378,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.8,185467.351482756,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.85,192792.853839915,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.9,202410.102427327,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.95,217528.267357657,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.975,231528.175135671,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.99,248915.097595568,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.01,87326.9176100175,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.025,96048.9157750758,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.05,104201.002735941,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.1,114409.671930034,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.15,121823.767844757,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.2,128038.123047724,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.25,133607.613636979,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.3,138804.206582624,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.35,143790.299561337,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.4,148678.472708314,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.45,153557.79815445,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.5,158508.142857143,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.55,163610.089804901,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.6,168954.169176357,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.65,174652.296694538,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.7,180855.409531047,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.75,187785.29387401,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.8,195800.49614084,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.85,205556.354452245,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.9,218494.139335216,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.95,239116.957802556,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.975,258509.279351422,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.99,282966.003682093,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,point,,148057.142857143,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,point,,156143.428571429,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,point,,156802.142857143,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,point,,158508.142857143,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.01,1741616.37999169,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.025,1746358.02361358,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.05,1750588.53747549,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.1,1755647.63316599,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.15,1759174.52835681,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.2,1762044.7392298,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.25,1764555.55627731,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.3,1766849.17026901,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.35,1769007.87865666,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.4,1771086.38039709,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.45,1773125.65263128,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.5,1775160.14285714,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.55,1777222.33676193,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.6,1779346.51795025,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.65,1781572.92420292,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.7,1783953.70043025,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.75,1786563.23351183,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.8,1789519.11814339,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.85,1793032.36045488,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.9,1797558.80239408,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.95,1804491.31118627,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,quantile,0.975,1810727.86504082,Germany,2020-12-28
