target,target_end_date,location,type,quantile,value,location_name,forecast_date
3 wk ahead inc death,2021-01-16,PL,quantile,0.5,1983.71428571429,Poland,2020-12-28
3 wk ahead inc death,2021-01-16,PL,quantile,0.55,2029.71938986408,Poland,2020-12-28
3 wk ahead inc death,2021-01-16,PL,quantile,0.6,2077.56149450094,Poland,2020-12-28
3 wk ahead inc death,2021-01-16,PL,quantile,0.65,2128.19914643093,Poland,2020-12-28
3 wk ahead inc death,2021-01-16,PL,quantile,0.7,2182.90454496806,Poland,2020-12-28
3 wk ahead inc death,2021-01-16,PL,quantile,0.75,2243.52513459965,Poland,2020-12-28
3 wk ahead inc death,2021-01-16,PL,quantile,0.8,2313.02097073222,Poland,2020-12-28
3 wk ahead inc death,2021-01-16,PL,quantile,0.85,2396.76215972503,Poland,2020-12-28
3 wk ahead inc death,2021-01-16,PL,quantile,0.9,2506.47288174652,Poland,2020-12-28
3 wk ahead inc death,2021-01-16,PL,quantile,0.95,2678.44806159304,Poland,2020-12-28
3 wk ahead inc death,2021-01-16,PL,quantile,0.975,2837.21118334493,Poland,2020-12-28
3 wk ahead inc death,2021-01-16,PL,quantile,0.99,3033.78180726029,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.01,1156.66004925283,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.025,1258.76604398635,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.05,1353.86516897689,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.1,1472.59979950174,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.15,1558.6359542569,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.2,1630.64866529164,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.25,1695.12345057455,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.3,1755.23450246402,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.35,1812.87444609175,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.4,1869.35322237586,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.45,1925.70543605476,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.5,1982.85714285714,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.55,2041.74123632205,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.6,2103.40448679158,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.65,2169.13987414752,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.7,2240.69039163619,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.75,2320.61672141712,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.8,2413.05867433869,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.85,2525.58437857997,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.9,2674.84449606871,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.95,2912.89642124337,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.975,3136.94689893539,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,quantile,0.99,3419.85582091096,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,point,,2099.57142857143,Poland,2020-12-28
2 wk ahead inc death,2021-01-09,PL,point,,2003.28571428571,Poland,2020-12-28
3 wk ahead inc death,2021-01-16,PL,point,,1983.71428571429,Poland,2020-12-28
4 wk ahead inc death,2021-01-23,PL,point,,1982.85714285714,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.01,28707.2851166404,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.025,28762.8494821388,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.05,28812.051391532,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.1,28870.4493800272,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.15,28910.8885104533,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.2,28943.638742321,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.25,28972.1739579716,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.3,28998.1496216931,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.35,29022.519606641,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.4,29045.9141015057,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.45,29068.8014385488,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.5,29091.5714285714,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.55,29114.5876342681,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.6,29138.2295788235,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.65,29162.938472347,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.7,29189.2817725732,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.75,29218.064394764,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.8,29250.5534077894,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.85,29289.0147195732,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.9,29338.3281619592,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.95,29413.3486160247,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.975,29480.3348805616,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,quantile,0.99,29560.5283803895,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.01,30171.4654183074,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.025,30301.3576187363,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.05,30417.4229548567,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.1,30556.4390517989,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.15,30653.4940677872,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.2,30732.564075864,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.25,30801.7966769803,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.3,30865.0918789261,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.35,30924.7092852517,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.4,30982.152923989,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.45,31038.5517453449,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.5,31094.8571428572,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.55,31151.9687928051,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.6,31210.8387283362,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.65,31272.5869648806,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.7,31338.6676907401,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.75,31411.1583462934,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.8,31493.3466772083,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.85,31591.1374379038,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.9,31717.2981094263,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.95,31910.8840801732,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.975,32085.4088052934,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,quantile,0.99,32296.3881690623,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.01,31469.0667524791,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.025,31688.7072094092,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.05,31886.8882105681,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.1,32126.6086372712,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.15,32295.4705275078,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.2,32433.9422827568,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.25,32555.8450529765,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.3,32667.8278451439,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.35,32773.7677208648,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.4,32876.2680355896,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.45,32977.3058798365,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.5,33078.5714285714,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.55,33181.6881826692,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.6,33288.4002228372,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.65,33400.7861113116,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.7,33521.5722357082,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.75,33654.683480893,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.8,33806.3676479405,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.85,33987.8995976288,Poland,2020-12-28
