id,Country,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28
0,"Washington",82199,82608,83020,83436,83855,84274,84691,85109,85528,85949,86370,86791,87212,87633,88054,88474,88894,89313,89732,90149,90565,90980,91394,91806,92216,92625,93032,93436,93839,94239,94636,95031,95423,95813,96199,96583,96963,97340,97714,98085,98451,98815,99174,99530,99883,100231,100575,100915,101252,101584,101912,102236,102556,102871,103183,103490,103792,104090,104384,104674,104959,105240,105517,105789,106056,106320,106579,106834,107084,107330,107572,107810,108043,108272,108498,108718,108935,109148,109357,109562,109763,109960,110153,110342,110527,110709,110887,111062,111233,111400,111564,111725,111882,112035,112186,112333,112477,112618,112756,112891,113023
1,"Illinois",275041,276935,278836,280740,282641,284534,286410,288267,290109,291933,293737,295518,297273,299001,300699,302367,304005,305609,307178,308713,310211,311673,313097,314484,315832,317142,318413,319646,320840,321996,323114,324194,325237,326244,327214,328149,329049,329915,330748,331548,332316,333054,333761,334440,335090,335713,336309,336880,337426,337948,338447,338924,339379,339814,340230,340626,341004,341364,341708,342035,342348,342645,342928,343198,343455,343700,343933,344154,344365,344566,344756,344938,345110,345274,345430,345579,345720,345854,345981,346102,346217,346326,346430,346528,346622,346710,346795,346875,346951,347023,347092,347157,347219,347278,347333,347386,347437,347484,347530,347572,347613
2,"California",783313,786866,790426,793996,797561,801118,804658,808179,811686,815176,818645,822090,825508,828897,832255,835580,838871,842124,845339,848514,851646,854735,857778,860776,863726,866628,869480,872281,875031,877730,880376,882969,885509,887995,890428,892807,895132,897404,899621,901786,903897,905956,907963,909917,911821,913673,915476,917229,918934,920590,922199,923762,925280,926752,928181,929567,930911,932213,933475,934698,935882,937029,938139,939213,940253,941258,942231,943171,944080,944959,945808,946629,947421,948186,948926,949639,950328,950993,951635,952254,952852,953428,953984,954521,955038,955536,956017,956480,956927,957358,957773,958173,958558,958929,959287,959631,959963,960283,960591,960887,961173
3,"Arizona",212942,213627,214333,215060,215807,216569,217346,218137,218941,219760,220591,221433,222285,223145,224012,224886,225764,226645,227528,228411,229292,230172,231047,231916,232779,233634,234479,235313,236136,236946,237742,238522,239287,240036,240767,241481,242176,242853,243510,244148,244766,245365,245944,246504,247043,247564,248065,248547,249010,249455,249882,250292,250684,251059,251418,251761,252089,252402,252700,252985,253256,253514,253760,253994,254217,254428,254629,254820,255002,255174,255337,255492,255639,255778,255910,256035,256153,256265,256372,256472,256567,256657,256743,256823,256899,256971,257040,257104,257165,257222,257277,257328,257377,257423,257466,257507,257546,257582,257617,257649,257680
4,"Massachusetts",127181,127616,128063,128524,128999,129490,129996,130517,131055,131608,132177,132762,133363,133979,134612,135262,135928,136610,137308,138023,138753,139499,140260,141037,141828,142634,143454,144287,145134,145994,146865,147748,148642,149546,150460,151382,152312,153249,154193,155142,156095,157052,158012,158974,159936,160899,161860,162820,163777,164730,165678,166621,167558,168487,169409,170321,171225,172117,172999,173870,174728,175574,176406,177225,178029,178819,179595,180355,181099,181828,182541,183238,183919,184583,185231,185863,186479,187079,187662,188230,188781,189317,189837,190342,190832,191306,191766,192212,192643,193061,193465,193855,194232,194597,194949,195289,195617,195934,196240,196534,196818
5,"Wisconsin",97279,98714,100183,101682,103208,104764,106346,107951,109568,111204,112856,114522,116198,117879,119568,121263,122962,124660,126357,128048,129732,131405,133067,134714,136344,137956,139548,141118,142663,144184,145678,147143,148578,149983,151356,152696,154003,155276,156515,157719,158888,160022,161121,162185,163214,164209,165169,166096,166989,167850,168678,169475,170241,170977,171683,172361,173011,173634,174230,174801,175347,175870,176370,176847,177303,177738,178154,178550,178928,179288,179632,179959,180271,180568,180851,181120,181376,181620,181852,182072,182282,182481,182670,182850,183021,183184,183338,183485,183624,183756,183881,184001,184114,184221,184323,184420,184511,184598,184681,184759,184834
6,"Texas",707940,712121,716346,720605,724866,729120,733379,737606,741822,746019,750186,754316,758403,762444,766431,770361,774231,778035,781768,785427,789010,792514,795935,799272,802523,805686,808760,811745,814640,817445,820159,822783,825319,827765,830124,832397,834585,836689,838712,840654,842519,844307,846020,847662,849233,850736,852174,853548,854860,856113,857309,858449,859537,860574,861561,862502,863398,864250,865061,865833,866567,867264,867927,868557,869155,869724,870264,870776,871262,871724,872162,872577,872972,873346,873700,874036,874355,874657,874944,875215,875472,875716,875947,876166,876373,876569,876755,876931,877098,877256,877406,877547,877682,877809,877929,878043,878150,878252,878349,878440,878527
7,"Nebraska",40797,41175,41553,41928,42297,42661,43018,43370,43718,44060,44394,44721,45040,45351,45654,45950,46237,46515,46785,47046,47298,47542,47777,48003,48221,48431,48632,48825,49010,49188,49358,49520,49675,49824,49965,50100,50229,50351,50468,50579,50685,50785,50880,50971,51057,51138,51216,51289,51359,51425,51487,51546,51602,51655,51705,51753,51798,51840,51880,51918,51954,51988,52020,52050,52079,52106,52131,52155,52178,52199,52219,52238,52257,52274,52290,52305,52319,52332,52345,52357,52368,52379,52389,52399,52408,52416,52424,52431,52438,52445,52451,52457,52463,52468,52473,52478,52482,52486,52490,52494,52497
8,"Utah",62852,63653,64478,65327,66201,67098,68015,68948,69896,70857,71829,72809,73793,74779,75764,76745,77719,78684,79637,80575,81495,82397,83276,84133,84965,85770,86549,87299,88020,88713,89375,90008,90612,91187,91732,92250,92740,93203,93641,94053,94441,94806,95149,95470,95772,96054,96318,96565,96795,97010,97211,97398,97572,97734,97885,98025,98156,98277,98390,98494,98591,98681,98765,98842,98914,98981,99042,99100,99153,99202,99247,99289,99328,99364,99398,99428,99457,99484,99508,99531,99552,99571,99589,99606,99621,99635,99648,99660,99672,99682,99692,99700,99709,99716,99723,99730,99736,99741,99746,99751,99756
9,"Oregon",30342,30518,30694,30870,31045,31219,31391,31560,31728,31894,32059,32222,32383,32542,32700,32855,33009,33161,33312,33460,33606,33751,33894,34035,34174,34311,34446,34579,34711,34841,34968,35094,35218,35341,35461,35580,35696,35811,35924,36036,36145,36253,36359,36463,36566,36667,36766,36863,36959,37053,37146,37237,37326,37414,37500,37585,37668,37749,37829,37908,37985,38061,38135,38208,38280,38350,38419,38486,38552,38617,38681,38743,38805,38865,38923,38981,39038,39093,39147,39200,39252,39304,39354,39402,39450,39497,39543,39588,39633,39676,39718,39760,39800,39840,39879,39917,39954,39990,40026,40061,40095
