forecast_date,target_end_date,target,location,type,quantile,location_name,value
2021-02-08,2021-02-13,1 wk ahead cum death,PL,point,NA,Poland,40955.46
2021-02-08,2021-02-13,1 wk ahead inc death,PL,point,NA,Poland,1961.46
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.01,Poland,40297.015384615384
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.025,Poland,40353.96153846154
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.05,Poland,40410.769230769234
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.1,Poland,40476.92307692308
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.15,Poland,40532.46153846154
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.2,Poland,40576.769230769234
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.25,Poland,40615.53846153846
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.3,Poland,40656.61538461538
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.35,Poland,40696.53846153846
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.4,Poland,40735.53846153846
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.45,Poland,40778.61538461538
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.5,Poland,40820.92307692308
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.55,Poland,40867.0
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.6,Poland,40918.61538461538
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.65,Poland,40986.846153846156
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.7,Poland,41064.769230769234
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.75,Poland,41148.230769230766
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.8,Poland,41246.92307692308
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.85,Poland,41423.692307692305
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.9,Poland,41662.153846153844
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.95,Poland,41985.307692307695
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.975,Poland,42411.07692307692
2021-02-08,2021-02-13,1 wk ahead cum death,PL,quantile,0.99,Poland,42609.49230769231
2021-02-08,2021-02-13,1 wk ahead inc death,PL,quantile,0.01,Poland,1303.0153846153846
2021-02-08,2021-02-13,1 wk ahead inc death,PL,quantile,0.025,Poland,1359.9615384615386
