forecast_date,target_end_date,target,location,type,quantile,location_name,value
2021-03-08,2021-03-13,1 wk ahead cum case,PL,point,NA,Poland,1882872.9850852273
2021-03-08,2021-03-13,1 wk ahead inc case,PL,point,NA,Poland,101527.98508522728
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.01,Poland,1865033.24
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.025,Poland,1865716.025
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.05,Poland,1866549.95
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.1,Poland,1867872.5
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.15,Poland,1869297.75
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.2,Poland,1870810.6
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.25,Poland,1872303.0
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.3,Poland,1874468.2
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.35,Poland,1877525.05
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.4,Poland,1879566.0
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.45,Poland,1881297.35
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.5,Poland,1882960.5
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.55,Poland,1884875.55
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.6,Poland,1886378.6
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.65,Poland,1887822.3
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.7,Poland,1889151.8
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.75,Poland,1890845.5
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.8,Poland,1893889.0
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.85,Poland,1897258.55
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.9,Poland,1899311.5
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.95,Poland,1901191.7
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.975,Poland,1902339.4
2021-03-08,2021-03-13,1 wk ahead cum case,PL,quantile,0.99,Poland,1903321.69
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.01,Poland,83688.23999999999
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.025,Poland,84371.02500000001
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.05,Poland,85204.95000000001
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.1,Poland,86527.5
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.15,Poland,87952.75
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.2,Poland,89465.6
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.25,Poland,90958.0
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.3,Poland,93123.2
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.35,Poland,96180.05
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.4,Poland,98221.0
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.45,Poland,99952.35000000002
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.5,Poland,101615.5
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.55,Poland,103530.54999999999
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.6,Poland,105033.59999999998
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.65,Poland,106477.3
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.7,Poland,107806.79999999999
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.75,Poland,109500.5
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.8,Poland,112544.0
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.85,Poland,115913.55
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.9,Poland,117966.5
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.95,Poland,119846.69999999998
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.975,Poland,120994.4
2021-03-08,2021-03-13,1 wk ahead inc case,PL,quantile,0.99,Poland,121976.69000000002
2021-03-08,2021-03-20,2 wk ahead cum case,PL,point,NA,Poland,2012770.4936079546
2021-03-08,2021-03-20,2 wk ahead inc case,PL,point,NA,Poland,129897.50852272726
