gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,bundesland,daten_stand
01001,2,0,0,2,46.0,36.0,01,2020-04-28 09:15:00
01002,4,4,2,3,100.0,117.0,01,2020-04-28 09:15:00
01003,2,5,5,2,121.0,102.0,01,2020-04-28 09:15:00
01004,1,1,1,1,21.0,17.0,01,2020-04-28 09:15:00
01051,1,3,1,1,49.0,21.0,01,2020-04-28 09:15:00
01053,2,1,1,2,10.0,10.0,01,2020-04-28 09:15:00
01054,3,0,0,3,27.0,17.0,01,2020-04-28 09:15:00
01055,3,0,0,3,24.0,28.0,01,2020-04-28 09:15:00
01056,2,5,5,2,14.0,23.0,01,2020-04-28 09:15:00
01057,1,2,1,1,4.0,8.0,01,2020-04-28 09:15:00
01058,2,3,3,2,18.0,26.0,01,2020-04-28 09:15:00
01059,1,0,0,1,9.0,15.0,01,2020-04-28 09:15:00
01060,4,1,0,4,64.0,72.0,01,2020-04-28 09:15:00
01061,1,0,0,1,21.0,19.0,01,2020-04-28 09:15:00
01062,3,0,0,3,18.0,37.0,01,2020-04-28 09:15:00
02000,28,81,70,24,423.0,533.0,02,2020-04-28 09:15:00
03101,5,7,5,5,63.0,84.0,03,2020-04-28 09:15:00
03102,2,0,0,2,14.0,13.0,03,2020-04-28 09:15:00
03103,1,0,0,1,28.0,20.0,03,2020-04-28 09:15:00
03151,2,0,0,2,11.0,9.0,03,2020-04-28 09:15:00
03153,3,8,7,3,35.0,40.0,03,2020-04-28 09:15:00
03154,1,4,1,1,16.0,18.0,03,2020-04-28 09:15:00
03155,2,4,2,2,10.0,13.0,03,2020-04-28 09:15:00
03157,1,3,1,1,4.0,18.0,03,2020-04-28 09:15:00
03158,1,4,4,1,5.0,11.0,03,2020-04-28 09:15:00
03159,6,15,7,6,67.0,126.0,03,2020-04-28 09:15:00
03241,16,38,29,16,157.0,352.0,03,2020-04-28 09:15:00
03251,3,2,1,3,16.0,6.0,03,2020-04-28 09:15:00
03252,4,3,1,4,14.0,59.0,03,2020-04-28 09:15:00
03254,5,7,2,4,58.0,52.0,03,2020-04-28 09:15:00
03255,1,0,0,1,2.0,12.0,03,2020-04-28 09:15:00
03256,1,0,0,1,19.0,17.0,03,2020-04-28 09:15:00
03257,1,2,0,1,0.0,23.0,03,2020-04-28 09:15:00
03351,3,1,0,1,27.0,20.0,03,2020-04-28 09:15:00
03352,2,1,0,2,8.0,10.0,03,2020-04-28 09:15:00
03353,3,4,3,3,31.0,33.0,03,2020-04-28 09:15:00
03354,1,0,0,1,23.0,4.0,03,2020-04-28 09:15:00
03355,2,0,0,2,27.0,16.0,03,2020-04-28 09:15:00
03356,2,0,0,2,2.0,14.0,03,2020-04-28 09:15:00
03357,3,2,2,2,11.0,15.0,03,2020-04-28 09:15:00
03358,3,1,1,3,20.0,22.0,03,2020-04-28 09:15:00
03359,3,0,0,2,16.0,25.0,03,2020-04-28 09:15:00
03360,2,2,1,2,23.0,5.0,03,2020-04-28 09:15:00
03361,2,1,1,2,10.0,7.0,03,2020-04-28 09:15:00
03401,1,2,2,1,14.0,13.0,03,2020-04-28 09:15:00
03402,1,1,0,1,11.0,10.0,03,2020-04-28 09:15:00
03403,4,8,7,3,118.0,79.0,03,2020-04-28 09:15:00
03404,4,7,7,4,84.0,62.0,03,2020-04-28 09:15:00
03405,1,0,0,1,9.0,24.0,03,2020-04-28 09:15:00
03451,3,3,3,2,19.0,21.0,03,2020-04-28 09:15:00
03452,3,0,0,3,16.0,26.0,03,2020-04-28 09:15:00
03453,3,0,0,3,20.0,30.0,03,2020-04-28 09:15:00
