gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,bundesland
03457,3,1,0,2,25.0,18.0,03
03458,1,1,1,1,8.0,7.0,03
03459,8,1,0,7,75.0,66.0,03
03460,3,1,0,3,46.0,25.0,03
03461,2,0,0,2,12.0,14.0,03
03462,1,0,0,1,7.0,6.0,03
04011,10,9,7,9,82.0,118.0,04
04012,1,2,1,1,8.0,38.0,04
05111,12,24,21,11,88.0,226.0,05
05112,12,10,10,9,100.0,167.0,05
05113,15,27,23,14,115.0,250.0,05
05114,4,15,9,4,18.0,72.0,05
05116,5,12,9,4,38.0,85.0,05
05117,2,6,5,2,17.0,30.0,05
05119,5,1,0,4,30.0,32.0,05
05120,1,5,3,1,19.0,17.0,05
05122,3,8,6,3,44.0,51.0,05
05124,5,15,11,5,136.0,106.0,05
05154,5,7,4,5,47.0,40.0,05
05158,5,8,7,5,34.0,43.0,05
05162,7,12,11,6,37.0,88.0,05
05166,4,5,5,4,28.0,42.0,05
05170,8,10,7,8,62.0,103.0,05
05314,15,21,17,11,86.0,206.0,05
05315,25,52,38,18,118.0,307.0,05
05316,3,3,2,2,35.0,49.0,05
05334,8,38,33,7,165.0,172.0,05
05358,5,10,4,5,22.0,62.0,05
05362,7,10,5,7,34.0,53.0,05
05366,3,3,3,3,12.0,37.0,05
05370,3,8,6,3,9.0,28.0,05
05374,7,2,4,7,54.0,49.0,05
05378,4,6,5,4,19.0,37.0,05
05382,6,5,4,6,40.0,66.0,05
05512,2,3,1,2,33.0,31.0,05
05513,4,5,2,3,73.0,31.0,05
05515,8,14,11,7,75.0,188.0,05
05554,5,10,6,5,39.0,45.0,05
05558,3,1,1,3,29.0,14.0,05
05562,14,7,4,14,159.0,159.0,05
05566,5,20,16,5,38.0,68.0,05
05570,5,3,2,5,38.0,27.0,05
05711,4,5,5,4,49.0,101.0,05
05754,3,2,1,3,27.0,27.0,05
05758,4,4,4,3,21.0,49.0,05
05762,5,5,3,5,17.0,24.0,05
05766,2,8,6,2,31.0,50.0,05
05770,6,11,5,6,51.0,98.0,05
05774,5,7,6,4,46.0,72.0,05
05911,8,11,7,6,81.0,170.0,05
05913,9,8,7,9,97.0,201.0,05
05914,5,6,1,5,49.0,38.0,05
05915,5,8,5,5,39.0,50.0,05
05916,4,5,3,4,24.0,46.0,05
05954,5,2,2,5,48.0,37.0,05
05958,9,4,4,9,73.0,39.0,05
05962,8,16,7,8,51.0,81.0,05
05966,3,11,11,3,20.0,27.0,05
05970,6,4,4,6,54.0,84.0,05
05974,7,2,1,7,47.0,49.0,05
05978,8,5,4,8,82.0,77.0,05
06411,6,11,5,4,26.0,52.0,06
06412,16,47,41,12,128.0,245.0,06
06413,2,9,7,2,45.0,69.0,06
06414,5,10,7,4,67.0,85.0,06
06431,5,5,2,5,24.0,27.0,06
06432,2,10,9,2,4.0,23.0,06
06433,2,6,5,2,24.0,15.0,06
06434,3,5,2,3,4.0,27.0,06
06435,4,21,11,4,28.0,62.0,06
06436,2,13,7,2,47.0,30.0,06
06437,2,8,8,2,25.0,116.0,06
06438,2,13,13,2,17.0,41.0,06
06439,2,0,0,2,10.0,12.0,06
06440,5,4,4,5,57.0,83.0,06
06531,4,14,14,4,51.0,217.0,06
06532,2,3,3,2,21.0,38.0,06
06533,3,3,2,3,38.0,28.0,06
06534,3,6,5,3,48.0,128.0,06
06535,4,2,1,4,21.0,20.0,06
06611,6,12,9,6,58.0,122.0,06
06631,4,8,8,4,26.0,63.0,06
06632,3,2,2,3,37.0,34.0,06
06633,4,1,1,4,19.0,20.0,06
06634,3,2,1,3,28.0,21.0,06
06635,7,0,0,7,52.0,74.0,06
06636,2,2,2,2,24.0,15.0,06
07111,4,8,7,4,43.0,73.0,07
07131,2,1,0,2,13.0,15.0,07
07132,2,3,3,2,13.0,9.0,07
07133,4,3,2,4,20.0,28.0,07
07134,2,0,0,2,16.0,12.0,07
07135,2,0,0,2,11.0,5.0,07
07137,4,2,1,4,27.0,17.0,07
07138,5,2,2,5,45.0,29.0,07
07140,2,0,0,2,8.0,7.0,07
07141,5,4,2,5,20.0,24.0,07
07143,3,1,1,3,15.0,7.0,07
07211,4,4,2,3,73.0,49.0,07
07231,2,2,2,2,11.0,14.0,07
07232,2,1,1,2,7.0,13.0,07
