bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
01,01001,3,0,0,2,17,38,2020-10-07 12:15:00
01,01002,5,0,0,3,120,109,2020-10-07 12:15:00
01,01003,2,1,1,2,104,113,2020-10-07 12:15:00
01,01004,1,1,1,1,6,19,2020-10-07 12:15:00
01,01051,1,0,0,1,1,53,2020-10-07 12:15:00
01,01053,2,0,0,2,7,17,2020-10-07 12:15:00
01,01054,3,0,0,3,9,30,2020-10-07 12:15:00
01,01055,3,0,0,3,15,36,2020-10-07 12:15:00
01,01056,2,0,0,2,10,30,2020-10-07 12:15:00
01,01057,1,0,0,1,4,8,2020-10-07 12:15:00
01,01058,5,0,0,3,12,30,2020-10-07 12:15:00
01,01059,1,0,0,1,9,15,2020-10-07 12:15:00
01,01060,4,0,0,4,51,69,2020-10-07 12:15:00
01,01061,3,0,0,1,28,21,2020-10-07 12:15:00
01,01062,3,1,1,3,27,28,2020-10-07 12:15:00
02,02000,34,12,6,24,237,594,2020-10-07 12:15:00
03,03101,7,1,0,5,36,114,2020-10-07 12:15:00
03,03102,2,0,0,2,7,22,2020-10-07 12:15:00
03,03103,1,0,0,1,13,23,2020-10-07 12:15:00
03,03151,2,1,0,2,21,12,2020-10-07 12:15:00
03,03153,3,0,0,3,45,37,2020-10-07 12:15:00
03,03154,1,0,0,1,12,22,2020-10-07 12:15:00
03,03155,2,2,0,2,8,15,2020-10-07 12:15:00
03,03157,1,0,0,1,9,13,2020-10-07 12:15:00
03,03158,1,0,0,1,6,10,2020-10-07 12:15:00
03,03159,8,2,1,7,47,152,2020-10-07 12:15:00
03,03241,18,8,4,16,174,364,2020-10-07 12:15:00
03,03251,3,1,1,3,10,7,2020-10-07 12:15:00
03,03252,6,0,0,4,13,59,2020-10-07 12:15:00
03,03254,7,0,0,4,32,60,2020-10-07 12:15:00
03,03255,1,0,0,1,7,7,2020-10-07 12:15:00
03,03256,1,0,0,1,9,15,2020-10-07 12:15:00
