bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
01,01001,2,0,0,2,50,36,2020-06-20 12:15:00
01,01002,5,0,0,3,141,114,2020-06-20 12:15:00
01,01003,2,0,0,2,130,113,2020-06-20 12:15:00
01,01004,1,0,0,1,20,20,2020-06-20 12:15:00
01,01051,1,0,0,1,15,41,2020-06-20 12:15:00
01,01053,2,0,0,2,7,17,2020-06-20 12:15:00
01,01054,3,0,0,3,25,19,2020-06-20 12:15:00
01,01055,3,0,0,3,3,12,2020-06-20 12:15:00
01,01056,2,0,0,2,0,0,2020-06-20 12:15:00
01,01057,1,0,0,1,5,7,2020-06-20 12:15:00
01,01058,3,0,0,3,15,35,2020-06-20 12:15:00
01,01059,1,1,0,1,11,13,2020-06-20 12:15:00
01,01060,4,0,0,4,52,78,2020-06-20 12:15:00
01,01061,1,0,0,1,16,22,2020-06-20 12:15:00
01,01062,3,0,0,3,4,14,2020-06-20 12:15:00
02,02000,28,11,10,24,331,533,2020-06-20 12:15:00
03,03101,5,0,0,5,44,91,2020-06-20 12:15:00
03,03102,2,0,0,2,11,16,2020-06-20 12:15:00
03,03103,1,4,1,1,30,16,2020-06-20 12:15:00
03,03151,2,2,0,2,6,28,2020-06-20 12:15:00
03,03153,3,0,0,3,19,31,2020-06-20 12:15:00
03,03154,1,0,0,1,6,28,2020-06-20 12:15:00
03,03155,2,1,0,2,7,16,2020-06-20 12:15:00
03,03157,1,0,0,1,0,0,2020-06-20 12:15:00
03,03158,1,0,0,1,4,12,2020-06-20 12:15:00
03,03159,8,4,2,7,71,145,2020-06-20 12:15:00
03,03241,16,12,6,16,142,341,2020-06-20 12:15:00
03,03251,3,0,0,3,3,6,2020-06-20 12:15:00
03,03252,4,1,1,4,0,25,2020-06-20 12:15:00
03,03254,5,0,0,4,20,38,2020-06-20 12:15:00
03,03255,1,0,0,1,4,10,2020-06-20 12:15:00
03,03256,1,0,0,1,16,18,2020-06-20 12:15:00
03,03257,1,0,0,1,0,0,2020-06-20 12:15:00
03,03351,3,0,0,1,7,34,2020-06-20 12:15:00
03,03352,2,2,1,2,6,12,2020-06-20 12:15:00
03,03353,2,0,0,2,10,32,2020-06-20 12:15:00
03,03354,1,0,0,1,6,9,2020-06-20 12:15:00
03,03355,2,0,0,2,19,19,2020-06-20 12:15:00
03,03356,2,0,0,2,4,5,2020-06-20 12:15:00
03,03357,3,0,0,2,4,28,2020-06-20 12:15:00
03,03358,3,0,0,3,12,23,2020-06-20 12:15:00
03,03359,3,0,0,2,14,23,2020-06-20 12:15:00
03,03360,2,0,0,2,33,46,2020-06-20 12:15:00
03,03361,2,0,0,2,4,5,2020-06-20 12:15:00
03,03401,1,0,0,1,13,16,2020-06-20 12:15:00
03,03402,1,0,0,1,9,12,2020-06-20 12:15:00
03,03403,5,6,6,3,95,74,2020-06-20 12:15:00
03,03404,4,1,1,4,88,22,2020-06-20 12:15:00
