bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
01,01001,2,1,1,2,45,37,2020-05-05 09:15:00
01,01002,4,3,2,3,120,108,2020-05-05 09:15:00
01,01003,2,4,2,2,105,118,2020-05-05 09:15:00
01,01004,1,0,0,1,18,20,2020-05-05 09:15:00
01,01051,1,1,1,1,54,23,2020-05-05 09:15:00
01,01053,2,1,0,2,11,11,2020-05-05 09:15:00
01,01054,1,0,0,1,9,1,2020-05-05 09:15:00
01,01055,3,0,0,3,23,29,2020-05-05 09:15:00
01,01056,2,4,4,2,7,30,2020-05-05 09:15:00
01,01057,1,1,0,1,6,6,2020-05-05 09:15:00
01,01058,2,2,2,2,20,30,2020-05-05 09:15:00
01,01059,1,0,0,1,9,14,2020-05-05 09:15:00
01,01060,3,1,0,3,55,71,2020-05-05 09:15:00
01,01061,1,0,0,1,16,24,2020-05-05 09:15:00
01,01062,3,0,0,3,26,32,2020-05-05 09:15:00
02,02000,24,68,55,22,341,529,2020-05-05 09:15:00
03,03101,5,5,5,5,61,98,2020-05-05 09:15:00
03,03102,2,0,0,2,9,18,2020-05-05 09:15:00
03,03103,1,0,0,1,27,21,2020-05-05 09:15:00
03,03151,1,0,0,1,7,7,2020-05-05 09:15:00
03,03153,3,8,6,3,35,39,2020-05-05 09:15:00
03,03154,1,1,1,1,24,10,2020-05-05 09:15:00
03,03155,2,1,1,2,11,12,2020-05-05 09:15:00
03,03157,1,1,0,1,8,14,2020-05-05 09:15:00
03,03158,1,3,3,1,8,8,2020-05-05 09:15:00
03,03159,6,11,5,6,79,113,2020-05-05 09:15:00
03,03241,15,26,23,15,168,347,2020-05-05 09:15:00
03,03251,3,1,1,3,16,5,2020-05-05 09:15:00
03,03252,4,3,2,4,20,54,2020-05-05 09:15:00
03,03254,4,5,2,4,46,52,2020-05-05 09:15:00
03,03255,1,0,0,1,5,9,2020-05-05 09:15:00
03,03256,1,0,0,1,18,16,2020-05-05 09:15:00
