gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,bundesland
01001,2,0,0,2,42.0,36.0,01
01002,4,4,2,3,100.0,117.0,01
01003,2,5,5,2,121.0,102.0,01
01004,1,1,1,1,20.0,18.0,01
01051,1,3,1,1,49.0,21.0,01
01053,2,1,1,2,11.0,9.0,01
01054,3,0,0,3,24.0,20.0,01
01055,3,0,0,3,23.0,29.0,01
01056,2,5,4,2,14.0,23.0,01
01057,1,2,1,1,4.0,8.0,01
01058,1,0,0,1,4.0,2.0,01
01059,1,0,0,1,9.0,15.0,01
01060,4,1,0,4,67.0,69.0,01
01061,1,0,0,1,21.0,19.0,01
01062,3,0,0,3,18.0,38.0,01
02000,28,82,69,24,399.0,520.0,02
03101,5,7,5,5,65.0,84.0,03
03102,2,1,0,2,15.0,12.0,03
03103,1,0,0,1,28.0,20.0,03
03151,2,0,0,2,11.0,9.0,03
03153,3,8,7,3,37.0,38.0,03
03154,1,4,1,1,16.0,18.0,03
03155,2,3,2,2,10.0,13.0,03
03157,1,1,1,1,5.0,17.0,03
03158,1,4,4,1,5.0,11.0,03
03159,6,15,7,6,70.0,123.0,03
03241,16,39,31,16,163.0,348.0,03
03251,3,2,1,3,13.0,7.0,03
03252,4,4,1,4,16.0,56.0,03
03254,5,8,3,4,61.0,49.0,03
03255,1,0,0,1,2.0,12.0,03
03256,1,0,0,1,19.0,17.0,03
03257,1,2,0,1,0.0,23.0,03
03351,3,1,0,1,27.0,20.0,03
03352,2,1,0,2,11.0,7.0,03
03353,3,4,2,3,32.0,32.0,03
03354,1,0,0,1,24.0,3.0,03
03355,2,0,0,2,23.0,20.0,03
03356,2,1,1,2,3.0,13.0,03
03357,3,2,2,2,10.0,16.0,03
03358,3,2,1,3,19.0,23.0,03
03359,2,0,0,2,15.0,23.0,03
03360,2,2,1,2,18.0,10.0,03
03361,2,1,1,2,10.0,7.0,03
03401,1,2,2,1,18.0,9.0,03
03402,1,2,0,1,10.0,11.0,03
03403,4,8,7,3,116.0,77.0,03
03404,4,11,10,4,80.0,66.0,03
03405,1,0,0,1,11.0,22.0,03
03451,2,4,4,2,14.0,6.0,03
03452,3,0,0,3,16.0,26.0,03
03453,3,0,0,3,24.0,25.0,03
03454,6,7,7,6,57.0,53.0,03
03455,2,3,2,2,12.0,6.0,03
03456,1,5,4,1,20.0,18.0,03
03457,3,1,0,2,19.0,24.0,03
03458,1,1,1,1,8.0,7.0,03
03459,8,0,0,7,70.0,55.0,03
03460,3,4,0,3,46.0,21.0,03
03461,1,0,0,1,5.0,1.0,03
03462,1,0,0,1,6.0,7.0,03
04011,9,10,7,9,84.0,100.0,04
04012,1,3,2,1,18.0,28.0,04
05111,12,22,19,11,80.0,230.0,05
05112,13,11,11,9,93.0,174.0,05
05113,15,30,26,14,109.0,259.0,05
05114,4,14,9,4,22.0,68.0,05
05116,5,12,8,4,43.0,80.0,05
05117,2,6,5,2,16.0,32.0,05
05119,5,1,0,4,27.0,35.0,05
05120,1,4,3,1,14.0,22.0,05
05122,3,8,6,3,37.0,56.0,05
05124,5,13,10,5,115.0,101.0,05
05154,5,7,4,5,36.0,41.0,05
05158,5,6,6,5,35.0,40.0,05
05162,7,12,10,6,48.0,77.0,05
05166,4,6,5,4,21.0,38.0,05
05170,8,9,6,8,57.0,103.0,05
05314,13,18,15,10,62.0,186.0,05
05315,25,48,34,18,96.0,319.0,05
05316,3,2,2,2,37.0,47.0,05
05334,6,16,13,6,60.0,84.0,05
05358,5,10,5,5,21.0,63.0,05
05362,7,8,5,7,32.0,52.0,05
05366,3,3,3,3,9.0,38.0,05
05370,3,8,6,3,10.0,24.0,05
05374,7,3,3,7,51.0,51.0,05
05378,4,5,5,4,16.0,40.0,05
05382,6,5,3,6,39.0,60.0,05
05512,2,2,1,2,44.0,24.0,05
05513,4,6,2,3,71.0,33.0,05
05515,7,13,11,7,77.0,189.0,05
05554,5,9,4,5,40.0,44.0,05
05558,3,1,1,3,22.0,23.0,05
05562,14,5,2,14,153.0,164.0,05
05566,5,19,12,5,40.0,66.0,05
05570,4,2,1,4,29.0,26.0,05
05711,4,5,5,4,44.0,106.0,05
05754,3,1,1,3,31.0,23.0,05
05758,4,4,4,3,25.0,45.0,05
05762,5,5,3,5,19.0,24.0,05
05766,2,5,4,2,31.0,44.0,05
05770,6,11,4,6,50.0,99.0,05
05774,5,7,5,4,37.0,79.0,05
05911,7,12,7,5,85.0,167.0,05
05913,9,8,8,9,89.0,219.0,05
05914,5,7,2,5,40.0,44.0,05
05915,5,6,5,5,40.0,49.0,05
05916,4,5,3,4,20.0,50.0,05
05954,5,2,2,5,43.0,42.0,05
05958,9,4,4,9,90.0,54.0,05
05962,8,17,6,8,53.0,82.0,05
05966,3,9,9,3,24.0,23.0,05
05970,6,4,4,6,45.0,93.0,05
05974,7,2,1,7,34.0,59.0,05
05978,8,5,3,8,79.0,79.0,05
06411,6,9,5,4,29.0,49.0,06
06412,16,45,40,12,129.0,246.0,06
06413,2,9,7,2,30.0,82.0,06
06414,5,8,7,4,68.0,80.0,06
06431,5,5,1,5,16.0,33.0,06
06432,2,10,6,2,2.0,25.0,06
06433,2,6,5,2,19.0,17.0,06
06434,3,2,1,3,5.0,25.0,06
06435,4,17,10,4,27.0,63.0,06
06436,2,14,6,2,44.0,34.0,06
06437,2,8,6,2,25.0,121.0,06
06438,2,13,13,2,16.0,42.0,06
06439,2,2,0,2,11.0,11.0,06
06440,5,4,3,5,57.0,83.0,06
06531,4,14,13,4,53.0,216.0,06
06532,2,3,3,2,21.0,38.0,06
06533,3,3,2,3,37.0,29.0,06
06534,3,6,5,3,51.0,126.0,06
06535,4,2,1,4,21.0,20.0,06
06611,6,12,9,6,47.0,133.0,06
06631,4,8,8,4,26.0,63.0,06
06632,3,2,1,3,37.0,34.0,06
06633,3,1,1,3,11.0,18.0,06
06634,3,2,1,3,29.0,20.0,06
06635,7,0,0,7,57.0,68.0,06
06636,2,2,2,2,28.0,11.0,06
07111,4,9,7,4,46.0,64.0,07
07131,2,1,0,2,17.0,11.0,07
07132,2,3,3,2,10.0,10.0,07
07133,4,3,2,4,19.0,27.0,07
07134,2,0,0,2,8.0,20.0,07
07135,2,0,0,2,12.0,4.0,07
07137,4,2,1,4,27.0,17.0,07
07138,5,2,2,5,39.0,36.0,07
07140,2,0,0,2,10.0,5.0,07
07141,5,3,2,5,22.0,24.0,07
07143,4,2,1,4,17.0,19.0,07
07211,4,3,1,3,64.0,63.0,07
07231,2,2,2,2,12.0,12.0,07
07232,2,1,1,2,7.0,11.0,07
07233,2,5,5,2,14.0,5.0,07
07235,2,0,0,2,14.0,6.0,07
07311,1,3,1,1,6.0,16.0,07
07312,1,10,4,1,77.0,74.0,07
07313,2,5,1,2,13.0,4.0,07
07314,4,4,4,4,56.0,65.0,07
07315,2,7,2,2,47.0,98.0,07
07316,1,0,0,1,8.0,13.0,07
07317,1,0,0,1,8.0,8.0,07
07318,2,7,6,2,9.0,20.0,07
07319,1,1,0,1,7.0,23.0,07
07320,1,2,2,1,13.0,2.0,07
07331,1,0,0,1,4.0,4.0,07
07332,2,3,3,2,8.0,8.0,07
07333,2,0,0,2,6.0,6.0,07
07334,2,0,0,2,18.0,11.0,07
07335,1,0,0,1,9.0,6.0,07
07336,1,0,0,1,2.0,14.0,07
07337,2,0,0,2,7.0,10.0,07
07339,2,13,11,2,11.0,14.0,07
07340,1,0,0,1,8.0,1.0,07
08111,10,23,16,9,235.0,262.0,08
08115,4,9,9,4,29.0,34.0,08
08116,6,20,17,4,38.0,57.0,08
08117,4,4,3,3,43.0,32.0,08
08118,5,24,23,4,107.0,99.0,08
08119,2,6,4,2,63.0,46.0,08
08121,1,16,11,1,69.0,40.0,08
08125,2,10,6,2,27.0,32.0,08
08126,1,5,5,1,1.0,10.0,08
08127,2,7,7,2,7.0,21.0,08
08128,3,9,9,3,34.0,34.0,08
08135,1,4,4,1,7.0,17.0,08
08136,3,8,6,3,23.0,27.0,08
08211,1,9,8,1,9.0,14.0,08
08212,4,8,5,4,72.0,116.0,08
08215,3,9,3,3,52.0,27.0,08
08216,2,0,0,2,0.0,15.0,08
08221,6,23,13,6,137.0,245.0,08
08222,5,19,13,3,43.0,104.0,08
08225,3,2,1,3,13.0,10.0,08
08226,4,4,3,4,12.0,33.0,08
