bundesland,kreis,anzahl_standorte,betten_frei,betten_belegt,faelle_covid_aktuell_im_bundesland
08,08421,3,71,84,456
08,08425,2,18,12,456
08,08426,1,11,16,456
08,08435,3,33,39,456
08,08436,4,21,47,456
08,08437,1,11,14,456
09,09161,1,16,42,684
09,09162,24,254,589,684
09,09163,1,35,28,684
09,09171,2,5,25,684
09,09172,3,7,16,684
09,09173,2,8,20,684
09,09174,1,41,27,684
09,09176,3,16,44,684
09,09177,1,12,16,684
09,09178,1,8,17,684
09,09179,1,6,9,684
09,09180,2,70,55,684
09,09181,1,5,5,684
09,09182,1,15,15,684
09,09183,1,10,10,684
09,09184,2,10,7,684
09,09185,2,11,15,684
09,09186,1,6,4,684
09,09187,5,21,57,684
09,09188,5,49,42,684
09,09189,2,25,42,684
09,09190,3,20,23,684
09,09261,2,30,42,684
09,09262,2,18,7,684
09,09263,1,20,21,684
09,09271,2,11,25,684
09,09272,2,11,11,684
09,09273,3,17,9,684
09,09274,1,3,7,684
09,09275,1,7,11,684
09,09276,2,11,14,684
09,09277,2,16,21,684
09,09278,2,13,11,684
09,09279,2,8,9,684
09,09361,1,15,19,684
09,09362,4,90,260,684
09,09363,1,13,68,684
09,09371,1,9,5,684
09,09372,1,9,8,684
09,09373,1,9,26,684
09,09375,2,4,10,684
09,09376,3,17,21,684
09,09461,1,28,33,684
09,09462,2,16,51,684
09,09464,1,17,23,684
09,09471,2,8,9,684
09,09472,1,5,5,684
09,09474,2,7,10,684
09,09475,2,8,9,684
09,09476,1,2,13,684
09,09477,1,3,35,684
09,09478,2,15,14,684
09,09479,2,20,5,684
09,09561,2,13,17,684
09,09562,2,4,22,684
09,09563,2,28,24,684
09,09564,6,53,157,684
09,09571,3,18,14,684
09,09572,1,1,5,684
09,09574,3,9,17,684
09,09575,2,34,46,684
09,09576,1,6,6,684
09,09577,2,5,12,684
09,09661,1,16,50,684
09,09662,2,5,46,684
09,09663,3,34,99,684
09,09671,1,5,5,684
09,09672,4,18,42,684
09,09673,1,37,125,684
09,09674,2,28,8,684
09,09675,1,6,6,684
09,09676,1,9,9,684
09,09677,1,2,6,684
09,09678,2,6,2,684
09,09679,1,5,7,684
09,09761,2,50,112,684
09,09762,1,12,19,684
09,09763,1,2,22,684
09,09764,1,12,19,684
09,09771,2,9,17,684
09,09772,2,6,7,684
09,09773,2,4,19,684
09,09774,4,17,50,684
