bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
01,01001,2,1,1,2,47,38,2020-05-09 09:15:00
01,01002,5,2,2,3,118,124,2020-05-09 09:15:00
01,01003,2,2,2,2,124,99,2020-05-09 09:15:00
01,01004,1,0,0,1,19,19,2020-05-09 09:15:00
01,01051,1,2,2,1,54,21,2020-05-09 09:15:00
01,01053,2,0,0,2,15,9,2020-05-09 09:15:00
01,01054,3,0,0,3,20,24,2020-05-09 09:15:00
01,01055,3,0,0,3,20,32,2020-05-09 09:15:00
01,01056,2,3,3,2,14,24,2020-05-09 09:15:00
01,01057,1,0,0,1,4,8,2020-05-09 09:15:00
01,01058,2,2,1,2,25,26,2020-05-09 09:15:00
01,01059,1,0,0,1,11,13,2020-05-09 09:15:00
01,01060,3,0,0,3,53,74,2020-05-09 09:15:00
01,01061,1,0,0,1,15,25,2020-05-09 09:15:00
01,01062,3,1,1,3,22,38,2020-05-09 09:15:00
02,02000,24,60,51,22,323,561,2020-05-09 09:15:00
03,03101,5,4,4,5,73,80,2020-05-09 09:15:00
03,03102,2,0,0,2,15,12,2020-05-09 09:15:00
03,03103,1,1,0,1,27,21,2020-05-09 09:15:00
03,03151,1,0,0,1,15,7,2020-05-09 09:15:00
03,03153,3,7,5,3,34,40,2020-05-09 09:15:00
03,03154,1,1,1,1,18,16,2020-05-09 09:15:00
03,03155,2,0,0,2,9,14,2020-05-09 09:15:00
03,03157,1,1,0,1,9,13,2020-05-09 09:15:00
03,03158,1,3,3,1,6,10,2020-05-09 09:15:00
03,03159,6,10,5,6,60,128,2020-05-09 09:15:00
03,03241,16,27,20,16,169,351,2020-05-09 09:15:00
03,03251,3,1,1,3,8,5,2020-05-09 09:15:00
03,03252,4,2,1,4,9,57,2020-05-09 09:15:00
03,03254,4,6,2,4,47,51,2020-05-09 09:15:00
03,03255,1,0,0,1,2,12,2020-05-09 09:15:00
03,03256,1,0,0,1,20,14,2020-05-09 09:15:00
03,03257,1,2,1,1,3,20,2020-05-09 09:15:00
03,03351,3,0,0,1,22,25,2020-05-09 09:15:00
03,03352,2,0,0,2,11,7,2020-05-09 09:15:00
03,03353,2,2,0,2,22,13,2020-05-09 09:15:00
03,03354,1,0,0,1,18,6,2020-05-09 09:15:00
03,03355,1,0,0,1,19,19,2020-05-09 09:15:00
03,03356,2,0,0,2,2,13,2020-05-09 09:15:00
03,03357,3,1,1,2,15,19,2020-05-09 09:15:00
03,03358,3,0,0,3,21,21,2020-05-09 09:15:00
03,03359,3,0,0,2,14,27,2020-05-09 09:15:00
03,03360,2,1,0,2,26,26,2020-05-09 09:15:00
03,03361,2,0,0,2,6,9,2020-05-09 09:15:00
03,03401,1,2,2,1,14,13,2020-05-09 09:15:00
03,03402,1,0,0,1,13,8,2020-05-09 09:15:00
03,03403,4,11,8,3,181,81,2020-05-09 09:15:00
03,03404,3,6,3,3,95,51,2020-05-09 09:15:00
03,03405,1,1,0,1,6,26,2020-05-09 09:15:00
03,03451,2,2,2,2,12,16,2020-05-09 09:15:00
03,03452,2,1,1,2,14,24,2020-05-09 09:15:00
03,03453,2,1,1,2,12,30,2020-05-09 09:15:00
03,03454,5,5,3,5,48,40,2020-05-09 09:15:00
03,03455,2,0,0,2,17,2,2020-05-09 09:15:00
03,03456,1,3,3,1,7,23,2020-05-09 09:15:00
03,03457,3,0,0,2,28,15,2020-05-09 09:15:00
03,03458,1,0,0,1,10,5,2020-05-09 09:15:00
03,03459,7,0,0,6,54,72,2020-05-09 09:15:00
03,03460,3,0,0,3,43,26,2020-05-09 09:15:00
03,03462,1,0,0,1,10,3,2020-05-09 09:15:00
04,04011,10,8,6,9,98,95,2020-05-09 09:15:00
04,04012,3,6,2,3,14,55,2020-05-09 09:15:00
05,05111,12,17,9,11,76,234,2020-05-09 09:15:00
05,05112,11,14,10,9,85,147,2020-05-09 09:15:00
05,05113,15,20,20,14,101,257,2020-05-09 09:15:00
05,05114,6,8,6,4,33,74,2020-05-09 09:15:00
05,05116,5,8,7,4,45,74,2020-05-09 09:15:00
05,05117,2,3,2,2,24,29,2020-05-09 09:15:00
05,05119,5,0,0,4,43,26,2020-05-09 09:15:00
05,05120,1,3,2,1,20,16,2020-05-09 09:15:00
05,05122,3,8,8,3,39,54,2020-05-09 09:15:00
05,05124,5,6,5,5,104,106,2020-05-09 09:15:00
05,05154,5,9,7,5,28,47,2020-05-09 09:15:00
05,05158,6,3,1,6,53,37,2020-05-09 09:15:00
05,05162,7,7,6,6,37,85,2020-05-09 09:15:00
05,05166,4,4,3,4,17,43,2020-05-09 09:15:00
05,05170,9,15,5,8,69,102,2020-05-09 09:15:00
05,05314,16,15,10,11,68,220,2020-05-09 09:15:00
05,05315,26,24,18,18,106,338,2020-05-09 09:15:00
05,05316,4,0,0,2,35,53,2020-05-09 09:15:00
05,05334,9,34,32,7,67,197,2020-05-09 09:15:00
05,05358,6,3,3,5,33,45,2020-05-09 09:15:00
05,05362,7,5,4,7,35,47,2020-05-09 09:15:00
05,05366,3,2,1,3,2,45,2020-05-09 09:15:00
05,05370,3,5,5,3,4,32,2020-05-09 09:15:00
05,05374,6,0,0,6,35,44,2020-05-09 09:15:00
05,05378,4,1,1,4,16,37,2020-05-09 09:15:00
05,05382,6,4,1,6,25,69,2020-05-09 09:15:00
05,05512,2,1,1,2,35,26,2020-05-09 09:15:00
05,05513,6,2,1,4,68,65,2020-05-09 09:15:00
05,05515,8,12,8,7,63,202,2020-05-09 09:15:00
05,05554,5,2,2,5,34,47,2020-05-09 09:15:00
05,05558,3,1,0,3,26,12,2020-05-09 09:15:00
05,05562,14,8,1,14,111,199,2020-05-09 09:15:00
