"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-02-06,2021-04-17,"GM","Germany",163.653625582083,"point",NA,"10 wk ahead inc death"
2021-02-06,2021-04-24,"GM","Germany",115.324760786985,"point",NA,"11 wk ahead inc death"
2021-02-06,2021-05-01,"GM","Germany",81.2679853762384,"point",NA,"12 wk ahead inc death"
2021-02-06,2021-05-08,"GM","Germany",57.2685813700809,"point",NA,"13 wk ahead inc death"
2021-02-06,2021-05-15,"GM","Germany",40.3564872065763,"point",NA,"14 wk ahead inc death"
2021-02-06,2021-02-06,"GM","Germany",61551,"point",NA,"0 day ahead cum death"
2021-02-06,2021-02-07,"GM","Germany",62186.1428571429,"point",NA,"1 day ahead cum death"
2021-02-06,2021-02-08,"GM","Germany",62786.0933886688,"point",NA,"2 day ahead cum death"
2021-02-06,2021-02-09,"GM","Germany",63356.783987501,"point",NA,"3 day ahead cum death"
2021-02-06,2021-02-10,"GM","Germany",63899.6416773962,"point",NA,"4 day ahead cum death"
2021-02-06,2021-02-11,"GM","Germany",64416.023885341,"point",NA,"5 day ahead cum death"
2021-02-06,2021-02-12,"GM","Germany",64907.2218358267,"point",NA,"6 day ahead cum death"
2021-02-06,2021-02-13,"GM","Germany",65374.4637795832,"point",NA,"7 day ahead cum death"
2021-02-06,2021-02-14,"GM","Germany",65818.9180648453,"point",NA,"8 day ahead cum death"
2021-02-06,2021-02-15,"GM","Germany",66241.696058832,"point",NA,"9 day ahead cum death"
2021-02-06,2021-02-16,"GM","Germany",66643.8549267435,"point",NA,"10 day ahead cum death"
2021-02-06,2021-02-17,"GM","Germany",67026.4002752249,"point",NA,"11 day ahead cum death"
2021-02-06,2021-02-18,"GM","Germany",67390.2886669062,"point",NA,"12 day ahead cum death"
2021-02-06,2021-02-19,"GM","Germany",67736.4300123078,"point",NA,"13 day ahead cum death"
2021-02-06,2021-02-20,"GM","Germany",68065.68984509,"point",NA,"14 day ahead cum death"
2021-02-06,2021-02-21,"GM","Germany",68378.8914863386,"point",NA,"15 day ahead cum death"
2021-02-06,2021-02-22,"GM","Germany",68676.8181032962,"point",NA,"16 day ahead cum death"
2021-02-06,2021-02-23,"GM","Germany",68960.2146676882,"point",NA,"17 day ahead cum death"
2021-02-06,2021-02-24,"GM","Germany",69229.7898185404,"point",NA,"18 day ahead cum death"
2021-02-06,2021-02-25,"GM","Germany",69486.2176341451,"point",NA,"19 day ahead cum death"
2021-02-06,2021-02-26,"GM","Germany",69730.1393176088,"point",NA,"20 day ahead cum death"
2021-02-06,2021-02-27,"GM","Germany",69962.1648001932,"point",NA,"21 day ahead cum death"
2021-02-06,2021-02-28,"GM","Germany",70182.8742664614,"point",NA,"22 day ahead cum death"
2021-02-06,2021-03-01,"GM","Germany",70392.8196050416,"point",NA,"23 day ahead cum death"
2021-02-06,2021-03-02,"GM","Germany",70592.5257886359,"point",NA,"24 day ahead cum death"
2021-02-06,2021-03-03,"GM","Germany",70782.4921867255,"point",NA,"25 day ahead cum death"
2021-02-06,2021-03-04,"GM","Germany",70963.1938142548,"point",NA,"26 day ahead cum death"
2021-02-06,2021-03-05,"GM","Germany",71135.0825194157,"point",NA,"27 day ahead cum death"
2021-02-06,2021-03-06,"GM","Germany",71298.5881135042,"point",NA,"28 day ahead cum death"
2021-02-06,2021-03-07,"GM","Germany",71454.1194456716,"point",NA,"29 day ahead cum death"
2021-02-06,2021-03-08,"GM","Germany",71602.0654252611,"point",NA,"30 day ahead cum death"
2021-02-06,2021-03-09,"GM","Germany",71742.7959942831,"point",NA,"31 day ahead cum death"
2021-02-06,2021-03-10,"GM","Germany",71876.6630524636,"point",NA,"32 day ahead cum death"
2021-02-06,2021-03-11,"GM","Germany",72004.0013371763,"point",NA,"33 day ahead cum death"
2021-02-06,2021-03-12,"GM","Germany",72125.1292604604,"point",NA,"34 day ahead cum death"
2021-02-06,2021-03-13,"GM","Germany",72240.3497052169,"point",NA,"35 day ahead cum death"
2021-02-06,2021-03-14,"GM","Germany",72349.9507825734,"point",NA,"36 day ahead cum death"
2021-02-06,2021-03-15,"GM","Germany",72454.2065523118,"point",NA,"37 day ahead cum death"
2021-02-06,2021-03-16,"GM","Germany",72553.377708161,"point",NA,"38 day ahead cum death"
2021-02-06,2021-03-17,"GM","Germany",72647.7122296665,"point",NA,"39 day ahead cum death"
2021-02-06,2021-03-18,"GM","Germany",72737.4460022687,"point",NA,"40 day ahead cum death"
2021-02-06,2021-03-19,"GM","Germany",72822.8034071394,"point",NA,"41 day ahead cum death"
2021-02-06,2021-03-20,"GM","Germany",72903.9978822514,"point",NA,"42 day ahead cum death"
2021-02-06,2021-03-21,"GM","Germany",72981.2324560848,"point",NA,"43 day ahead cum death"
2021-02-06,2021-03-22,"GM","Germany",73054.700255304,"point",NA,"44 day ahead cum death"
