"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2020-10-04,2020-10-10,"GM","Germany",9601.40052765505,"point",NA,"1 wk ahead cum death"
2020-10-04,2020-10-17,"GM","Germany",9704.78180126731,"point",NA,"2 wk ahead cum death"
2020-10-04,2020-10-24,"GM","Germany",9827.09196682184,"point",NA,"3 wk ahead cum death"
2020-10-04,2020-10-31,"GM","Germany",9962.17555677847,"point",NA,"4 wk ahead cum death"
2020-10-04,2020-11-07,"GM","Germany",10105.824224526,"point",NA,"5 wk ahead cum death"
2020-10-04,2020-11-14,"GM","Germany",10254.3969451447,"point",NA,"6 wk ahead cum death"
2020-10-04,2020-11-21,"GM","Germany",10404.4949290832,"point",NA,"7 wk ahead cum death"
2020-10-04,2020-11-28,"GM","Germany",10553.3143643001,"point",NA,"8 wk ahead cum death"
2020-10-04,2020-12-05,"GM","Germany",10697.7019664577,"point",NA,"9 wk ahead cum death"
2020-10-04,2020-12-12,"GM","Germany",10835.3543032901,"point",NA,"10 wk ahead cum death"
2020-10-04,2020-12-19,"GM","Germany",10964.883922319,"point",NA,"11 wk ahead cum death"
2020-10-04,2020-12-26,"GM","Germany",11085.5139245253,"point",NA,"12 wk ahead cum death"
2020-10-04,2021-01-02,"GM","Germany",11196.1204507422,"point",NA,"13 wk ahead cum death"
2020-10-04,2021-01-09,"GM","Germany",11296.2900336559,"point",NA,"14 wk ahead cum death"
2020-10-04,2020-10-10,"GM","Germany",9581.08083010381,"quantile",0.025,"1 wk ahead cum death"
2020-10-04,2020-10-17,"GM","Germany",9614.57332336206,"quantile",0.025,"2 wk ahead cum death"
2020-10-04,2020-10-24,"GM","Germany",9637.57276399553,"quantile",0.025,"3 wk ahead cum death"
2020-10-04,2020-10-31,"GM","Germany",9656.51975407064,"quantile",0.025,"4 wk ahead cum death"
2020-10-04,2020-11-07,"GM","Germany",9674.52072871807,"quantile",0.025,"5 wk ahead cum death"
2020-10-04,2020-11-14,"GM","Germany",9692.55446680125,"quantile",0.025,"6 wk ahead cum death"
2020-10-04,2020-11-21,"GM","Germany",9711.02263498668,"quantile",0.025,"7 wk ahead cum death"
2020-10-04,2020-11-28,"GM","Germany",9729.79758733229,"quantile",0.025,"8 wk ahead cum death"
2020-10-04,2020-12-05,"GM","Germany",9748.7544922751,"quantile",0.025,"9 wk ahead cum death"
2020-10-04,2020-12-12,"GM","Germany",9767.69209605507,"quantile",0.025,"10 wk ahead cum death"
2020-10-04,2020-12-19,"GM","Germany",9786.41882857401,"quantile",0.025,"11 wk ahead cum death"
2020-10-04,2020-12-26,"GM","Germany",9804.83845092301,"quantile",0.025,"12 wk ahead cum death"
2020-10-04,2021-01-02,"GM","Germany",9822.82696336566,"quantile",0.025,"13 wk ahead cum death"
