"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2020-10-11,2020-10-17,"GM","Germany",349098.390253386,"point",NA,"1 wk ahead cum case"
2020-10-11,2020-10-24,"GM","Germany",378889.874203889,"point",NA,"2 wk ahead cum case"
2020-10-11,2020-10-31,"GM","Germany",411256.354079158,"point",NA,"3 wk ahead cum case"
2020-10-11,2020-11-07,"GM","Germany",446359.813194075,"point",NA,"4 wk ahead cum case"
2020-10-11,2020-11-14,"GM","Germany",484154.189360606,"point",NA,"5 wk ahead cum case"
2020-10-11,2020-11-21,"GM","Germany",524379.772784372,"point",NA,"6 wk ahead cum case"
2020-10-11,2020-11-28,"GM","Germany",566642.104141627,"point",NA,"7 wk ahead cum case"
2020-10-11,2020-12-05,"GM","Germany",610437.110864315,"point",NA,"8 wk ahead cum case"
2020-10-11,2020-12-12,"GM","Germany",655171.992482937,"point",NA,"9 wk ahead cum case"
2020-10-11,2020-12-19,"GM","Germany",700237.518018522,"point",NA,"10 wk ahead cum case"
2020-10-11,2020-12-26,"GM","Germany",745040.892494172,"point",NA,"11 wk ahead cum case"
2020-10-11,2021-01-02,"GM","Germany",789040.883433543,"point",NA,"12 wk ahead cum case"
2020-10-11,2021-01-09,"GM","Germany",831752.12444334,"point",NA,"13 wk ahead cum case"
2020-10-11,2021-01-16,"GM","Germany",872784.135852991,"point",NA,"14 wk ahead cum case"
2020-10-11,2020-10-17,"GM","Germany",344998.71823787,"quantile",0.025,"1 wk ahead cum case"
2020-10-11,2020-10-24,"GM","Germany",360611.261666733,"quantile",0.025,"2 wk ahead cum case"
2020-10-11,2020-10-31,"GM","Germany",372162.219123429,"quantile",0.025,"3 wk ahead cum case"
2020-10-11,2020-11-07,"GM","Germany",381765.597286888,"quantile",0.025,"4 wk ahead cum case"
2020-10-11,2020-11-14,"GM","Germany",390482.480005399,"quantile",0.025,"5 wk ahead cum case"
2020-10-11,2020-11-21,"GM","Germany",398840.97397801,"quantile",0.025,"6 wk ahead cum case"
2020-10-11,2020-11-28,"GM","Germany",407097.433606769,"quantile",0.025,"7 wk ahead cum case"
2020-10-11,2020-12-05,"GM","Germany",415380.51852021,"quantile",0.025,"8 wk ahead cum case"
2020-10-11,2020-12-12,"GM","Germany",423750.460971436,"quantile",0.025,"9 wk ahead cum case"
2020-10-11,2020-12-19,"GM","Germany",432237.95910755,"quantile",0.025,"10 wk ahead cum case"
2020-10-11,2020-12-26,"GM","Germany",440855.670263165,"quantile",0.025,"11 wk ahead cum case"
2020-10-11,2021-01-02,"GM","Germany",449608.177119994,"quantile",0.025,"12 wk ahead cum case"
2020-10-11,2021-01-09,"GM","Germany",458496.685364121,"quantile",0.025,"13 wk ahead cum case"
2020-10-11,2021-01-16,"GM","Germany",467518.732916901,"quantile",0.025,"14 wk ahead cum case"
2020-10-11,2020-10-17,"GM","Germany",365652.125405022,"quantile",0.975,"1 wk ahead cum case"
2020-10-11,2020-10-24,"GM","Germany",447473.938000423,"quantile",0.975,"2 wk ahead cum case"
2020-10-11,2020-10-31,"GM","Germany",546166.588294074,"quantile",0.975,"3 wk ahead cum case"
2020-10-11,2020-11-07,"GM","Germany",649844.69152824,"quantile",0.975,"4 wk ahead cum case"
2020-10-11,2020-11-14,"GM","Germany",752081.309243694,"quantile",0.975,"5 wk ahead cum case"
2020-10-11,2020-11-21,"GM","Germany",849457.818172268,"quantile",0.975,"6 wk ahead cum case"
2020-10-11,2020-11-28,"GM","Germany",940259.582494262,"quantile",0.975,"7 wk ahead cum case"
2020-10-11,2020-12-05,"GM","Germany",1023760.13282916,"quantile",0.975,"8 wk ahead cum case"
