"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2020-09-27,2020-10-03,"GM","Germany",297049.424957822,"point",NA,"1 wk ahead cum case"
2020-09-27,2020-10-10,"GM","Germany",309878.711679941,"point",NA,"2 wk ahead cum case"
2020-09-27,2020-10-17,"GM","Germany",322924.021646717,"point",NA,"3 wk ahead cum case"
2020-09-27,2020-10-24,"GM","Germany",335946.813744709,"point",NA,"4 wk ahead cum case"
2020-09-27,2020-10-31,"GM","Germany",348728.19177271,"point",NA,"5 wk ahead cum case"
2020-09-27,2020-11-07,"GM","Germany",361081.135865088,"point",NA,"6 wk ahead cum case"
2020-09-27,2020-11-14,"GM","Germany",372855.421615042,"point",NA,"7 wk ahead cum case"
2020-09-27,2020-11-21,"GM","Germany",383936.99642254,"point",NA,"8 wk ahead cum case"
2020-09-27,2020-11-28,"GM","Germany",394247.075888584,"point",NA,"9 wk ahead cum case"
2020-09-27,2020-12-05,"GM","Germany",403740.143670797,"point",NA,"10 wk ahead cum case"
2020-09-27,2020-12-12,"GM","Germany",412403.045514872,"point",NA,"11 wk ahead cum case"
2020-09-27,2020-12-19,"GM","Germany",420247.250400104,"point",NA,"12 wk ahead cum case"
2020-09-27,2020-12-26,"GM","Germany",427297.272249348,"point",NA,"13 wk ahead cum case"
2020-09-27,2021-01-02,"GM","Germany",433590.330106477,"point",NA,"14 wk ahead cum case"
2020-09-27,2020-10-03,"GM","Germany",295080.653417219,"quantile",0.025,"1 wk ahead cum case"
2020-09-27,2020-10-10,"GM","Germany",301376.876671782,"quantile",0.025,"2 wk ahead cum case"
2020-09-27,2020-10-17,"GM","Germany",305489.655785539,"quantile",0.025,"3 wk ahead cum case"
2020-09-27,2020-10-24,"GM","Germany",308506.697558486,"quantile",0.025,"4 wk ahead cum case"
2020-09-27,2020-10-31,"GM","Germany",310965.965773074,"quantile",0.025,"5 wk ahead cum case"
2020-09-27,2020-11-07,"GM","Germany",313131.780228721,"quantile",0.025,"6 wk ahead cum case"
2020-09-27,2020-11-14,"GM","Germany",315134.245700572,"quantile",0.025,"7 wk ahead cum case"
2020-09-27,2020-11-21,"GM","Germany",317036.357868682,"quantile",0.025,"8 wk ahead cum case"
2020-09-27,2020-11-28,"GM","Germany",318868.714142916,"quantile",0.025,"9 wk ahead cum case"
2020-09-27,2020-12-05,"GM","Germany",320645.410804058,"quantile",0.025,"10 wk ahead cum case"
2020-09-27,2020-12-12,"GM","Germany",322373.028307414,"quantile",0.025,"11 wk ahead cum case"
2020-09-27,2020-12-19,"GM","Germany",324054.223126811,"quantile",0.025,"12 wk ahead cum case"
2020-09-27,2020-12-26,"GM","Germany",325689.863147661,"quantile",0.025,"13 wk ahead cum case"
2020-09-27,2021-01-02,"GM","Germany",327280.159635528,"quantile",0.025,"14 wk ahead cum case"
2020-09-27,2020-10-03,"GM","Germany",301376.637193726,"quantile",0.975,"1 wk ahead cum case"
