date,location,location_name,value
2020-03-28,GM,Germany,72.0
2020-03-28,GM01,Baden-Württemberg State,31.0
2020-03-28,GM02,Free State of Bavaria,22.0
2020-03-28,GM03,Free Hanseatic City of Bremen,1.0
2020-03-28,GM04,Free Hanseatic City of Hamburg,0.0
2020-03-28,GM05,Hesse State,2.0
2020-03-28,GM06,Lower Saxony State,2.0
2020-03-28,GM07,North Rhine-Westphalia State,8.0
2020-03-28,GM08,Rhineland-Palatinate State,3.0
2020-03-28,GM09,Saarland State,0.0
2020-03-28,GM10,Schleswig-Holstein State,0.0
2020-03-28,GM11,Brandenburg State,0.0
2020-03-28,GM13,Free State of Saxony,2.0
2020-03-28,GM14,Sachsen-Anhalt State,0.0
2020-03-28,GM15,Free State of Thüringia,1.0
2020-03-28,GM16,Berlin State,0.0
2020-03-30,GM,Germany,130.0
2020-03-30,GM01,Baden-Württemberg State,18.0
2020-03-30,GM02,Free State of Bavaria,50.0
2020-03-30,GM03,Free Hanseatic City of Bremen,0.0
2020-03-30,GM04,Free Hanseatic City of Hamburg,3.0
2020-03-30,GM05,Hesse State,4.0
2020-03-30,GM06,Lower Saxony State,14.0
2020-03-30,GM07,North Rhine-Westphalia State,21.0
2020-03-30,GM08,Rhineland-Palatinate State,7.0
2020-03-30,GM09,Saarland State,5.0
2020-03-30,GM10,Schleswig-Holstein State,3.0
2020-03-30,GM11,Brandenburg State,1.0
2020-03-30,GM13,Free State of Saxony,0.0
2020-03-30,GM14,Sachsen-Anhalt State,0.0
2020-03-30,GM15,Free State of Thüringia,0.0
2020-03-30,GM16,Berlin State,3.0
2020-03-31,GM,Germany,128.0
2020-03-31,GM01,Baden-Württemberg State,46.0
2020-03-31,GM02,Free State of Bavaria,35.0
2020-03-31,GM03,Free Hanseatic City of Bremen,2.0
2020-03-31,GM04,Free Hanseatic City of Hamburg,4.0
2020-03-31,GM05,Hesse State,4.0
2020-03-31,GM06,Lower Saxony State,8.0
2020-03-31,GM07,North Rhine-Westphalia State,16.0
2020-03-31,GM08,Rhineland-Palatinate State,1.0
2020-03-31,GM09,Saarland State,0.0
2020-03-31,GM10,Schleswig-Holstein State,2.0
2020-03-31,GM11,Brandenburg State,0.0
2020-03-31,GM12,Mecklenburg-Western Pomerania State,0.0
2020-03-31,GM13,Free State of Saxony,3.0
2020-03-31,GM14,Sachsen-Anhalt State,4.0
2020-03-31,GM15,Free State of Thüringia,1.0
2020-03-31,GM16,Berlin State,2.0
2020-04-01,GM,Germany,149.0
2020-04-01,GM01,Baden-Württemberg State,32.0
2020-04-01,GM02,Free State of Bavaria,63.0
2020-04-01,GM03,Free Hanseatic City of Bremen,1.0
2020-04-01,GM04,Free Hanseatic City of Hamburg,5.0
2020-04-01,GM05,Hesse State,4.0
2020-04-01,GM06,Lower Saxony State,8.0
2020-04-01,GM07,North Rhine-Westphalia State,17.0
2020-04-01,GM08,Rhineland-Palatinate State,4.0
2020-04-01,GM09,Saarland State,1.0
2020-04-01,GM10,Schleswig-Holstein State,1.0
2020-04-01,GM11,Brandenburg State,2.0
2020-04-01,GM12,Mecklenburg-Western Pomerania State,2.0
2020-04-01,GM13,Free State of Saxony,5.0
2020-04-01,GM14,Sachsen-Anhalt State,1.0
2020-04-01,GM15,Free State of Thüringia,0.0
2020-04-01,GM16,Berlin State,3.0
2020-04-02,GM,Germany,140.0
2020-04-02,GM01,Baden-Württemberg State,44.0
2020-04-02,GM02,Free State of Bavaria,43.0
2020-04-02,GM03,Free Hanseatic City of Bremen,1.0
2020-04-02,GM04,Free Hanseatic City of Hamburg,0.0
2020-04-02,GM05,Hesse State,6.0
2020-04-02,GM06,Lower Saxony State,3.0
2020-04-02,GM07,North Rhine-Westphalia State,27.0
2020-04-02,GM08,Rhineland-Palatinate State,3.0
2020-04-02,GM09,Saarland State,3.0
2020-04-02,GM10,Schleswig-Holstein State,1.0
2020-04-02,GM11,Brandenburg State,3.0
2020-04-02,GM12,Mecklenburg-Western Pomerania State,0.0
2020-04-02,GM13,Free State of Saxony,1.0
2020-04-02,GM14,Sachsen-Anhalt State,1.0
2020-04-02,GM15,Free State of Thüringia,1.0
2020-04-02,GM16,Berlin State,3.0
2020-04-03,GM,Germany,145.0
2020-04-03,GM01,Baden-Württemberg State,44.0
2020-04-03,GM02,Free State of Bavaria,39.0
2020-04-03,GM03,Free Hanseatic City of Bremen,0.0
2020-04-03,GM04,Free Hanseatic City of Hamburg,2.0
2020-04-03,GM05,Hesse State,6.0
2020-04-03,GM06,Lower Saxony State,20.0
2020-04-03,GM07,North Rhine-Westphalia State,17.0
2020-04-03,GM08,Rhineland-Palatinate State,0.0
2020-04-03,GM09,Saarland State,1.0
2020-04-03,GM10,Schleswig-Holstein State,4.0
2020-04-03,GM11,Brandenburg State,2.0
2020-04-03,GM12,Mecklenburg-Western Pomerania State,1.0
2020-04-03,GM13,Free State of Saxony,3.0
2020-04-03,GM14,Sachsen-Anhalt State,3.0
2020-04-03,GM15,Free State of Thüringia,2.0
2020-04-03,GM16,Berlin State,1.0
2020-04-04,GM,Germany,141.0
2020-04-04,GM01,Baden-Württemberg State,31.0
2020-04-04,GM02,Free State of Bavaria,42.0
2020-04-04,GM03,Free Hanseatic City of Bremen,0.0
2020-04-04,GM04,Free Hanseatic City of Hamburg,0.0
2020-04-04,GM05,Hesse State,9.0
2020-04-04,GM06,Lower Saxony State,20.0
2020-04-04,GM07,North Rhine-Westphalia State,22.0
2020-04-04,GM08,Rhineland-Palatinate State,3.0
2020-04-04,GM09,Saarland State,2.0
2020-04-04,GM10,Schleswig-Holstein State,2.0
2020-04-04,GM11,Brandenburg State,3.0
2020-04-04,GM12,Mecklenburg-Western Pomerania State,1.0
2020-04-04,GM13,Free State of Saxony,3.0
2020-04-04,GM14,Sachsen-Anhalt State,0.0
2020-04-04,GM15,Free State of Thüringia,1.0
2020-04-04,GM16,Berlin State,2.0
2020-04-05,GM,Germany,184.0
2020-04-05,GM01,Baden-Württemberg State,51.0
2020-04-05,GM02,Free State of Bavaria,47.0
2020-04-05,GM03,Free Hanseatic City of Bremen,0.0
2020-04-05,GM04,Free Hanseatic City of Hamburg,3.0
2020-04-05,GM05,Hesse State,14.0
2020-04-05,GM06,Lower Saxony State,4.0
2020-04-05,GM07,North Rhine-Westphalia State,45.0
2020-04-05,GM08,Rhineland-Palatinate State,3.0
2020-04-05,GM09,Saarland State,0.0
2020-04-05,GM10,Schleswig-Holstein State,1.0
2020-04-05,GM11,Brandenburg State,5.0
2020-04-05,GM12,Mecklenburg-Western Pomerania State,0.0
2020-04-05,GM13,Free State of Saxony,8.0
2020-04-05,GM14,Sachsen-Anhalt State,1.0
2020-04-05,GM15,Free State of Thüringia,0.0
2020-04-05,GM16,Berlin State,2.0
2020-04-06,GM,Germany,92.0
2020-04-06,GM01,Baden-Württemberg State,20.0
2020-04-06,GM02,Free State of Bavaria,41.0
2020-04-06,GM03,Free Hanseatic City of Bremen,2.0
2020-04-06,GM04,Free Hanseatic City of Hamburg,0.0
2020-04-06,GM05,Hesse State,5.0
2020-04-06,GM06,Lower Saxony State,3.0
2020-04-06,GM07,North Rhine-Westphalia State,10.0
2020-04-06,GM08,Rhineland-Palatinate State,0.0
2020-04-06,GM09,Saarland State,0.0
2020-04-06,GM10,Schleswig-Holstein State,2.0
2020-04-06,GM11,Brandenburg State,2.0
2020-04-06,GM12,Mecklenburg-Western Pomerania State,1.0
2020-04-06,GM13,Free State of Saxony,2.0
2020-04-06,GM14,Sachsen-Anhalt State,0.0
2020-04-06,GM15,Free State of Thüringia,2.0
2020-04-06,GM16,Berlin State,2.0
2020-04-07,GM,Germany,173.0
2020-04-07,GM01,Baden-Württemberg State,46.0
2020-04-07,GM02,Free State of Bavaria,44.0
2020-04-07,GM03,Free Hanseatic City of Bremen,1.0
2020-04-07,GM04,Free Hanseatic City of Hamburg,1.0
2020-04-07,GM05,Hesse State,12.0
2020-04-07,GM06,Lower Saxony State,19.0
2020-04-07,GM07,North Rhine-Westphalia State,27.0
2020-04-07,GM08,Rhineland-Palatinate State,2.0
2020-04-07,GM09,Saarland State,2.0
2020-04-07,GM10,Schleswig-Holstein State,4.0
2020-04-07,GM11,Brandenburg State,1.0
2020-04-07,GM12,Mecklenburg-Western Pomerania State,2.0
2020-04-07,GM13,Free State of Saxony,4.0
2020-04-07,GM14,Sachsen-Anhalt State,0.0
2020-04-07,GM15,Free State of Thüringia,6.0
2020-04-07,GM16,Berlin State,2.0
2020-04-08,GM,Germany,254.0
2020-04-08,GM01,Baden-Württemberg State,31.0
2020-04-08,GM02,Free State of Bavaria,83.0
2020-04-08,GM03,Free Hanseatic City of Bremen,1.0
2020-04-08,GM04,Free Hanseatic City of Hamburg,3.0
2020-04-08,GM05,Hesse State,11.0
2020-04-08,GM06,Lower Saxony State,10.0
2020-04-08,GM07,North Rhine-Westphalia State,66.0
2020-04-08,GM08,Rhineland-Palatinate State,11.0
2020-04-08,GM09,Saarland State,7.0
2020-04-08,GM10,Schleswig-Holstein State,4.0
2020-04-08,GM11,Brandenburg State,2.0
2020-04-08,GM12,Mecklenburg-Western Pomerania State,3.0
