"location_name" "location" "date" "value"
"267" "Mazowieckie" "PL78" "29.04" 36
"268" "Mazowieckie" "PL78" "30.04" 25
"269" "Mazowieckie" "PL78" "01.05" 0
"270" "Mazowieckie" "PL78" "02.05" 25
"271" "Mazowieckie" "PL78" "03.05" 31
"272" "Mazowieckie" "PL78" "04.05" 45
"273" "Mazowieckie" "PL78" "05.05" 78
"274" "Mazowieckie" "PL78" "06.05" 42
"275" "Mazowieckie" "PL78" "07.05" 36
"276" "Mazowieckie" "PL78" "08.05" 22
"277" "Mazowieckie" "PL78" "09.05" 34
"278" "Mazowieckie" "PL78" "10.05" 26
"279" "Mazowieckie" "PL78" "11.05" 17
"280" "Mazowieckie" "PL78" "12.05" 21
"281" "Mazowieckie" "PL78" "13.05" 51
"282" "Mazowieckie" "PL78" "14.05" 22
"283" "Mazowieckie" "PL78" "15.05" 28
"284" "Mazowieckie" "PL78" "16.05" 19
"285" "Mazowieckie" "PL78" "17.05" 21
"286" "Mazowieckie" "PL78" "18.05" 33
"287" "Mazowieckie" "PL78" "19.05" 37
"288" "Mazowieckie" "PL78" "20.05" 42
"289" "Mazowieckie" "PL78" "21.05" 46
"290" "Mazowieckie" "PL78" "22.05" 29
"291" "Mazowieckie" "PL78" "23.05" 40
"292" "Mazowieckie" "PL78" "24.05" 20
"293" "Mazowieckie" "PL78" "25.05" 66
"294" "Mazowieckie" "PL78" "26.05" 76
"295" "Mazowieckie" "PL78" "27.05" 37
"296" "Mazowieckie" "PL78" "28.05" 65
"297" "Mazowieckie" "PL78" "29.05" 33
"298" "Mazowieckie" "PL78" "30.05" 52
"299" "Mazowieckie" "PL78" "31.05" 35
"300" "Mazowieckie" "PL78" "01.06" 47
"301" "Mazowieckie" "PL78" "02.06" 32
"302" "Mazowieckie" "PL78" "03.06" 28
"303" "Mazowieckie" "PL78" "04.06" 50
"304" "Mazowieckie" "PL78" "05.06" 58
"305" "Mazowieckie" "PL78" "06.06" 47
"306" "Mazowieckie" "PL78" "07.06" 36
"307" "Mazowieckie" "PL78" "08.06" 74
"308" "Mazowieckie" "PL78" "09.06" 80
"309" "Mazowieckie" "PL78" "10.06" 85
"310" "Mazowieckie" "PL78" "11.06" 54
"311" "Mazowieckie" "PL78" "12.06" 68
"312" "Mazowieckie" "PL78" "13.06" 66
"313" "Mazowieckie" "PL78" "14.06" 52
"314" "Mazowieckie" "PL78" "15.06" 56
"315" "Mazowieckie" "PL78" "16.06" 36
"316" "Mazowieckie" "PL78" "17.06" 57
"317" "Mazowieckie" "PL78" "18.06" 44
"318" "Mazowieckie" "PL78" "19.06" 84
"319" "Mazowieckie" "PL78" "20.06" 52
"320" "Mazowieckie" "PL78" "21.06" 39
"321" "Mazowieckie" "PL78" "22.06" 33
"322" "Mazowieckie" "PL78" "23.06" 40
"323" "Mazowieckie" "PL78" "24.06" 33
"324" "Mazowieckie" "PL78" "25.06" 25
"325" "Mazowieckie" "PL78" "26.06" 45
