target,target_end_date,location,type,quantile,value,location_name,forecast_date
1 wk ahead inc case,2021-01-23,GM,quantile,0.01,98665.5136107361,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.025,101897.492127124,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.05,104763.529395403,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.1,108170.06615316,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.15,110531.952883419,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.2,112446.467240438,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.25,114115.790891021,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.3,115636.337684226,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.35,117063.705588741,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.4,118434.665037001,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.45,119776.58061915,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.5,121112.268333333,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.55,122463.048914642,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.6,123851.221462165,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.65,125302.752705874,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.7,126851.083537242,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.75,128543.694963375,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.8,130455.383542897,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.85,132719.982685859,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.9,135625.857192168,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.95,140051.334716839,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.975,144007.532256071,Germany,2021-01-18
1 wk ahead inc case,2021-01-23,GM,quantile,0.99,148749.242714782,Germany,2021-01-18
2 wk ahead inc case,2021-01-30,GM,quantile,0.01,80785.9777127909,Germany,2021-01-18
2 wk ahead inc case,2021-01-30,GM,quantile,0.025,85246.0597827539,Germany,2021-01-18
2 wk ahead inc case,2021-01-30,GM,quantile,0.05,89281.4879750931,Germany,2021-01-18
2 wk ahead inc case,2021-01-30,GM,quantile,0.1,94175.0251165985,Germany,2021-01-18
2 wk ahead inc case,2021-01-30,GM,quantile,0.15,97629.1720058699,Germany,2021-01-18
2 wk ahead inc case,2021-01-30,GM,quantile,0.2,100465.54862909,Germany,2021-01-18
