bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
01,01001,2,1,1,2,55,30,2020-05-24 09:15:00
01,01002,4,1,0,3,109,118,2020-05-24 09:15:00
01,01003,2,1,1,2,130,113,2020-05-24 09:15:00
01,01004,1,0,0,1,22,18,2020-05-24 09:15:00
01,01051,1,3,2,1,26,30,2020-05-24 09:15:00
01,01053,2,0,0,2,7,17,2020-05-24 09:15:00
01,01054,3,0,0,3,18,26,2020-05-24 09:15:00
01,01055,3,0,0,3,16,34,2020-05-24 09:15:00
01,01056,2,1,0,2,11,22,2020-05-24 09:15:00
01,01057,1,0,0,1,7,5,2020-05-24 09:15:00
01,01058,3,0,0,3,23,27,2020-05-24 09:15:00
01,01059,1,3,1,1,13,11,2020-05-24 09:15:00
01,01060,4,0,0,4,62,68,2020-05-24 09:15:00
01,01061,1,0,0,1,14,26,2020-05-24 09:15:00
01,01062,3,1,1,3,26,30,2020-05-24 09:15:00
02,02000,26,26,22,23,415,543,2020-05-24 09:15:00
03,03101,5,1,0,5,70,86,2020-05-24 09:15:00
03,03102,2,0,0,2,15,11,2020-05-24 09:15:00
03,03103,1,3,1,1,28,20,2020-05-24 09:15:00
03,03151,2,0,0,2,20,8,2020-05-24 09:15:00
03,03153,3,1,0,3,57,38,2020-05-24 09:15:00
03,03154,1,0,0,1,20,17,2020-05-24 09:15:00
03,03155,2,0,0,2,6,17,2020-05-24 09:15:00
03,03157,1,0,0,1,16,6,2020-05-24 09:15:00
03,03158,1,1,1,1,8,8,2020-05-24 09:15:00
03,03159,8,7,2,7,90,122,2020-05-24 09:15:00
03,03241,16,16,10,16,164,329,2020-05-24 09:15:00
03,03251,3,2,1,3,7,3,2020-05-24 09:15:00
03,03252,4,2,2,4,4,68,2020-05-24 09:15:00
03,03254,5,1,1,4,45,48,2020-05-24 09:15:00
03,03255,1,0,0,1,6,8,2020-05-24 09:15:00
03,03256,1,0,0,1,13,21,2020-05-24 09:15:00
03,03257,1,0,0,1,2,21,2020-05-24 09:15:00
03,03351,3,0,0,1,10,31,2020-05-24 09:15:00
03,03352,2,0,0,2,8,10,2020-05-24 09:15:00
03,03353,3,0,0,3,18,44,2020-05-24 09:15:00
03,03354,1,0,0,1,20,5,2020-05-24 09:15:00
03,03355,2,0,0,2,16,22,2020-05-24 09:15:00
03,03356,2,0,0,2,3,12,2020-05-24 09:15:00
03,03357,3,0,0,2,19,15,2020-05-24 09:15:00
03,03358,3,0,0,3,17,18,2020-05-24 09:15:00
03,03359,3,0,0,2,15,22,2020-05-24 09:15:00
03,03360,2,0,0,2,36,43,2020-05-24 09:15:00
03,03361,2,1,0,2,7,7,2020-05-24 09:15:00
03,03401,1,2,2,1,7,17,2020-05-24 09:15:00
03,03402,1,0,0,1,14,7,2020-05-24 09:15:00
03,03403,4,5,5,3,93,93,2020-05-24 09:15:00
03,03404,4,2,1,4,111,39,2020-05-24 09:15:00
03,03405,1,1,1,1,13,21,2020-05-24 09:15:00
03,03451,3,0,0,2,18,22,2020-05-24 09:15:00
03,03452,3,0,0,3,21,21,2020-05-24 09:15:00
03,03453,3,0,0,3,20,27,2020-05-24 09:15:00
03,03454,7,2,2,7,40,63,2020-05-24 09:15:00
03,03455,2,0,0,2,17,20,2020-05-24 09:15:00
03,03456,1,0,0,1,11,19,2020-05-24 09:15:00
03,03457,3,0,0,2,15,26,2020-05-24 09:15:00
03,03458,1,0,0,1,0,8,2020-05-24 09:15:00
03,03459,8,0,0,7,84,49,2020-05-24 09:15:00
03,03460,3,0,0,3,39,17,2020-05-24 09:15:00
03,03461,2,0,0,2,9,8,2020-05-24 09:15:00
03,03462,1,0,0,1,5,8,2020-05-24 09:15:00
04,04011,10,4,1,9,88,102,2020-05-24 09:15:00
04,04012,2,2,2,2,6,16,2020-05-24 09:15:00
05,05111,12,4,2,11,95,223,2020-05-24 09:15:00
05,05112,12,8,6,9,89,168,2020-05-24 09:15:00
05,05113,15,15,10,14,103,257,2020-05-24 09:15:00
05,05114,6,6,4,4,14,74,2020-05-24 09:15:00
05,05116,5,3,2,4,38,80,2020-05-24 09:15:00
05,05117,2,3,2,2,15,35,2020-05-24 09:15:00
05,05119,6,1,0,4,39,43,2020-05-24 09:15:00
05,05120,1,0,0,1,15,21,2020-05-24 09:15:00
05,05122,3,7,7,3,41,53,2020-05-24 09:15:00
05,05124,5,3,3,5,87,104,2020-05-24 09:15:00
05,05154,5,1,1,5,29,34,2020-05-24 09:15:00
05,05158,6,0,0,6,49,38,2020-05-24 09:15:00
05,05162,7,3,2,6,39,81,2020-05-24 09:15:00
05,05166,4,0,0,4,38,23,2020-05-24 09:15:00
05,05170,9,8,2,8,71,94,2020-05-24 09:15:00
05,05314,15,14,7,11,80,194,2020-05-24 09:15:00
05,05315,26,8,6,18,103,334,2020-05-24 09:15:00
05,05316,4,0,0,2,35,53,2020-05-24 09:15:00
05,05334,10,23,22,7,83,236,2020-05-24 09:15:00
05,05358,6,0,0,5,27,47,2020-05-24 09:15:00
05,05362,7,1,0,7,30,59,2020-05-24 09:15:00
05,05366,3,3,1,3,10,45,2020-05-24 09:15:00
05,05370,3,2,1,3,3,32,2020-05-24 09:15:00
05,05374,7,0,0,7,45,50,2020-05-24 09:15:00
05,05378,4,0,0,4,27,27,2020-05-24 09:15:00
05,05382,6,1,0,6,26,65,2020-05-24 09:15:00
05,05512,2,2,1,2,47,19,2020-05-24 09:15:00
05,05513,6,1,0,4,55,78,2020-05-24 09:15:00
05,05515,8,4,4,7,55,217,2020-05-24 09:15:00
05,05554,5,2,1,5,38,44,2020-05-24 09:15:00
05,05558,3,1,0,3,27,14,2020-05-24 09:15:00
05,05562,14,2,0,14,103,181,2020-05-24 09:15:00
05,05566,5,5,5,5,38,54,2020-05-24 09:15:00
05,05570,4,0,0,4,30,25,2020-05-24 09:15:00
05,05711,4,2,2,4,41,106,2020-05-24 09:15:00
05,05754,3,0,0,3,23,31,2020-05-24 09:15:00
05,05758,4,2,2,3,27,45,2020-05-24 09:15:00
05,05762,5,1,1,5,22,23,2020-05-24 09:15:00
05,05766,2,1,1,2,24,55,2020-05-24 09:15:00
