bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
01,01001,2,0,0,2,51,32,2020-06-07 09:15:00
01,01002,5,0,0,3,136,122,2020-06-07 09:15:00
01,01003,2,0,0,2,135,108,2020-06-07 09:15:00
01,01004,1,0,0,1,22,18,2020-06-07 09:15:00
01,01051,1,1,0,1,22,34,2020-06-07 09:15:00
01,01053,2,0,0,2,14,10,2020-06-07 09:15:00
01,01054,3,0,0,3,23,21,2020-06-07 09:15:00
01,01055,3,0,0,3,20,32,2020-06-07 09:15:00
01,01056,2,0,0,2,9,26,2020-06-07 09:15:00
01,01057,1,0,0,1,7,5,2020-06-07 09:15:00
01,01058,3,0,0,3,15,35,2020-06-07 09:15:00
01,01059,1,3,0,1,11,13,2020-06-07 09:15:00
01,01060,4,1,0,4,60,70,2020-06-07 09:15:00
01,01061,1,0,0,1,18,22,2020-06-07 09:15:00
01,01062,3,0,0,3,29,30,2020-06-07 09:15:00
02,02000,26,19,16,23,404,524,2020-06-07 09:15:00
03,03101,5,1,1,5,68,91,2020-06-07 09:15:00
03,03102,2,0,0,2,7,20,2020-06-07 09:15:00
03,03103,1,2,0,1,30,16,2020-06-07 09:15:00
03,03151,2,0,0,2,7,29,2020-06-07 09:15:00
03,03153,3,0,0,3,52,37,2020-06-07 09:15:00
03,03154,1,2,0,1,15,19,2020-06-07 09:15:00
03,03155,2,0,0,2,9,14,2020-06-07 09:15:00
03,03157,1,0,0,1,5,17,2020-06-07 09:15:00
03,03158,1,2,2,1,4,12,2020-06-07 09:15:00
03,03159,8,4,3,7,79,135,2020-06-07 09:15:00
03,03241,16,16,12,16,133,348,2020-06-07 09:15:00
03,03251,3,0,0,3,10,3,2020-06-07 09:15:00
03,03252,4,1,1,4,15,57,2020-06-07 09:15:00
03,03254,5,0,0,4,44,54,2020-06-07 09:15:00
03,03255,1,0,0,1,4,10,2020-06-07 09:15:00
03,03256,1,0,0,1,17,17,2020-06-07 09:15:00
03,03257,1,1,1,1,9,14,2020-06-07 09:15:00
03,03351,3,0,0,1,8,33,2020-06-07 09:15:00
03,03352,2,1,0,2,9,9,2020-06-07 09:15:00
