bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
01,01001,2,0,0,2,52,28,2020-05-30 09:15:00
01,01002,5,0,0,3,136,122,2020-05-30 09:15:00
01,01003,2,0,0,2,131,112,2020-05-30 09:15:00
01,01004,1,0,0,1,22,18,2020-05-30 09:15:00
01,01051,1,4,2,1,28,28,2020-05-30 09:15:00
01,01053,2,0,0,2,8,16,2020-05-30 09:15:00
01,01054,3,0,0,3,21,23,2020-05-30 09:15:00
01,01055,3,0,0,3,25,27,2020-05-30 09:15:00
01,01056,2,0,0,2,12,21,2020-05-30 09:15:00
01,01057,1,0,0,1,5,7,2020-05-30 09:15:00
01,01058,3,0,0,3,17,33,2020-05-30 09:15:00
01,01059,1,1,0,1,11,12,2020-05-30 09:15:00
01,01060,4,0,0,4,56,73,2020-05-30 09:15:00
01,01061,1,1,0,1,16,24,2020-05-30 09:15:00
01,01062,3,1,1,3,29,33,2020-05-30 09:15:00
02,02000,28,21,19,24,389,599,2020-05-30 09:15:00
03,03101,5,1,1,5,67,91,2020-05-30 09:15:00
03,03102,2,0,0,2,9,18,2020-05-30 09:15:00
03,03103,1,1,1,1,30,18,2020-05-30 09:15:00
03,03151,2,0,0,2,8,28,2020-05-30 09:15:00
03,03153,3,0,0,3,53,36,2020-05-30 09:15:00
03,03154,1,0,0,1,18,16,2020-05-30 09:15:00
03,03155,2,0,0,2,10,13,2020-05-30 09:15:00
03,03157,1,0,0,1,7,15,2020-05-30 09:15:00
03,03158,1,2,2,1,5,11,2020-05-30 09:15:00
03,03159,8,5,2,7,67,140,2020-05-30 09:15:00
03,03241,16,16,11,16,146,341,2020-05-30 09:15:00
03,03251,3,0,0,3,10,12,2020-05-30 09:15:00
03,03252,4,1,0,4,14,55,2020-05-30 09:15:00
03,03254,5,1,1,4,37,59,2020-05-30 09:15:00
03,03255,1,0,0,1,4,10,2020-05-30 09:15:00
03,03256,1,0,0,1,11,23,2020-05-30 09:15:00
03,03257,1,1,1,1,6,17,2020-05-30 09:15:00
03,03351,3,0,0,1,15,26,2020-05-30 09:15:00
03,03352,2,0,0,2,9,9,2020-05-30 09:15:00
03,03353,3,0,0,3,23,43,2020-05-30 09:15:00
03,03354,1,0,0,1,16,7,2020-05-30 09:15:00
03,03355,2,0,0,2,19,19,2020-05-30 09:15:00
03,03356,2,0,0,2,9,7,2020-05-30 09:15:00
03,03357,3,0,0,2,15,19,2020-05-30 09:15:00
03,03358,3,0,0,3,18,17,2020-05-30 09:15:00
03,03359,3,0,0,2,11,26,2020-05-30 09:15:00
03,03360,2,0,0,2,34,45,2020-05-30 09:15:00
03,03361,2,1,0,2,5,11,2020-05-30 09:15:00
03,03401,1,0,0,1,12,16,2020-05-30 09:15:00
03,03402,1,0,0,1,9,12,2020-05-30 09:15:00
03,03403,5,6,5,3,102,109,2020-05-30 09:15:00
03,03404,4,3,1,4,105,44,2020-05-30 09:15:00
03,03405,1,0,0,1,18,16,2020-05-30 09:15:00
03,03451,3,0,0,2,16,24,2020-05-30 09:15:00
03,03452,3,0,0,3,25,17,2020-05-30 09:15:00
03,03453,3,1,0,3,11,36,2020-05-30 09:15:00
03,03454,7,1,1,7,43,58,2020-05-30 09:15:00
03,03455,2,0,0,2,7,29,2020-05-30 09:15:00
03,03456,1,0,0,1,12,18,2020-05-30 09:15:00
03,03457,3,1,1,2,15,28,2020-05-30 09:15:00
03,03458,1,0,0,1,9,6,2020-05-30 09:15:00
03,03459,8,1,0,7,70,60,2020-05-30 09:15:00
03,03460,3,0,0,3,34,23,2020-05-30 09:15:00
03,03461,2,0,0,2,8,8,2020-05-30 09:15:00
03,03462,1,0,0,1,6,7,2020-05-30 09:15:00
04,04011,10,4,2,9,90,94,2020-05-30 09:15:00
04,04012,3,5,3,3,10,56,2020-05-30 09:15:00
05,05111,12,4,4,11,73,237,2020-05-30 09:15:00
05,05112,13,7,6,9,75,183,2020-05-30 09:15:00
05,05113,15,8,6,14,80,273,2020-05-30 09:15:00
05,05114,6,1,0,4,23,76,2020-05-30 09:15:00
05,05116,5,5,1,4,37,82,2020-05-30 09:15:00
05,05117,2,2,1,2,19,35,2020-05-30 09:15:00
05,05119,6,0,0,4,40,42,2020-05-30 09:15:00
05,05120,1,0,0,1,14,22,2020-05-30 09:15:00
05,05122,3,3,3,3,43,48,2020-05-30 09:15:00
05,05124,5,5,3,5,82,111,2020-05-30 09:15:00
05,05154,5,1,0,5,20,41,2020-05-30 09:15:00
05,05158,5,0,0,5,24,35,2020-05-30 09:15:00
05,05162,7,1,0,6,42,78,2020-05-30 09:15:00
05,05166,3,0,0,3,8,21,2020-05-30 09:15:00
