epi_week,epi_year,date,location,location_name,cum_death,inc_death,cum_case,inc_case
5,2020,2020-02-01,GM,Germany,0.0,0,8.0,8
6,2020,2020-02-08,GM,Germany,0.0,0,13.0,5
7,2020,2020-02-15,GM,Germany,0.0,0,16.0,3
8,2020,2020-02-22,GM,Germany,0.0,0,16.0,0
9,2020,2020-02-29,GM,Germany,0.0,0,79.0,63
10,2020,2020-03-07,GM,Germany,0.0,0,799.0,720
11,2020,2020-03-14,GM,Germany,9.0,9,4585.0,3786
12,2020,2020-03-21,GM,Germany,84.0,75,22213.0,17628
13,2020,2020-03-28,GM,Germany,433.0,349,57695.0,35482
14,2020,2020-04-04,GM,Germany,1444.0,1011,96092.0,38397
15,2020,2020-04-11,GM,Germany,2736.0,1292,124908.0,28816
16,2020,2020-04-18,GM,Germany,4459.0,1723,143342.0,18434
17,2020,2020-04-25,GM,Germany,5877.0,1418,156513.0,13171
18,2020,2020-05-02,GM,Germany,6812.0,935,164967.0,8454
19,2020,2020-05-09,GM,Germany,7549.0,737,171324.0,6357
20,2020,2020-05-16,GM,Germany,7938.0,389,175752.0,4428
21,2020,2020-05-23,GM,Germany,8261.0,323,179986.0,4234
22,2020,2020-05-30,GM,Germany,8530.0,269,183189.0,3203
23,2020,2020-06-06,GM,Germany,8673.0,143,185450.0,2261
24,2020,2020-06-13,GM,Germany,8793.0,120,187267.0,1817
25,2020,2020-06-20,GM,Germany,8895.0,102,190670.0,3403
26,2020,2020-06-27,GM,Germany,8968.0,73,194458.0,3788
27,2020,2020-07-04,GM,Germany,9020.0,52,197198.0,2740
28,2020,2020-07-11,GM,Germany,9070.0,50,199709.0,2511
29,2020,2020-07-18,GM,Germany,9091.0,21,202426.0,2717
30,2020,2020-07-25,GM,Germany,9124.0,33,206278.0,3852
31,2020,2020-08-01,GM,Germany,9154.0,30,211005.0,4727
32,2020,2020-08-08,GM,Germany,9201.0,47,216903.0,5898
33,2020,2020-08-15,GM,Germany,9235.0,34,224488.0,7585
34,2020,2020-08-22,GM,Germany,9272.0,37,233861.0,9373
35,2020,2020-08-29,GM,Germany,9299.0,27,242835.0,8974
36,2020,2020-09-05,GM,Germany,9329.0,30,251058.0,8223
37,2020,2020-09-12,GM,Germany,9352.0,23,260817.0,9759
38,2020,2020-09-19,GM,Germany,9388.0,36,272932.0,12115
39,2020,2020-09-26,GM,Germany,9459.0,71,285026.0,12094
40,2020,2020-10-03,GM,Germany,9531.0,72,300027.0,15001
41,2020,2020-10-10,GM,Germany,9620.0,89,323463.0,23436
42,2020,2020-10-17,GM,Germany,9785.0,165,364664.0,41201
43,2020,2020-10-24,GM,Germany,10035.0,250,434798.0,70134
44,2020,2020-10-31,GM,Germany,10483.0,448,531790.0,96992
5,2020,2020-02-01,PL,Poland,0.0,0,0.0,0
6,2020,2020-02-08,PL,Poland,0.0,0,0.0,0
7,2020,2020-02-15,PL,Poland,0.0,0,0.0,0
8,2020,2020-02-22,PL,Poland,0.0,0,0.0,0
9,2020,2020-02-29,PL,Poland,0.0,0,0.0,0
10,2020,2020-03-07,PL,Poland,0.0,0,5.0,5
11,2020,2020-03-14,PL,Poland,3.0,3,103.0,98
12,2020,2020-03-21,PL,Poland,5.0,2,536.0,433
13,2020,2020-03-28,PL,Poland,18.0,13,1638.0,1102
14,2020,2020-04-04,PL,Poland,79.0,61,3627.0,1989
15,2020,2020-04-11,PL,Poland,208.0,129,6356.0,2729
16,2020,2020-04-18,PL,Poland,347.0,139,8742.0,2386
17,2020,2020-04-25,PL,Poland,524.0,177,11273.0,2531
18,2020,2020-05-02,PL,Poland,664.0,140,13375.0,2102
19,2020,2020-05-09,PL,Poland,785.0,121,15651.0,2276
20,2020,2020-05-16,PL,Poland,915.0,130,18257.0,2606
21,2020,2020-05-23,PL,Poland,993.0,78,20931.0,2674
22,2020,2020-05-30,PL,Poland,1061.0,68,23571.0,2640
23,2020,2020-06-06,PL,Poland,1153.0,92,25986.0,2415
24,2020,2020-06-13,PL,Poland,1237.0,84,29017.0,3031
25,2020,2020-06-20,PL,Poland,1346.0,109,31620.0,2603
26,2020,2020-06-27,PL,Poland,1435.0,89,33714.0,2094
27,2020,2020-07-04,PL,Poland,1512.0,77,35719.0,2005
28,2020,2020-07-11,PL,Poland,1568.0,56,37521.0,1802
29,2020,2020-07-18,PL,Poland,1618.0,50,39746.0,2225
30,2020,2020-07-25,PL,Poland,1664.0,46,42622.0,2876
31,2020,2020-08-01,PL,Poland,1721.0,57,46346.0,3724
32,2020,2020-08-08,PL,Poland,1800.0,79,51167.0,4821
33,2020,2020-08-15,PL,Poland,1869.0,69,56090.0,4923
34,2020,2020-08-22,PL,Poland,1951.0,82,61181.0,5091
35,2020,2020-08-29,PL,Poland,2032.0,81,66239.0,5058
36,2020,2020-09-05,PL,Poland,2113.0,81,70387.0,4148
37,2020,2020-09-12,PL,Poland,2182.0,69,73650.0,3263
38,2020,2020-09-19,PL,Poland,2282.0,100,78330.0,4680
39,2020,2020-09-26,PL,Poland,2424.0,142,85980.0,7650
40,2020,2020-10-03,PL,Poland,2604.0,180,98140.0,12160
41,2020,2020-10-10,PL,Poland,2972.0,368,121638.0,23498
42,2020,2020-10-17,PL,Poland,3524.0,552,167230.0,45592
43,2020,2020-10-24,PL,Poland,4351.0,827,241946.0,74716
44,2020,2020-10-31,PL,Poland,5631.0,1280,362731.0,120785
