target,target_end_date,location,type,quantile,value,location_name,forecast_date
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.01,18838.9739583173,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.025,20271.2694341114,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.05,21362.0120093972,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.1,22395.1288427479,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.15,23120.2495104842,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.2,23713.2607265239,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.25,24234.1188201088,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.3,24711.6084189195,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.35,25162.4679117236,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.4,25597.8932441435,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.45,26026.34258016,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.5,26455,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.55,27110.8668565873,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.6,27812.11702056,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.65,28555.9826036475,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.7,29117.8758096987,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.75,29691.5910308625,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.8,30343.762222256,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.85,31122.0492959521,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.9,32129.7345531017,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.95,33683.6036176493,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.975,35092.082173078,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,quantile,0.99,36803.9593914246,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.01,24915.6767727519,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.025,26323.3078842989,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.05,27597.39355065,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.1,29143.0552017436,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.15,30234.5214921748,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.2,31131.0648586598,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.25,31890.4697971819,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.3,32518.8139817745,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.35,33112.1147386442,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.4,33685.1051789215,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.45,34248.9156773052,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.5,34813,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.55,35386.3748685944,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.6,35978.6606739876,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.65,36601.255418627,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.7,37269.0396912769,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.75,38003.358893982,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.8,38838.0967772123,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.85,39834.2550145219,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.9,41124.0284200569,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.95,44076.1192491638,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.975,46943.2860676549,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,quantile,0.99,50068.9751026262,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.01,27644.7255217127,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.025,29313.7407416287,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.05,30829.5618687166,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.1,32674.7418983288,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.15,33981.6702377964,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.2,35057.5575966937,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.25,36007.6800662982,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.3,36882.8446710386,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.35,37712.7915866095,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.4,38517.5920929182,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.45,39312.5888837858,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.5,40111,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.55,40925.6262861786,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.6,41770.3245083124,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.65,42661.7137929206,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.7,43621.6982542929,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.75,44500.8165143244,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.8,45478.2700463349,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.85,46644.7420695425,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.9,48225.7580753933,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.95,51860.306513786,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.975,54885.2613243998,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,quantile,0.99,58198.8893228961,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.01,28287.7394868377,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.025,30438.4086993482,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.05,32418.4377245238,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.1,34861.6628164466,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.15,36613.29310312,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.2,38067.9912816375,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.25,39361.9692174885,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.3,40561.4435593066,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.35,41705.5393712834,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.4,42820.9997779639,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.45,43928.608519308,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.5,45046.6244330927,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.55,46193.0946873541,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.6,47387.926095559,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.65,48655.3681694696,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.7,50027.7651570543,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.75,51552.2575002303,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.8,53304.5822618676,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.85,55422.4490842968,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.9,57589.9415027321,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.95,60375.1256872546,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.975,62899.7091842309,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,quantile,0.99,67656.5508726808,Poland,2020-10-13
1 wk ahead inc case,2020-10-17T00:00:00Z,PL,point,,26455,Poland,2020-10-13
2 wk ahead inc case,2020-10-24T00:00:00Z,PL,point,,34813,Poland,2020-10-13
3 wk ahead inc case,2020-10-31T00:00:00Z,PL,point,,40111,Poland,2020-10-13
4 wk ahead inc case,2020-11-07T00:00:00Z,PL,point,,45046.6244330927,Poland,2020-10-13
1 wk ahead cum case,2020-10-17T00:00:00Z,PL,quantile,0.01,135176.973958317,Poland,2020-10-13
1 wk ahead cum case,2020-10-17T00:00:00Z,PL,quantile,0.025,136609.269434111,Poland,2020-10-13
1 wk ahead cum case,2020-10-17T00:00:00Z,PL,quantile,0.05,137700.012009397,Poland,2020-10-13
1 wk ahead cum case,2020-10-17T00:00:00Z,PL,quantile,0.1,138733.128842748,Poland,2020-10-13
1 wk ahead cum case,2020-10-17T00:00:00Z,PL,quantile,0.15,139458.249510484,Poland,2020-10-13
1 wk ahead cum case,2020-10-17T00:00:00Z,PL,quantile,0.2,140051.260726524,Poland,2020-10-13
1 wk ahead cum case,2020-10-17T00:00:00Z,PL,quantile,0.25,140572.118820109,Poland,2020-10-13
1 wk ahead cum case,2020-10-17T00:00:00Z,PL,quantile,0.3,141049.608418919,Poland,2020-10-13
1 wk ahead cum case,2020-10-17T00:00:00Z,PL,quantile,0.35,141500.467911724,Poland,2020-10-13
1 wk ahead cum case,2020-10-17T00:00:00Z,PL,quantile,0.4,141935.893244144,Poland,2020-10-13
1 wk ahead cum case,2020-10-17T00:00:00Z,PL,quantile,0.45,142364.34258016,Poland,2020-10-13
1 wk ahead cum case,2020-10-17T00:00:00Z,PL,quantile,0.5,142793,Poland,2020-10-13
