"","forecast_date","target","target_end_date","location","type","quantile","value","location_name"
"1",2020-07-13,"-1 wk ahead inc death",2020-07-04,"GM","observed",NA,56,"Germany"
"2",2020-07-13,"0 wk ahead inc death",2020-07-11,"GM","observed",NA,50,"Germany"
"3",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","point",NA,49,"Germany"
"4",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","point",NA,49,"Germany"
"5",2020-07-13,"3 wk ahead inc death",2020-08-01,"GM","point",NA,49,"Germany"
"6",2020-07-13,"4 wk ahead inc death",2020-08-08,"GM","point",NA,49,"Germany"
"7",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.01,24,"Germany"
"8",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.025,28,"Germany"
"9",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.05,31,"Germany"
"10",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.1,34,"Germany"
"11",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.15,37,"Germany"
"12",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.2,39,"Germany"
"13",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.25,41,"Germany"
"14",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.3,43,"Germany"
"15",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.35,44,"Germany"
"16",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.4,46,"Germany"
"17",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.45,47,"Germany"
"18",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.5,49,"Germany"
"19",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.55,51,"Germany"
"20",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.6,52,"Germany"
"21",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.65,54,"Germany"
"22",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.7,56,"Germany"
"23",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.75,58,"Germany"
"24",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.8,60,"Germany"
"25",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.85,63,"Germany"
"26",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.9,67,"Germany"
"27",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.95,73,"Germany"
"28",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.975,78,"Germany"
"29",2020-07-13,"1 wk ahead inc death",2020-07-18,"GM","quantile",0.99,84,"Germany"
"30",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.01,24,"Germany"
"31",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.025,28,"Germany"
"32",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.05,31,"Germany"
"33",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.1,34,"Germany"
"34",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.15,37,"Germany"
"35",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.2,39,"Germany"
"36",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.25,41,"Germany"
"37",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.3,43,"Germany"
"38",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.35,44,"Germany"
"39",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.4,46,"Germany"
"40",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.45,47,"Germany"
"41",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.5,49,"Germany"
"42",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.55,51,"Germany"
"43",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.6,52,"Germany"
"44",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.65,54,"Germany"
"45",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.7,56,"Germany"
"46",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.75,58,"Germany"
"47",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.8,60,"Germany"
"48",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.85,63,"Germany"
"49",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.9,67,"Germany"
"50",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.95,73,"Germany"
"51",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.975,78,"Germany"
"52",2020-07-13,"2 wk ahead inc death",2020-07-25,"GM","quantile",0.99,84,"Germany"
"53",2020-07-13,"3 wk ahead inc death",2020-08-01,"GM","quantile",0.01,24,"Germany"
"54",2020-07-13,"3 wk ahead inc death",2020-08-01,"GM","quantile",0.025,28,"Germany"
"55",2020-07-13,"3 wk ahead inc death",2020-08-01,"GM","quantile",0.05,31,"Germany"
"56",2020-07-13,"3 wk ahead inc death",2020-08-01,"GM","quantile",0.1,34,"Germany"
"57",2020-07-13,"3 wk ahead inc death",2020-08-01,"GM","quantile",0.15,37,"Germany"
"58",2020-07-13,"3 wk ahead inc death",2020-08-01,"GM","quantile",0.2,39,"Germany"
"59",2020-07-13,"3 wk ahead inc death",2020-08-01,"GM","quantile",0.25,41,"Germany"
"60",2020-07-13,"3 wk ahead inc death",2020-08-01,"GM","quantile",0.3,43,"Germany"
"61",2020-07-13,"3 wk ahead inc death",2020-08-01,"GM","quantile",0.35,44,"Germany"
"62",2020-07-13,"3 wk ahead inc death",2020-08-01,"GM","quantile",0.4,46,"Germany"
"63",2020-07-13,"3 wk ahead inc death",2020-08-01,"GM","quantile",0.45,47,"Germany"
"64",2020-07-13,"3 wk ahead inc death",2020-08-01,"GM","quantile",0.5,49,"Germany"
"65",2020-07-13,"3 wk ahead inc death",2020-08-01,"GM","quantile",0.55,51,"Germany"
"66",2020-07-13,"3 wk ahead inc death",2020-08-01,"GM","quantile",0.6,52,"Germany"
