"forecast_date","target","targed_end_date","location","type","quantile","value"
2020-09-21,"2 day ahead inc death",2020-09-23,"PL","quantile",0.45,21.5300392865211
2020-09-21,"2 day ahead inc death",2020-09-23,"PL","quantile",0.5,26.0853444725352
2020-09-21,"2 day ahead inc death",2020-09-23,"PL","quantile",0.55,31.5361393549284
2020-09-21,"2 day ahead inc death",2020-09-23,"PL","quantile",0.6,37.9903751761093
2020-09-21,"2 day ahead inc death",2020-09-23,"PL","quantile",0.65,45.736005204622
2020-09-21,"2 day ahead inc death",2020-09-23,"PL","quantile",0.7,54.9526687519346
2020-09-21,"2 day ahead inc death",2020-09-23,"PL","quantile",0.75,65.8670526847366
2020-09-21,"2 day ahead inc death",2020-09-23,"PL","quantile",0.8,78.723396381591
2020-09-21,"2 day ahead inc death",2020-09-23,"PL","quantile",0.85,93.7655743666178
2020-09-21,"2 day ahead inc death",2020-09-23,"PL","quantile",0.9,111.227351073055
2020-09-21,"2 day ahead inc death",2020-09-23,"PL","quantile",0.95,131.303322996906
2020-09-21,"2 day ahead inc death",2020-09-23,"PL","quantile",0.975,142.364776545416
2020-09-21,"2 day ahead inc death",2020-09-23,"PL","quantile",0.99,149.334362019499
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","point",NA,26.0853444725352
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.01,0
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.025,0.0155488249547053
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.05,0.436714258497821
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.1,10.9869001378492
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.15,13.0251091419385
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.2,13.2269286840416
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.25,13.4619021941227
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.3,13.8883429781545
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.35,14.2328403977085
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.4,17.7155166531033
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.45,21.5300392865211
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.5,26.0853444725352
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.55,31.5361393549284
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.6,37.9903751761093
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.65,45.736005204622
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.7,54.9526687519346
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.75,65.8670526847366
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.8,78.723396381591
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.85,93.7655743666178
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.9,111.227351073055
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.95,131.303322996906
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.975,142.364776545416
2020-09-21,"3 day ahead inc death",2020-09-24,"PL","quantile",0.99,149.334362019499
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","point",NA,26.0853444725352
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.01,0
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.025,0.0155488249547053
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.05,0.436714258497821
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.1,10.9869001378492
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.15,13.0251091419385
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.2,13.2269286840416
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.25,13.4619021941227
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.3,13.8883429781545
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.35,14.2328403977085
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.4,17.7155166531033
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.45,21.5300392865211
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.5,26.0853444725352
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.55,31.5361393549284
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.6,37.9903751761093
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.65,45.736005204622
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.7,54.9526687519346
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.75,65.8670526847366
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.8,78.723396381591
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.85,93.7655743666178
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.9,111.227351073055
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.95,131.303322996906
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.975,142.364776545416
2020-09-21,"4 day ahead inc death",2020-09-25,"PL","quantile",0.99,149.334362019499
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","point",NA,26.0811791006941
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.01,0
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.025,0.0155488234244875
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.05,0.436713961839408
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.1,10.9868748056488
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.15,13.0249823446985
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.2,13.2268248621346
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.25,13.4618198559424
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.3,13.8882967056367
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.35,14.2326628216092
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.4,17.7157208723649
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.45,21.5306102771428
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.5,26.0811791006941
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.55,31.5315424097552
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.6,37.9823148651676
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.65,45.7264196968119
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.7,54.9405724986804
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.75,65.8523614608169
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.8,78.7063613913294
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.85,93.7454560855703
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.9,111.203132301122
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.95,131.275302114877
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.975,142.334706491856
2020-09-21,"5 day ahead inc death",2020-09-26,"PL","quantile",0.99,149.30311221858
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","point",NA,26.0811791006941
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.01,0
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.025,0.0155488234244875
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.05,0.436713961839408
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.1,10.9868748056488
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.15,13.0249823446985
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.2,13.2268248621346
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.25,13.4618198559424
