forecast_date,target,target_end_date,location,type,quantile,value
2020-12-20,1 wk ahead cum death,2020-12-26,PL,point,NA,29046.0
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.01,27721.873899710463
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.025,27930.414710062658
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.05,28109.771311717363
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.1,28316.55798673095
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.15,28456.075974640677
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.2,28566.960448621103
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.25,28662.089453955534
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.3,28747.518240831363
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.35,28826.680743306133
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.4,28901.798216836694
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.45,28974.47524180495
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.5,29046.0
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.55,29117.52475819505
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.6,29190.201783163306
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.65,29265.319256693867
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.7,29344.481759168637
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.75,29429.910546044466
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.8,29525.039551378897
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.85,29635.924025359323
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.9,29775.44201326905
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.95,29982.228688282637
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.975,30161.585289937342
2020-12-20,1 wk ahead cum death,2020-12-26,PL,quantile,0.99,30370.12610028954
2020-12-20,2 wk ahead cum death,2021-01-02,PL,point,NA,32602.0
2020-12-20,2 wk ahead cum death,2021-01-02,PL,quantile,0.01,30729.402910678335
2020-12-20,2 wk ahead cum death,2021-01-02,PL,quantile,0.025,31024.324152986694
2020-12-20,2 wk ahead cum death,2021-01-02,PL,quantile,0.05,31277.972691547926
2020-12-20,2 wk ahead cum death,2021-01-02,PL,quantile,0.1,31570.413211870175
2020-12-20,2 wk ahead cum death,2021-01-02,PL,quantile,0.15,31767.72144256711
